group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,legion_packed,,,,1070400.0,ns,13
schedule,legion_packed,,,,1970800.0,ns,26
schedule,legion_packed,,,,2962400.0,ns,39
schedule,legion_packed,,,,4382500.0,ns,52
schedule,legion_packed,,,,5453400.0,ns,65
schedule,legion_packed,,,,6408600.0,ns,78
schedule,legion_packed,,,,7817900.0,ns,91
schedule,legion_packed,,,,9247400.0,ns,104
schedule,legion_packed,,,,9848300.0,ns,117
schedule,legion_packed,,,,10878200.0,ns,130
schedule,legion_packed,,,,11574700.0,ns,143
schedule,legion_packed,,,,13466300.0,ns,156
schedule,legion_packed,,,,13746400.0,ns,169
schedule,legion_packed,,,,14733900.0,ns,182
schedule,legion_packed,,,,16688000.0,ns,195
schedule,legion_packed,,,,16831500.0,ns,208
schedule,legion_packed,,,,17489500.0,ns,221
schedule,legion_packed,,,,18565300.0,ns,234
schedule,legion_packed,,,,19689000.0,ns,247
schedule,legion_packed,,,,20818900.0,ns,260
schedule,legion_packed,,,,22035100.0,ns,273
schedule,legion_packed,,,,22689800.0,ns,286
schedule,legion_packed,,,,24567600.0,ns,299
schedule,legion_packed,,,,26187400.0,ns,312
schedule,legion_packed,,,,26799200.0,ns,325
schedule,legion_packed,,,,28087200.0,ns,338
schedule,legion_packed,,,,28326600.0,ns,351
schedule,legion_packed,,,,28942300.0,ns,364
schedule,legion_packed,,,,31424000.0,ns,377
schedule,legion_packed,,,,32182100.0,ns,390
schedule,legion_packed,,,,33887600.0,ns,403
schedule,legion_packed,,,,33353000.0,ns,416
schedule,legion_packed,,,,37313200.0,ns,429
schedule,legion_packed,,,,37769300.0,ns,442
schedule,legion_packed,,,,37654600.0,ns,455
schedule,legion_packed,,,,37975300.0,ns,468
schedule,legion_packed,,,,38295800.0,ns,481
schedule,legion_packed,,,,41256100.0,ns,494
schedule,legion_packed,,,,42220600.0,ns,507
schedule,legion_packed,,,,41596300.0,ns,520
schedule,legion_packed,,,,42392100.0,ns,533
schedule,legion_packed,,,,42131400.0,ns,546
schedule,legion_packed,,,,43825800.0,ns,559
schedule,legion_packed,,,,44909600.0,ns,572
schedule,legion_packed,,,,47427200.0,ns,585
schedule,legion_packed,,,,48024900.0,ns,598
schedule,legion_packed,,,,50712400.0,ns,611
schedule,legion_packed,,,,48697700.0,ns,624
schedule,legion_packed,,,,49172600.0,ns,637
schedule,legion_packed,,,,50457200.0,ns,650
schedule,legion_packed,,,,52359200.0,ns,663
schedule,legion_packed,,,,51933200.0,ns,676
schedule,legion_packed,,,,53265300.0,ns,689
schedule,legion_packed,,,,56472400.0,ns,702
schedule,legion_packed,,,,57827000.0,ns,715
schedule,legion_packed,,,,60358500.0,ns,728
schedule,legion_packed,,,,67205200.0,ns,741
schedule,legion_packed,,,,69387200.0,ns,754
schedule,legion_packed,,,,68679500.0,ns,767
schedule,legion_packed,,,,67134900.0,ns,780
schedule,legion_packed,,,,67311900.0,ns,793
schedule,legion_packed,,,,67942900.0,ns,806
schedule,legion_packed,,,,65081500.0,ns,819
schedule,legion_packed,,,,66316100.0,ns,832
schedule,legion_packed,,,,71398400.0,ns,845
schedule,legion_packed,,,,70348300.0,ns,858
schedule,legion_packed,,,,70021300.0,ns,871
schedule,legion_packed,,,,80868200.0,ns,884
schedule,legion_packed,,,,78143400.0,ns,897
schedule,legion_packed,,,,77865400.0,ns,910
schedule,legion_packed,,,,80547600.0,ns,923
schedule,legion_packed,,,,80577000.0,ns,936
schedule,legion_packed,,,,84645000.0,ns,949
schedule,legion_packed,,,,80915200.0,ns,962
schedule,legion_packed,,,,82485500.0,ns,975
schedule,legion_packed,,,,87077900.0,ns,988
schedule,legion_packed,,,,92478400.0,ns,1001
schedule,legion_packed,,,,91542800.0,ns,1014
schedule,legion_packed,,,,91499900.0,ns,1027
schedule,legion_packed,,,,87758400.0,ns,1040
schedule,legion_packed,,,,89428400.0,ns,1053
schedule,legion_packed,,,,93587700.0,ns,1066
schedule,legion_packed,,,,96171800.0,ns,1079
schedule,legion_packed,,,,90930900.0,ns,1092
schedule,legion_packed,,,,91613400.0,ns,1105
schedule,legion_packed,,,,88086100.0,ns,1118
schedule,legion_packed,,,,90789100.0,ns,1131
schedule,legion_packed,,,,90976500.0,ns,1144
schedule,legion_packed,,,,97261800.0,ns,1157
schedule,legion_packed,,,,94044400.0,ns,1170
schedule,legion_packed,,,,99863600.0,ns,1183
schedule,legion_packed,,,,102326600.0,ns,1196
schedule,legion_packed,,,,103525800.0,ns,1209
schedule,legion_packed,,,,102167100.0,ns,1222
schedule,legion_packed,,,,100216900.0,ns,1235
schedule,legion_packed,,,,104894600.0,ns,1248
schedule,legion_packed,,,,107467000.0,ns,1261
schedule,legion_packed,,,,107793500.0,ns,1274
schedule,legion_packed,,,,112229500.0,ns,1287
schedule,legion_packed,,,,105613100.0,ns,1300
