group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1328000.0,ns,2
schedule,planck_ecs,,,,2746600.0,ns,4
schedule,planck_ecs,,,,4090200.0,ns,6
schedule,planck_ecs,,,,5482700.0,ns,8
schedule,planck_ecs,,,,6937200.0,ns,10
schedule,planck_ecs,,,,8196600.0,ns,12
schedule,planck_ecs,,,,9684300.0,ns,14
schedule,planck_ecs,,,,11002200.0,ns,16
schedule,planck_ecs,,,,12382600.0,ns,18
schedule,planck_ecs,,,,13672600.0,ns,20
schedule,planck_ecs,,,,15278000.0,ns,22
schedule,planck_ecs,,,,16248000.0,ns,24
schedule,planck_ecs,,,,17694200.0,ns,26
schedule,planck_ecs,,,,19257700.0,ns,28
schedule,planck_ecs,,,,20806600.0,ns,30
schedule,planck_ecs,,,,22264900.0,ns,32
schedule,planck_ecs,,,,23054100.0,ns,34
schedule,planck_ecs,,,,24590600.0,ns,36
schedule,planck_ecs,,,,25962300.0,ns,38
schedule,planck_ecs,,,,27458700.0,ns,40
schedule,planck_ecs,,,,28964400.0,ns,42
schedule,planck_ecs,,,,30382300.0,ns,44
schedule,planck_ecs,,,,31730800.0,ns,46
schedule,planck_ecs,,,,32857500.0,ns,48
schedule,planck_ecs,,,,34576700.0,ns,50
schedule,planck_ecs,,,,35769000.0,ns,52
schedule,planck_ecs,,,,36962500.0,ns,54
schedule,planck_ecs,,,,38553500.0,ns,56
schedule,planck_ecs,,,,40588600.0,ns,58
schedule,planck_ecs,,,,41704800.0,ns,60
schedule,planck_ecs,,,,42589600.0,ns,62
schedule,planck_ecs,,,,44242400.0,ns,64
schedule,planck_ecs,,,,45243400.0,ns,66
schedule,planck_ecs,,,,46781000.0,ns,68
schedule,planck_ecs,,,,48228200.0,ns,70
schedule,planck_ecs,,,,50076000.0,ns,72
schedule,planck_ecs,,,,51039600.0,ns,74
schedule,planck_ecs,,,,51978600.0,ns,76
schedule,planck_ecs,,,,54301000.0,ns,78
schedule,planck_ecs,,,,55024600.0,ns,80
schedule,planck_ecs,,,,56391900.0,ns,82
schedule,planck_ecs,,,,58439100.0,ns,84
schedule,planck_ecs,,,,59222600.0,ns,86
schedule,planck_ecs,,,,61023500.0,ns,88
schedule,planck_ecs,,,,62622100.0,ns,90
schedule,planck_ecs,,,,62933800.0,ns,92
schedule,planck_ecs,,,,64041200.0,ns,94
schedule,planck_ecs,,,,66279500.0,ns,96
schedule,planck_ecs,,,,67170900.0,ns,98
schedule,planck_ecs,,,,69370000.0,ns,100
schedule,planck_ecs,,,,70635200.0,ns,102
schedule,planck_ecs,,,,71619000.0,ns,104
schedule,planck_ecs,,,,72940500.0,ns,106
schedule,planck_ecs,,,,74427100.0,ns,108
schedule,planck_ecs,,,,75369700.0,ns,110
schedule,planck_ecs,,,,76903900.0,ns,112
schedule,planck_ecs,,,,78053000.0,ns,114
schedule,planck_ecs,,,,80621300.0,ns,116
schedule,planck_ecs,,,,81491400.0,ns,118
schedule,planck_ecs,,,,82026200.0,ns,120
schedule,planck_ecs,,,,83642900.0,ns,122
schedule,planck_ecs,,,,85930100.0,ns,124
schedule,planck_ecs,,,,87273500.0,ns,126
schedule,planck_ecs,,,,88357000.0,ns,128
schedule,planck_ecs,,,,89054600.0,ns,130
schedule,planck_ecs,,,,90914900.0,ns,132
schedule,planck_ecs,,,,102842700.0,ns,134
schedule,planck_ecs,,,,94237400.0,ns,136
schedule,planck_ecs,,,,94255500.0,ns,138
schedule,planck_ecs,,,,96778400.0,ns,140
schedule,planck_ecs,,,,98156100.0,ns,142
schedule,planck_ecs,,,,99192100.0,ns,144
schedule,planck_ecs,,,,101109600.0,ns,146
schedule,planck_ecs,,,,102668000.0,ns,148
schedule,planck_ecs,,,,103857600.0,ns,150
schedule,planck_ecs,,,,105257600.0,ns,152
schedule,planck_ecs,,,,106205300.0,ns,154
schedule,planck_ecs,,,,107732400.0,ns,156
schedule,planck_ecs,,,,109824200.0,ns,158
schedule,planck_ecs,,,,110912700.0,ns,160
schedule,planck_ecs,,,,111922100.0,ns,162
schedule,planck_ecs,,,,113315000.0,ns,164
schedule,planck_ecs,,,,114331200.0,ns,166
schedule,planck_ecs,,,,116062200.0,ns,168
schedule,planck_ecs,,,,117888900.0,ns,170
schedule,planck_ecs,,,,119887500.0,ns,172
schedule,planck_ecs,,,,120532200.0,ns,174
schedule,planck_ecs,,,,122002600.0,ns,176
schedule,planck_ecs,,,,123830200.0,ns,178
schedule,planck_ecs,,,,124499800.0,ns,180
schedule,planck_ecs,,,,126230800.0,ns,182
schedule,planck_ecs,,,,127098800.0,ns,184
schedule,planck_ecs,,,,128767200.0,ns,186
schedule,planck_ecs,,,,129831700.0,ns,188
schedule,planck_ecs,,,,131209600.0,ns,190
schedule,planck_ecs,,,,131706600.0,ns,192
schedule,planck_ecs,,,,133964000.0,ns,194
schedule,planck_ecs,,,,135604200.0,ns,196
schedule,planck_ecs,,,,135764000.0,ns,198
schedule,planck_ecs,,,,138579700.0,ns,200
