group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,planck_ecs,,,,1422200.0,ns,2
schedule,planck_ecs,,,,2801900.0,ns,4
schedule,planck_ecs,,,,4253500.0,ns,6
schedule,planck_ecs,,,,5579500.0,ns,8
schedule,planck_ecs,,,,6992100.0,ns,10
schedule,planck_ecs,,,,8428000.0,ns,12
schedule,planck_ecs,,,,9845800.0,ns,14
schedule,planck_ecs,,,,11261400.0,ns,16
schedule,planck_ecs,,,,12735200.0,ns,18
schedule,planck_ecs,,,,13834200.0,ns,20
schedule,planck_ecs,,,,14956000.0,ns,22
schedule,planck_ecs,,,,16506100.0,ns,24
schedule,planck_ecs,,,,18201700.0,ns,26
schedule,planck_ecs,,,,19686400.0,ns,28
schedule,planck_ecs,,,,20979400.0,ns,30
schedule,planck_ecs,,,,22440900.0,ns,32
schedule,planck_ecs,,,,23835100.0,ns,34
schedule,planck_ecs,,,,25274400.0,ns,36
schedule,planck_ecs,,,,26541400.0,ns,38
schedule,planck_ecs,,,,27908700.0,ns,40
schedule,planck_ecs,,,,29058300.0,ns,42
schedule,planck_ecs,,,,30745300.0,ns,44
schedule,planck_ecs,,,,32150600.0,ns,46
schedule,planck_ecs,,,,33564100.0,ns,48
schedule,planck_ecs,,,,34830500.0,ns,50
schedule,planck_ecs,,,,36346400.0,ns,52
schedule,planck_ecs,,,,37804500.0,ns,54
schedule,planck_ecs,,,,39269500.0,ns,56
schedule,planck_ecs,,,,39233900.0,ns,58
schedule,planck_ecs,,,,41965700.0,ns,60
schedule,planck_ecs,,,,43714900.0,ns,62
schedule,planck_ecs,,,,44884700.0,ns,64
schedule,planck_ecs,,,,45840500.0,ns,66
schedule,planck_ecs,,,,47493000.0,ns,68
schedule,planck_ecs,,,,48883800.0,ns,70
schedule,planck_ecs,,,,50491000.0,ns,72
schedule,planck_ecs,,,,51864400.0,ns,74
schedule,planck_ecs,,,,53165400.0,ns,76
schedule,planck_ecs,,,,54637000.0,ns,78
schedule,planck_ecs,,,,56243700.0,ns,80
schedule,planck_ecs,,,,57547300.0,ns,82
schedule,planck_ecs,,,,58690300.0,ns,84
schedule,planck_ecs,,,,60080700.0,ns,86
schedule,planck_ecs,,,,61906700.0,ns,88
schedule,planck_ecs,,,,62990200.0,ns,90
schedule,planck_ecs,,,,64028900.0,ns,92
schedule,planck_ecs,,,,65581700.0,ns,94
schedule,planck_ecs,,,,67144900.0,ns,96
schedule,planck_ecs,,,,68629000.0,ns,98
schedule,planck_ecs,,,,69697200.0,ns,100
schedule,planck_ecs,,,,71533500.0,ns,102
schedule,planck_ecs,,,,72631000.0,ns,104
schedule,planck_ecs,,,,73813400.0,ns,106
schedule,planck_ecs,,,,75777100.0,ns,108
schedule,planck_ecs,,,,76886900.0,ns,110
schedule,planck_ecs,,,,78071400.0,ns,112
schedule,planck_ecs,,,,80394200.0,ns,114
schedule,planck_ecs,,,,81010400.0,ns,116
schedule,planck_ecs,,,,82224100.0,ns,118
schedule,planck_ecs,,,,83551000.0,ns,120
schedule,planck_ecs,,,,85063800.0,ns,122
schedule,planck_ecs,,,,86368200.0,ns,124
schedule,planck_ecs,,,,88126800.0,ns,126
schedule,planck_ecs,,,,89539400.0,ns,128
schedule,planck_ecs,,,,90945100.0,ns,130
schedule,planck_ecs,,,,91755400.0,ns,132
schedule,planck_ecs,,,,92988500.0,ns,134
schedule,planck_ecs,,,,93549500.0,ns,136
schedule,planck_ecs,,,,95277000.0,ns,138
schedule,planck_ecs,,,,96690600.0,ns,140
schedule,planck_ecs,,,,98127400.0,ns,142
schedule,planck_ecs,,,,100051800.0,ns,144
schedule,planck_ecs,,,,102176700.0,ns,146
schedule,planck_ecs,,,,103502500.0,ns,148
schedule,planck_ecs,,,,103898900.0,ns,150
schedule,planck_ecs,,,,105213200.0,ns,152
schedule,planck_ecs,,,,108109200.0,ns,154
schedule,planck_ecs,,,,108253500.0,ns,156
schedule,planck_ecs,,,,110358800.0,ns,158
schedule,planck_ecs,,,,111476100.0,ns,160
schedule,planck_ecs,,,,113490300.0,ns,162
schedule,planck_ecs,,,,114428500.0,ns,164
schedule,planck_ecs,,,,116611200.0,ns,166
schedule,planck_ecs,,,,117103600.0,ns,168
schedule,planck_ecs,,,,119621300.0,ns,170
schedule,planck_ecs,,,,119681500.0,ns,172
schedule,planck_ecs,,,,122563200.0,ns,174
schedule,planck_ecs,,,,123806000.0,ns,176
schedule,planck_ecs,,,,124491900.0,ns,178
schedule,planck_ecs,,,,126382900.0,ns,180
schedule,planck_ecs,,,,127665400.0,ns,182
schedule,planck_ecs,,,,129686100.0,ns,184
schedule,planck_ecs,,,,130620200.0,ns,186
schedule,planck_ecs,,,,131833900.0,ns,188
schedule,planck_ecs,,,,133137500.0,ns,190
schedule,planck_ecs,,,,133560100.0,ns,192
schedule,planck_ecs,,,,136155100.0,ns,194
schedule,planck_ecs,,,,138273300.0,ns,196
schedule,planck_ecs,,,,138878000.0,ns,198
schedule,planck_ecs,,,,140400400.0,ns,200
