group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,sparsey,,,,1383300.0,ns,4
schedule,sparsey,,,,2945200.0,ns,8
schedule,sparsey,,,,3721900.0,ns,12
schedule,sparsey,,,,4730700.0,ns,16
schedule,sparsey,,,,5931000.0,ns,20
schedule,sparsey,,,,7164400.0,ns,24
schedule,sparsey,,,,8279600.0,ns,28
schedule,sparsey,,,,9352800.0,ns,32
schedule,sparsey,,,,10765700.0,ns,36
schedule,sparsey,,,,11899700.0,ns,40
schedule,sparsey,,,,12981700.0,ns,44
schedule,sparsey,,,,13977000.0,ns,48
schedule,sparsey,,,,15254900.0,ns,52
schedule,sparsey,,,,16333600.0,ns,56
schedule,sparsey,,,,17688100.0,ns,60
schedule,sparsey,,,,18905000.0,ns,64
schedule,sparsey,,,,19742200.0,ns,68
schedule,sparsey,,,,21033700.0,ns,72
schedule,sparsey,,,,22236600.0,ns,76
schedule,sparsey,,,,23842000.0,ns,80
schedule,sparsey,,,,24641500.0,ns,84
schedule,sparsey,,,,25598100.0,ns,88
schedule,sparsey,,,,27145100.0,ns,92
schedule,sparsey,,,,28200900.0,ns,96
schedule,sparsey,,,,29666300.0,ns,100
schedule,sparsey,,,,30690200.0,ns,104
schedule,sparsey,,,,32176400.0,ns,108
schedule,sparsey,,,,32792100.0,ns,112
schedule,sparsey,,,,33788600.0,ns,116
schedule,sparsey,,,,35348100.0,ns,120
schedule,sparsey,,,,36571000.0,ns,124
schedule,sparsey,,,,37748100.0,ns,128
schedule,sparsey,,,,38844900.0,ns,132
schedule,sparsey,,,,39449200.0,ns,136
schedule,sparsey,,,,41571100.0,ns,140
schedule,sparsey,,,,42567700.0,ns,144
schedule,sparsey,,,,43606100.0,ns,148
schedule,sparsey,,,,45260600.0,ns,152
schedule,sparsey,,,,46279800.0,ns,156
schedule,sparsey,,,,47671900.0,ns,160
schedule,sparsey,,,,48640100.0,ns,164
schedule,sparsey,,,,50917600.0,ns,168
schedule,sparsey,,,,51024500.0,ns,172
schedule,sparsey,,,,51217300.0,ns,176
schedule,sparsey,,,,52434700.0,ns,180
schedule,sparsey,,,,54801400.0,ns,184
schedule,sparsey,,,,56329900.0,ns,188
schedule,sparsey,,,,56931700.0,ns,192
schedule,sparsey,,,,58501700.0,ns,196
schedule,sparsey,,,,60292500.0,ns,200
schedule,sparsey,,,,60994900.0,ns,204
schedule,sparsey,,,,62706400.0,ns,208
schedule,sparsey,,,,63342800.0,ns,212
schedule,sparsey,,,,64318000.0,ns,216
schedule,sparsey,,,,64691200.0,ns,220
schedule,sparsey,,,,68127500.0,ns,224
schedule,sparsey,,,,68253200.0,ns,228
schedule,sparsey,,,,68944500.0,ns,232
schedule,sparsey,,,,70090800.0,ns,236
schedule,sparsey,,,,71264300.0,ns,240
schedule,sparsey,,,,71610900.0,ns,244
schedule,sparsey,,,,74760600.0,ns,248
schedule,sparsey,,,,74620400.0,ns,252
schedule,sparsey,,,,76219600.0,ns,256
schedule,sparsey,,,,78824100.0,ns,260
schedule,sparsey,,,,78939700.0,ns,264
schedule,sparsey,,,,79121400.0,ns,268
schedule,sparsey,,,,79676800.0,ns,272
schedule,sparsey,,,,82474800.0,ns,276
schedule,sparsey,,,,82979700.0,ns,280
schedule,sparsey,,,,83481100.0,ns,284
schedule,sparsey,,,,91514700.0,ns,288
schedule,sparsey,,,,86360400.0,ns,292
schedule,sparsey,,,,87069800.0,ns,296
schedule,sparsey,,,,88340200.0,ns,300
schedule,sparsey,,,,90464100.0,ns,304
schedule,sparsey,,,,90948700.0,ns,308
schedule,sparsey,,,,92781500.0,ns,312
schedule,sparsey,,,,93556100.0,ns,316
schedule,sparsey,,,,94509900.0,ns,320
schedule,sparsey,,,,94930300.0,ns,324
schedule,sparsey,,,,95858800.0,ns,328
schedule,sparsey,,,,97919200.0,ns,332
schedule,sparsey,,,,100843300.0,ns,336
schedule,sparsey,,,,101262700.0,ns,340
schedule,sparsey,,,,102218300.0,ns,344
schedule,sparsey,,,,103049000.0,ns,348
schedule,sparsey,,,,105704700.0,ns,352
schedule,sparsey,,,,107893000.0,ns,356
schedule,sparsey,,,,106152800.0,ns,360
schedule,sparsey,,,,106316600.0,ns,364
schedule,sparsey,,,,108572400.0,ns,368
schedule,sparsey,,,,108938500.0,ns,372
schedule,sparsey,,,,110007500.0,ns,376
schedule,sparsey,,,,112892300.0,ns,380
schedule,sparsey,,,,114430600.0,ns,384
schedule,sparsey,,,,114902600.0,ns,388
schedule,sparsey,,,,113326200.0,ns,392
schedule,sparsey,,,,114049500.0,ns,396
schedule,sparsey,,,,117096000.0,ns,400
