group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,sparsey,,,,1201300.0,ns,4
schedule,sparsey,,,,2320100.0,ns,8
schedule,sparsey,,,,3411800.0,ns,12
schedule,sparsey,,,,4584400.0,ns,16
schedule,sparsey,,,,5725200.0,ns,20
schedule,sparsey,,,,6909500.0,ns,24
schedule,sparsey,,,,8045100.0,ns,28
schedule,sparsey,,,,9223300.0,ns,32
schedule,sparsey,,,,10249600.0,ns,36
schedule,sparsey,,,,11735300.0,ns,40
schedule,sparsey,,,,12661100.0,ns,44
schedule,sparsey,,,,13904900.0,ns,48
schedule,sparsey,,,,14724000.0,ns,52
schedule,sparsey,,,,16016200.0,ns,56
schedule,sparsey,,,,17126100.0,ns,60
schedule,sparsey,,,,18543500.0,ns,64
schedule,sparsey,,,,19895600.0,ns,68
schedule,sparsey,,,,20739800.0,ns,72
schedule,sparsey,,,,22140000.0,ns,76
schedule,sparsey,,,,23523700.0,ns,80
schedule,sparsey,,,,24494400.0,ns,84
schedule,sparsey,,,,25024700.0,ns,88
schedule,sparsey,,,,26436500.0,ns,92
schedule,sparsey,,,,27900300.0,ns,96
schedule,sparsey,,,,28296700.0,ns,100
schedule,sparsey,,,,29621600.0,ns,104
schedule,sparsey,,,,30654300.0,ns,108
schedule,sparsey,,,,32269000.0,ns,112
schedule,sparsey,,,,33127100.0,ns,116
schedule,sparsey,,,,35145800.0,ns,120
schedule,sparsey,,,,36915300.0,ns,124
schedule,sparsey,,,,37904200.0,ns,128
schedule,sparsey,,,,38941900.0,ns,132
schedule,sparsey,,,,40069200.0,ns,136
schedule,sparsey,,,,41276800.0,ns,140
schedule,sparsey,,,,43019000.0,ns,144
schedule,sparsey,,,,43419900.0,ns,148
schedule,sparsey,,,,43583100.0,ns,152
schedule,sparsey,,,,44696900.0,ns,156
schedule,sparsey,,,,46296500.0,ns,160
schedule,sparsey,,,,46686700.0,ns,164
schedule,sparsey,,,,47844900.0,ns,168
schedule,sparsey,,,,49174800.0,ns,172
schedule,sparsey,,,,50344900.0,ns,176
schedule,sparsey,,,,51634900.0,ns,180
schedule,sparsey,,,,52853900.0,ns,184
schedule,sparsey,,,,53937600.0,ns,188
schedule,sparsey,,,,54927400.0,ns,192
schedule,sparsey,,,,56337000.0,ns,196
schedule,sparsey,,,,57184500.0,ns,200
schedule,sparsey,,,,58567600.0,ns,204
schedule,sparsey,,,,59422000.0,ns,208
schedule,sparsey,,,,60661400.0,ns,212
schedule,sparsey,,,,61704200.0,ns,216
schedule,sparsey,,,,63364400.0,ns,220
schedule,sparsey,,,,63820700.0,ns,224
schedule,sparsey,,,,65035600.0,ns,228
schedule,sparsey,,,,66512600.0,ns,232
schedule,sparsey,,,,67249500.0,ns,236
schedule,sparsey,,,,68547500.0,ns,240
schedule,sparsey,,,,69912800.0,ns,244
schedule,sparsey,,,,71255900.0,ns,248
schedule,sparsey,,,,72586700.0,ns,252
schedule,sparsey,,,,73283700.0,ns,256
schedule,sparsey,,,,74886400.0,ns,260
schedule,sparsey,,,,74624100.0,ns,264
schedule,sparsey,,,,76505300.0,ns,268
schedule,sparsey,,,,77887900.0,ns,272
schedule,sparsey,,,,79849100.0,ns,276
schedule,sparsey,,,,80617000.0,ns,280
schedule,sparsey,,,,83966300.0,ns,284
schedule,sparsey,,,,82082300.0,ns,288
schedule,sparsey,,,,84626600.0,ns,292
schedule,sparsey,,,,84200000.0,ns,296
schedule,sparsey,,,,84966000.0,ns,300
schedule,sparsey,,,,86323900.0,ns,304
schedule,sparsey,,,,88946100.0,ns,308
schedule,sparsey,,,,88879000.0,ns,312
schedule,sparsey,,,,89681100.0,ns,316
schedule,sparsey,,,,91460600.0,ns,320
schedule,sparsey,,,,92493300.0,ns,324
schedule,sparsey,,,,93272900.0,ns,328
schedule,sparsey,,,,95001000.0,ns,332
schedule,sparsey,,,,95835500.0,ns,336
schedule,sparsey,,,,97415200.0,ns,340
schedule,sparsey,,,,98800300.0,ns,344
schedule,sparsey,,,,99809800.0,ns,348
schedule,sparsey,,,,99862600.0,ns,352
schedule,sparsey,,,,101587500.0,ns,356
schedule,sparsey,,,,102708400.0,ns,360
schedule,sparsey,,,,103672200.0,ns,364
schedule,sparsey,,,,105210400.0,ns,368
schedule,sparsey,,,,106933600.0,ns,372
schedule,sparsey,,,,107256100.0,ns,376
schedule,sparsey,,,,109677600.0,ns,380
schedule,sparsey,,,,110526600.0,ns,384
schedule,sparsey,,,,111358100.0,ns,388
schedule,sparsey,,,,112361800.0,ns,392
schedule,sparsey,,,,111869000.0,ns,396
schedule,sparsey,,,,114363600.0,ns,400
