group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,sparsey_packed,,,,1084500.0,ns,8
schedule,sparsey_packed,,,,2033600.0,ns,16
schedule,sparsey_packed,,,,3113700.0,ns,24
schedule,sparsey_packed,,,,4162800.0,ns,32
schedule,sparsey_packed,,,,5280200.0,ns,40
schedule,sparsey_packed,,,,6073200.0,ns,48
schedule,sparsey_packed,,,,7257200.0,ns,56
schedule,sparsey_packed,,,,8222200.0,ns,64
schedule,sparsey_packed,,,,9210100.0,ns,72
schedule,sparsey_packed,,,,10062200.0,ns,80
schedule,sparsey_packed,,,,11274300.0,ns,88
schedule,sparsey_packed,,,,12198300.0,ns,96
schedule,sparsey_packed,,,,13309400.0,ns,104
schedule,sparsey_packed,,,,14260100.0,ns,112
schedule,sparsey_packed,,,,15318200.0,ns,120
schedule,sparsey_packed,,,,16517000.0,ns,128
schedule,sparsey_packed,,,,17371300.0,ns,136
schedule,sparsey_packed,,,,18369800.0,ns,144
schedule,sparsey_packed,,,,19472000.0,ns,152
schedule,sparsey_packed,,,,20565500.0,ns,160
schedule,sparsey_packed,,,,21695600.0,ns,168
schedule,sparsey_packed,,,,22598100.0,ns,176
schedule,sparsey_packed,,,,23492200.0,ns,184
schedule,sparsey_packed,,,,24696000.0,ns,192
schedule,sparsey_packed,,,,25384800.0,ns,200
schedule,sparsey_packed,,,,26672600.0,ns,208
schedule,sparsey_packed,,,,27366200.0,ns,216
schedule,sparsey_packed,,,,28537600.0,ns,224
schedule,sparsey_packed,,,,29530700.0,ns,232
schedule,sparsey_packed,,,,30341000.0,ns,240
schedule,sparsey_packed,,,,31471000.0,ns,248
schedule,sparsey_packed,,,,32424000.0,ns,256
schedule,sparsey_packed,,,,33736100.0,ns,264
schedule,sparsey_packed,,,,34431500.0,ns,272
schedule,sparsey_packed,,,,35724400.0,ns,280
schedule,sparsey_packed,,,,36510500.0,ns,288
schedule,sparsey_packed,,,,37221400.0,ns,296
schedule,sparsey_packed,,,,38596000.0,ns,304
schedule,sparsey_packed,,,,40664500.0,ns,312
schedule,sparsey_packed,,,,40664800.0,ns,320
schedule,sparsey_packed,,,,41823500.0,ns,328
schedule,sparsey_packed,,,,42423500.0,ns,336
schedule,sparsey_packed,,,,43699200.0,ns,344
schedule,sparsey_packed,,,,44534400.0,ns,352
schedule,sparsey_packed,,,,45767900.0,ns,360
schedule,sparsey_packed,,,,46764800.0,ns,368
schedule,sparsey_packed,,,,47139700.0,ns,376
schedule,sparsey_packed,,,,49180700.0,ns,384
schedule,sparsey_packed,,,,51882700.0,ns,392
schedule,sparsey_packed,,,,52424100.0,ns,400
schedule,sparsey_packed,,,,53298600.0,ns,408
schedule,sparsey_packed,,,,54617000.0,ns,416
schedule,sparsey_packed,,,,54899400.0,ns,424
schedule,sparsey_packed,,,,55484600.0,ns,432
schedule,sparsey_packed,,,,56270700.0,ns,440
schedule,sparsey_packed,,,,56915000.0,ns,448
schedule,sparsey_packed,,,,58831900.0,ns,456
schedule,sparsey_packed,,,,59000600.0,ns,464
schedule,sparsey_packed,,,,60726000.0,ns,472
schedule,sparsey_packed,,,,62950500.0,ns,480
schedule,sparsey_packed,,,,62706300.0,ns,488
schedule,sparsey_packed,,,,65107600.0,ns,496
schedule,sparsey_packed,,,,66950900.0,ns,504
schedule,sparsey_packed,,,,69627800.0,ns,512
schedule,sparsey_packed,,,,68163800.0,ns,520
schedule,sparsey_packed,,,,70429700.0,ns,528
schedule,sparsey_packed,,,,71019100.0,ns,536
schedule,sparsey_packed,,,,70995100.0,ns,544
schedule,sparsey_packed,,,,72716400.0,ns,552
schedule,sparsey_packed,,,,74384000.0,ns,560
schedule,sparsey_packed,,,,72596600.0,ns,568
schedule,sparsey_packed,,,,74241400.0,ns,576
schedule,sparsey_packed,,,,75657700.0,ns,584
schedule,sparsey_packed,,,,76585700.0,ns,592
schedule,sparsey_packed,,,,77837500.0,ns,600
schedule,sparsey_packed,,,,78283400.0,ns,608
schedule,sparsey_packed,,,,78194600.0,ns,616
schedule,sparsey_packed,,,,79731700.0,ns,624
schedule,sparsey_packed,,,,80445600.0,ns,632
schedule,sparsey_packed,,,,81745400.0,ns,640
schedule,sparsey_packed,,,,82693700.0,ns,648
schedule,sparsey_packed,,,,85630000.0,ns,656
schedule,sparsey_packed,,,,85032400.0,ns,664
schedule,sparsey_packed,,,,86093600.0,ns,672
schedule,sparsey_packed,,,,86202400.0,ns,680
schedule,sparsey_packed,,,,88429000.0,ns,688
schedule,sparsey_packed,,,,87991000.0,ns,696
schedule,sparsey_packed,,,,88911300.0,ns,704
schedule,sparsey_packed,,,,90342100.0,ns,712
schedule,sparsey_packed,,,,92710400.0,ns,720
schedule,sparsey_packed,,,,93441400.0,ns,728
schedule,sparsey_packed,,,,93508000.0,ns,736
schedule,sparsey_packed,,,,94475600.0,ns,744
schedule,sparsey_packed,,,,95471300.0,ns,752
schedule,sparsey_packed,,,,95975900.0,ns,760
schedule,sparsey_packed,,,,97965400.0,ns,768
schedule,sparsey_packed,,,,98539000.0,ns,776
schedule,sparsey_packed,,,,100276000.0,ns,784
schedule,sparsey_packed,,,,100881100.0,ns,792
schedule,sparsey_packed,,,,102204500.0,ns,800
