group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,sparsey_packed,,,,1092200.0,ns,8
schedule,sparsey_packed,,,,2045500.0,ns,16
schedule,sparsey_packed,,,,3435700.0,ns,24
schedule,sparsey_packed,,,,4011100.0,ns,32
schedule,sparsey_packed,,,,5252500.0,ns,40
schedule,sparsey_packed,,,,5927000.0,ns,48
schedule,sparsey_packed,,,,7471500.0,ns,56
schedule,sparsey_packed,,,,7951000.0,ns,64
schedule,sparsey_packed,,,,9584400.0,ns,72
schedule,sparsey_packed,,,,9982900.0,ns,80
schedule,sparsey_packed,,,,11748500.0,ns,88
schedule,sparsey_packed,,,,12020400.0,ns,96
schedule,sparsey_packed,,,,13746100.0,ns,104
schedule,sparsey_packed,,,,13789600.0,ns,112
schedule,sparsey_packed,,,,15869400.0,ns,120
schedule,sparsey_packed,,,,15683300.0,ns,128
schedule,sparsey_packed,,,,18161300.0,ns,136
schedule,sparsey_packed,,,,17897200.0,ns,144
schedule,sparsey_packed,,,,20118000.0,ns,152
schedule,sparsey_packed,,,,19789400.0,ns,160
schedule,sparsey_packed,,,,22272800.0,ns,168
schedule,sparsey_packed,,,,22154700.0,ns,176
schedule,sparsey_packed,,,,24480800.0,ns,184
schedule,sparsey_packed,,,,23703200.0,ns,192
schedule,sparsey_packed,,,,26554700.0,ns,200
schedule,sparsey_packed,,,,25938300.0,ns,208
schedule,sparsey_packed,,,,28846900.0,ns,216
schedule,sparsey_packed,,,,28930800.0,ns,224
schedule,sparsey_packed,,,,31079500.0,ns,232
schedule,sparsey_packed,,,,29949200.0,ns,240
schedule,sparsey_packed,,,,33149000.0,ns,248
schedule,sparsey_packed,,,,32094700.0,ns,256
schedule,sparsey_packed,,,,34822600.0,ns,264
schedule,sparsey_packed,,,,34029300.0,ns,272
schedule,sparsey_packed,,,,36404600.0,ns,280
schedule,sparsey_packed,,,,35886200.0,ns,288
schedule,sparsey_packed,,,,38457900.0,ns,296
schedule,sparsey_packed,,,,37599700.0,ns,304
schedule,sparsey_packed,,,,40227100.0,ns,312
schedule,sparsey_packed,,,,39472200.0,ns,320
schedule,sparsey_packed,,,,41227200.0,ns,328
schedule,sparsey_packed,,,,41415100.0,ns,336
schedule,sparsey_packed,,,,42978100.0,ns,344
schedule,sparsey_packed,,,,43931700.0,ns,352
schedule,sparsey_packed,,,,44665900.0,ns,360
schedule,sparsey_packed,,,,45561300.0,ns,368
schedule,sparsey_packed,,,,47110600.0,ns,376
schedule,sparsey_packed,,,,47640500.0,ns,384
schedule,sparsey_packed,,,,48929200.0,ns,392
schedule,sparsey_packed,,,,49635500.0,ns,400
schedule,sparsey_packed,,,,50584800.0,ns,408
schedule,sparsey_packed,,,,52376400.0,ns,416
schedule,sparsey_packed,,,,53848200.0,ns,424
schedule,sparsey_packed,,,,53701000.0,ns,432
schedule,sparsey_packed,,,,54820400.0,ns,440
schedule,sparsey_packed,,,,55831300.0,ns,448
schedule,sparsey_packed,,,,56634700.0,ns,456
schedule,sparsey_packed,,,,57616600.0,ns,464
schedule,sparsey_packed,,,,58487500.0,ns,472
schedule,sparsey_packed,,,,59453500.0,ns,480
schedule,sparsey_packed,,,,60397900.0,ns,488
schedule,sparsey_packed,,,,61389500.0,ns,496
schedule,sparsey_packed,,,,63656400.0,ns,504
schedule,sparsey_packed,,,,64562000.0,ns,512
schedule,sparsey_packed,,,,65357700.0,ns,520
schedule,sparsey_packed,,,,65695500.0,ns,528
schedule,sparsey_packed,,,,66759300.0,ns,536
schedule,sparsey_packed,,,,67269300.0,ns,544
schedule,sparsey_packed,,,,68732400.0,ns,552
schedule,sparsey_packed,,,,69047400.0,ns,560
schedule,sparsey_packed,,,,70097600.0,ns,568
schedule,sparsey_packed,,,,70567900.0,ns,576
schedule,sparsey_packed,,,,72560100.0,ns,584
schedule,sparsey_packed,,,,73505400.0,ns,592
schedule,sparsey_packed,,,,74646600.0,ns,600
schedule,sparsey_packed,,,,75573000.0,ns,608
schedule,sparsey_packed,,,,76639100.0,ns,616
schedule,sparsey_packed,,,,76595100.0,ns,624
schedule,sparsey_packed,,,,77533800.0,ns,632
schedule,sparsey_packed,,,,80014200.0,ns,640
schedule,sparsey_packed,,,,81042800.0,ns,648
schedule,sparsey_packed,,,,81948500.0,ns,656
schedule,sparsey_packed,,,,82192900.0,ns,664
schedule,sparsey_packed,,,,83919700.0,ns,672
schedule,sparsey_packed,,,,84387700.0,ns,680
schedule,sparsey_packed,,,,85169700.0,ns,688
schedule,sparsey_packed,,,,84966800.0,ns,696
schedule,sparsey_packed,,,,86167600.0,ns,704
schedule,sparsey_packed,,,,87958700.0,ns,712
schedule,sparsey_packed,,,,90182100.0,ns,720
schedule,sparsey_packed,,,,90323100.0,ns,728
schedule,sparsey_packed,,,,92332200.0,ns,736
schedule,sparsey_packed,,,,92661300.0,ns,744
schedule,sparsey_packed,,,,92956800.0,ns,752
schedule,sparsey_packed,,,,93450000.0,ns,760
schedule,sparsey_packed,,,,94873400.0,ns,768
schedule,sparsey_packed,,,,96396000.0,ns,776
schedule,sparsey_packed,,,,97415600.0,ns,784
schedule,sparsey_packed,,,,99767000.0,ns,792
schedule,sparsey_packed,,,,103601700.0,ns,800
