group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,1032300.0,ns,4
schedule,specs,,,,1996400.0,ns,8
schedule,specs,,,,3023900.0,ns,12
schedule,specs,,,,3964200.0,ns,16
schedule,specs,,,,4978000.0,ns,20
schedule,specs,,,,5958800.0,ns,24
schedule,specs,,,,6981800.0,ns,28
schedule,specs,,,,7900900.0,ns,32
schedule,specs,,,,8899800.0,ns,36
schedule,specs,,,,9889300.0,ns,40
schedule,specs,,,,10888300.0,ns,44
schedule,specs,,,,11957600.0,ns,48
schedule,specs,,,,12915600.0,ns,52
schedule,specs,,,,14095100.0,ns,56
schedule,specs,,,,14984700.0,ns,60
schedule,specs,,,,15790800.0,ns,64
schedule,specs,,,,16796600.0,ns,68
schedule,specs,,,,18068800.0,ns,72
schedule,specs,,,,18842000.0,ns,76
schedule,specs,,,,19780100.0,ns,80
schedule,specs,,,,20834700.0,ns,84
schedule,specs,,,,21908700.0,ns,88
schedule,specs,,,,22986500.0,ns,92
schedule,specs,,,,23718200.0,ns,96
schedule,specs,,,,24701500.0,ns,100
schedule,specs,,,,25704200.0,ns,104
schedule,specs,,,,26679600.0,ns,108
schedule,specs,,,,27693400.0,ns,112
schedule,specs,,,,28725700.0,ns,116
schedule,specs,,,,29900500.0,ns,120
schedule,specs,,,,30559600.0,ns,124
schedule,specs,,,,31630000.0,ns,128
schedule,specs,,,,34195200.0,ns,132
schedule,specs,,,,33650500.0,ns,136
schedule,specs,,,,34720500.0,ns,140
schedule,specs,,,,36410000.0,ns,144
schedule,specs,,,,36879400.0,ns,148
schedule,specs,,,,38621200.0,ns,152
schedule,specs,,,,38714900.0,ns,156
schedule,specs,,,,39585500.0,ns,160
schedule,specs,,,,40597200.0,ns,164
schedule,specs,,,,41851600.0,ns,168
schedule,specs,,,,42595300.0,ns,172
schedule,specs,,,,43550000.0,ns,176
schedule,specs,,,,44712300.0,ns,180
schedule,specs,,,,45488600.0,ns,184
schedule,specs,,,,47767000.0,ns,188
schedule,specs,,,,48389700.0,ns,192
schedule,specs,,,,49484700.0,ns,196
schedule,specs,,,,50196000.0,ns,200
schedule,specs,,,,50429000.0,ns,204
schedule,specs,,,,51995700.0,ns,208
schedule,specs,,,,53118000.0,ns,212
schedule,specs,,,,53956000.0,ns,216
schedule,specs,,,,54889700.0,ns,220
schedule,specs,,,,55898100.0,ns,224
schedule,specs,,,,58011200.0,ns,228
schedule,specs,,,,58048400.0,ns,232
schedule,specs,,,,58923600.0,ns,236
schedule,specs,,,,59632200.0,ns,240
schedule,specs,,,,60383300.0,ns,244
schedule,specs,,,,62196800.0,ns,248
schedule,specs,,,,62332700.0,ns,252
schedule,specs,,,,63610100.0,ns,256
schedule,specs,,,,64591500.0,ns,260
schedule,specs,,,,65767700.0,ns,264
schedule,specs,,,,66671000.0,ns,268
schedule,specs,,,,67323000.0,ns,272
schedule,specs,,,,68506000.0,ns,276
schedule,specs,,,,70229600.0,ns,280
schedule,specs,,,,71122700.0,ns,284
schedule,specs,,,,73232500.0,ns,288
schedule,specs,,,,72237400.0,ns,292
schedule,specs,,,,75323200.0,ns,296
schedule,specs,,,,74459800.0,ns,300
schedule,specs,,,,75204000.0,ns,304
schedule,specs,,,,76174900.0,ns,308
schedule,specs,,,,77816000.0,ns,312
schedule,specs,,,,78048200.0,ns,316
schedule,specs,,,,79191000.0,ns,320
schedule,specs,,,,80815200.0,ns,324
schedule,specs,,,,82947300.0,ns,328
schedule,specs,,,,84294800.0,ns,332
schedule,specs,,,,83153700.0,ns,336
schedule,specs,,,,85925500.0,ns,340
schedule,specs,,,,86722500.0,ns,344
schedule,specs,,,,86645700.0,ns,348
schedule,specs,,,,87172800.0,ns,352
schedule,specs,,,,88366000.0,ns,356
schedule,specs,,,,89257700.0,ns,360
schedule,specs,,,,90009900.0,ns,364
schedule,specs,,,,91739300.0,ns,368
schedule,specs,,,,92149000.0,ns,372
schedule,specs,,,,93455900.0,ns,376
schedule,specs,,,,94420400.0,ns,380
schedule,specs,,,,95066900.0,ns,384
schedule,specs,,,,97604200.0,ns,388
schedule,specs,,,,98770200.0,ns,392
schedule,specs,,,,98330700.0,ns,396
schedule,specs,,,,99003900.0,ns,400
