group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
schedule,specs,,,,1221400.0,ns,5
schedule,specs,,,,2439000.0,ns,10
schedule,specs,,,,3720200.0,ns,15
schedule,specs,,,,4876500.0,ns,20
schedule,specs,,,,6145700.0,ns,25
schedule,specs,,,,7282700.0,ns,30
schedule,specs,,,,8501800.0,ns,35
schedule,specs,,,,9738800.0,ns,40
schedule,specs,,,,10946000.0,ns,45
schedule,specs,,,,12163700.0,ns,50
schedule,specs,,,,13350200.0,ns,55
schedule,specs,,,,14618000.0,ns,60
schedule,specs,,,,15844500.0,ns,65
schedule,specs,,,,17065400.0,ns,70
schedule,specs,,,,18245000.0,ns,75
schedule,specs,,,,19429100.0,ns,80
schedule,specs,,,,20656900.0,ns,85
schedule,specs,,,,21927700.0,ns,90
schedule,specs,,,,23260600.0,ns,95
schedule,specs,,,,24347700.0,ns,100
schedule,specs,,,,25569500.0,ns,105
schedule,specs,,,,26896100.0,ns,110
schedule,specs,,,,28077900.0,ns,115
schedule,specs,,,,29240500.0,ns,120
schedule,specs,,,,30413300.0,ns,125
schedule,specs,,,,31747300.0,ns,130
schedule,specs,,,,32895700.0,ns,135
schedule,specs,,,,34017100.0,ns,140
schedule,specs,,,,35209400.0,ns,145
schedule,specs,,,,36502800.0,ns,150
schedule,specs,,,,37670700.0,ns,155
schedule,specs,,,,38840200.0,ns,160
schedule,specs,,,,40229000.0,ns,165
schedule,specs,,,,41519400.0,ns,170
schedule,specs,,,,42521200.0,ns,175
schedule,specs,,,,43817100.0,ns,180
schedule,specs,,,,45064000.0,ns,185
schedule,specs,,,,46317500.0,ns,190
schedule,specs,,,,47495300.0,ns,195
schedule,specs,,,,48781700.0,ns,200
schedule,specs,,,,49844700.0,ns,205
schedule,specs,,,,51220400.0,ns,210
schedule,specs,,,,52310200.0,ns,215
schedule,specs,,,,53418800.0,ns,220
schedule,specs,,,,54732500.0,ns,225
schedule,specs,,,,55993600.0,ns,230
schedule,specs,,,,57247300.0,ns,235
schedule,specs,,,,58309900.0,ns,240
schedule,specs,,,,59721400.0,ns,245
schedule,specs,,,,60800600.0,ns,250
schedule,specs,,,,62086500.0,ns,255
schedule,specs,,,,63508400.0,ns,260
schedule,specs,,,,64431000.0,ns,265
schedule,specs,,,,65588800.0,ns,270
schedule,specs,,,,67010000.0,ns,275
schedule,specs,,,,68309600.0,ns,280
schedule,specs,,,,69391000.0,ns,285
schedule,specs,,,,70597700.0,ns,290
schedule,specs,,,,71727300.0,ns,295
schedule,specs,,,,73006300.0,ns,300
schedule,specs,,,,74143900.0,ns,305
schedule,specs,,,,75455000.0,ns,310
schedule,specs,,,,76535900.0,ns,315
schedule,specs,,,,77835900.0,ns,320
schedule,specs,,,,79153400.0,ns,325
schedule,specs,,,,80417000.0,ns,330
schedule,specs,,,,81691200.0,ns,335
schedule,specs,,,,82792600.0,ns,340
schedule,specs,,,,84131600.0,ns,345
schedule,specs,,,,85294300.0,ns,350
schedule,specs,,,,86355800.0,ns,355
schedule,specs,,,,87517500.0,ns,360
schedule,specs,,,,88664700.0,ns,365
schedule,specs,,,,90328100.0,ns,370
schedule,specs,,,,91196400.0,ns,375
schedule,specs,,,,92311900.0,ns,380
schedule,specs,,,,93666200.0,ns,385
schedule,specs,,,,95065200.0,ns,390
schedule,specs,,,,96157000.0,ns,395
schedule,specs,,,,97334500.0,ns,400
schedule,specs,,,,98565300.0,ns,405
schedule,specs,,,,99949000.0,ns,410
schedule,specs,,,,101286600.0,ns,415
schedule,specs,,,,102375700.0,ns,420
schedule,specs,,,,103400000.0,ns,425
schedule,specs,,,,104412800.0,ns,430
schedule,specs,,,,105971300.0,ns,435
schedule,specs,,,,107004200.0,ns,440
schedule,specs,,,,108506600.0,ns,445
schedule,specs,,,,109395100.0,ns,450
schedule,specs,,,,110910700.0,ns,455
schedule,specs,,,,112111200.0,ns,460
schedule,specs,,,,113081600.0,ns,465
schedule,specs,,,,114401000.0,ns,470
schedule,specs,,,,115644400.0,ns,475
schedule,specs,,,,117278400.0,ns,480
schedule,specs,,,,118304400.0,ns,485
schedule,specs,,,,119335500.0,ns,490
schedule,specs,,,,120330200.0,ns,495
schedule,specs,,,,121655600.0,ns,500
