group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1119700.0,ns,3
serialize_binary,hecs,,,,2196100.0,ns,6
serialize_binary,hecs,,,,3298000.0,ns,9
serialize_binary,hecs,,,,4368600.0,ns,12
serialize_binary,hecs,,,,5468600.0,ns,15
serialize_binary,hecs,,,,6537000.0,ns,18
serialize_binary,hecs,,,,7620500.0,ns,21
serialize_binary,hecs,,,,8779200.0,ns,24
serialize_binary,hecs,,,,9906200.0,ns,27
serialize_binary,hecs,,,,10937000.0,ns,30
serialize_binary,hecs,,,,12010400.0,ns,33
serialize_binary,hecs,,,,13135300.0,ns,36
serialize_binary,hecs,,,,14198600.0,ns,39
serialize_binary,hecs,,,,15281500.0,ns,42
serialize_binary,hecs,,,,16355500.0,ns,45
serialize_binary,hecs,,,,17383000.0,ns,48
serialize_binary,hecs,,,,18485800.0,ns,51
serialize_binary,hecs,,,,19559400.0,ns,54
serialize_binary,hecs,,,,20659100.0,ns,57
serialize_binary,hecs,,,,21724400.0,ns,60
serialize_binary,hecs,,,,22795300.0,ns,63
serialize_binary,hecs,,,,23937200.0,ns,66
serialize_binary,hecs,,,,25017900.0,ns,69
serialize_binary,hecs,,,,26124300.0,ns,72
serialize_binary,hecs,,,,27354300.0,ns,75
serialize_binary,hecs,,,,28394300.0,ns,78
serialize_binary,hecs,,,,29415900.0,ns,81
serialize_binary,hecs,,,,30440800.0,ns,84
serialize_binary,hecs,,,,31520800.0,ns,87
serialize_binary,hecs,,,,32608500.0,ns,90
serialize_binary,hecs,,,,33889700.0,ns,93
serialize_binary,hecs,,,,34769700.0,ns,96
serialize_binary,hecs,,,,35843800.0,ns,99
serialize_binary,hecs,,,,36952200.0,ns,102
serialize_binary,hecs,,,,38019200.0,ns,105
serialize_binary,hecs,,,,39096200.0,ns,108
serialize_binary,hecs,,,,40306200.0,ns,111
serialize_binary,hecs,,,,41452100.0,ns,114
serialize_binary,hecs,,,,42353000.0,ns,117
serialize_binary,hecs,,,,43432000.0,ns,120
serialize_binary,hecs,,,,44563300.0,ns,123
serialize_binary,hecs,,,,45601700.0,ns,126
serialize_binary,hecs,,,,46764300.0,ns,129
serialize_binary,hecs,,,,47835300.0,ns,132
serialize_binary,hecs,,,,48897500.0,ns,135
serialize_binary,hecs,,,,49937600.0,ns,138
serialize_binary,hecs,,,,51075600.0,ns,141
serialize_binary,hecs,,,,52227300.0,ns,144
serialize_binary,hecs,,,,53310600.0,ns,147
serialize_binary,hecs,,,,54399500.0,ns,150
serialize_binary,hecs,,,,55485000.0,ns,153
serialize_binary,hecs,,,,56824600.0,ns,156
serialize_binary,hecs,,,,58539300.0,ns,159
serialize_binary,hecs,,,,58700400.0,ns,162
serialize_binary,hecs,,,,59852000.0,ns,165
serialize_binary,hecs,,,,60839600.0,ns,168
serialize_binary,hecs,,,,62009000.0,ns,171
serialize_binary,hecs,,,,63010500.0,ns,174
serialize_binary,hecs,,,,64135200.0,ns,177
serialize_binary,hecs,,,,65231100.0,ns,180
serialize_binary,hecs,,,,66338100.0,ns,183
serialize_binary,hecs,,,,67390000.0,ns,186
serialize_binary,hecs,,,,68484300.0,ns,189
serialize_binary,hecs,,,,69634000.0,ns,192
serialize_binary,hecs,,,,70641900.0,ns,195
serialize_binary,hecs,,,,71798900.0,ns,198
serialize_binary,hecs,,,,72838600.0,ns,201
serialize_binary,hecs,,,,75361900.0,ns,204
serialize_binary,hecs,,,,74895200.0,ns,207
serialize_binary,hecs,,,,76090000.0,ns,210
serialize_binary,hecs,,,,77460500.0,ns,213
serialize_binary,hecs,,,,78210600.0,ns,216
serialize_binary,hecs,,,,79468600.0,ns,219
serialize_binary,hecs,,,,80375100.0,ns,222
serialize_binary,hecs,,,,81514600.0,ns,225
serialize_binary,hecs,,,,82527100.0,ns,228
serialize_binary,hecs,,,,83857500.0,ns,231
serialize_binary,hecs,,,,84790100.0,ns,234
serialize_binary,hecs,,,,86186000.0,ns,237
serialize_binary,hecs,,,,88557700.0,ns,240
serialize_binary,hecs,,,,88000700.0,ns,243
serialize_binary,hecs,,,,90324500.0,ns,246
serialize_binary,hecs,,,,90421000.0,ns,249
serialize_binary,hecs,,,,91330100.0,ns,252
serialize_binary,hecs,,,,92455500.0,ns,255
serialize_binary,hecs,,,,93615900.0,ns,258
serialize_binary,hecs,,,,94711000.0,ns,261
serialize_binary,hecs,,,,95772800.0,ns,264
serialize_binary,hecs,,,,96712500.0,ns,267
serialize_binary,hecs,,,,97827700.0,ns,270
serialize_binary,hecs,,,,100911200.0,ns,273
serialize_binary,hecs,,,,99991200.0,ns,276
serialize_binary,hecs,,,,101620600.0,ns,279
serialize_binary,hecs,,,,102753400.0,ns,282
serialize_binary,hecs,,,,103238300.0,ns,285
serialize_binary,hecs,,,,104387600.0,ns,288
serialize_binary,hecs,,,,106229600.0,ns,291
serialize_binary,hecs,,,,107251200.0,ns,294
serialize_binary,hecs,,,,108780600.0,ns,297
serialize_binary,hecs,,,,108776300.0,ns,300
