group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,hecs,,,,1070900.0,ns,3
serialize_binary,hecs,,,,2085000.0,ns,6
serialize_binary,hecs,,,,3112800.0,ns,9
serialize_binary,hecs,,,,4178300.0,ns,12
serialize_binary,hecs,,,,5190900.0,ns,15
serialize_binary,hecs,,,,6232200.0,ns,18
serialize_binary,hecs,,,,7284900.0,ns,21
serialize_binary,hecs,,,,8307900.0,ns,24
serialize_binary,hecs,,,,9343000.0,ns,27
serialize_binary,hecs,,,,10374100.0,ns,30
serialize_binary,hecs,,,,11408000.0,ns,33
serialize_binary,hecs,,,,12452700.0,ns,36
serialize_binary,hecs,,,,13483600.0,ns,39
serialize_binary,hecs,,,,14501300.0,ns,42
serialize_binary,hecs,,,,15546300.0,ns,45
serialize_binary,hecs,,,,16597400.0,ns,48
serialize_binary,hecs,,,,17624600.0,ns,51
serialize_binary,hecs,,,,18660900.0,ns,54
serialize_binary,hecs,,,,19723400.0,ns,57
serialize_binary,hecs,,,,20759800.0,ns,60
serialize_binary,hecs,,,,21776300.0,ns,63
serialize_binary,hecs,,,,22812000.0,ns,66
serialize_binary,hecs,,,,23851400.0,ns,69
serialize_binary,hecs,,,,24887700.0,ns,72
serialize_binary,hecs,,,,28363500.0,ns,75
serialize_binary,hecs,,,,27003900.0,ns,78
serialize_binary,hecs,,,,28004800.0,ns,81
serialize_binary,hecs,,,,29244100.0,ns,84
serialize_binary,hecs,,,,30058000.0,ns,87
serialize_binary,hecs,,,,31120500.0,ns,90
serialize_binary,hecs,,,,32150500.0,ns,93
serialize_binary,hecs,,,,33200900.0,ns,96
serialize_binary,hecs,,,,34230000.0,ns,99
serialize_binary,hecs,,,,35253900.0,ns,102
serialize_binary,hecs,,,,36307900.0,ns,105
serialize_binary,hecs,,,,37335700.0,ns,108
serialize_binary,hecs,,,,38399700.0,ns,111
serialize_binary,hecs,,,,39706200.0,ns,114
serialize_binary,hecs,,,,40434500.0,ns,117
serialize_binary,hecs,,,,41465000.0,ns,120
serialize_binary,hecs,,,,42584300.0,ns,123
serialize_binary,hecs,,,,43576300.0,ns,126
serialize_binary,hecs,,,,44586000.0,ns,129
serialize_binary,hecs,,,,45669200.0,ns,132
serialize_binary,hecs,,,,46698100.0,ns,135
serialize_binary,hecs,,,,47772700.0,ns,138
serialize_binary,hecs,,,,48792600.0,ns,141
serialize_binary,hecs,,,,49800000.0,ns,144
serialize_binary,hecs,,,,50839600.0,ns,147
serialize_binary,hecs,,,,53514800.0,ns,150
serialize_binary,hecs,,,,52953800.0,ns,153
serialize_binary,hecs,,,,53976000.0,ns,156
serialize_binary,hecs,,,,54992400.0,ns,159
serialize_binary,hecs,,,,56063900.0,ns,162
serialize_binary,hecs,,,,57329600.0,ns,165
serialize_binary,hecs,,,,58199700.0,ns,168
serialize_binary,hecs,,,,59153300.0,ns,171
serialize_binary,hecs,,,,60246200.0,ns,174
serialize_binary,hecs,,,,61273500.0,ns,177
serialize_binary,hecs,,,,62307200.0,ns,180
serialize_binary,hecs,,,,63507800.0,ns,183
serialize_binary,hecs,,,,64452100.0,ns,186
serialize_binary,hecs,,,,65391300.0,ns,189
serialize_binary,hecs,,,,66426500.0,ns,192
serialize_binary,hecs,,,,67442700.0,ns,195
serialize_binary,hecs,,,,68665400.0,ns,198
serialize_binary,hecs,,,,69836200.0,ns,201
serialize_binary,hecs,,,,70692400.0,ns,204
serialize_binary,hecs,,,,71612800.0,ns,207
serialize_binary,hecs,,,,72858000.0,ns,210
serialize_binary,hecs,,,,73709000.0,ns,213
serialize_binary,hecs,,,,74709100.0,ns,216
serialize_binary,hecs,,,,75909400.0,ns,219
serialize_binary,hecs,,,,76900400.0,ns,222
serialize_binary,hecs,,,,78288600.0,ns,225
serialize_binary,hecs,,,,78918700.0,ns,228
serialize_binary,hecs,,,,79869600.0,ns,231
serialize_binary,hecs,,,,80974500.0,ns,234
serialize_binary,hecs,,,,81969000.0,ns,237
serialize_binary,hecs,,,,94978700.0,ns,240
serialize_binary,hecs,,,,84036600.0,ns,243
serialize_binary,hecs,,,,85039300.0,ns,246
serialize_binary,hecs,,,,86566900.0,ns,249
serialize_binary,hecs,,,,87092300.0,ns,252
serialize_binary,hecs,,,,88348100.0,ns,255
serialize_binary,hecs,,,,91350500.0,ns,258
serialize_binary,hecs,,,,93041700.0,ns,261
serialize_binary,hecs,,,,93784600.0,ns,264
serialize_binary,hecs,,,,93543300.0,ns,267
serialize_binary,hecs,,,,94127400.0,ns,270
serialize_binary,hecs,,,,97284700.0,ns,273
serialize_binary,hecs,,,,98297200.0,ns,276
serialize_binary,hecs,,,,99185700.0,ns,279
serialize_binary,hecs,,,,99645200.0,ns,282
serialize_binary,hecs,,,,101724300.0,ns,285
serialize_binary,hecs,,,,102428500.0,ns,288
serialize_binary,hecs,,,,102241000.0,ns,291
serialize_binary,hecs,,,,103638200.0,ns,294
serialize_binary,hecs,,,,103835000.0,ns,297
serialize_binary,hecs,,,,105683200.0,ns,300
