group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,52896900.0,ns,12
serialize_binary,legion,,,,52721300.0,ns,12
serialize_binary,legion,,,,52735100.0,ns,12
serialize_binary,legion,,,,52838100.0,ns,12
serialize_binary,legion,,,,52788100.0,ns,12
serialize_binary,legion,,,,52690000.0,ns,12
serialize_binary,legion,,,,52794600.0,ns,12
serialize_binary,legion,,,,52754300.0,ns,12
serialize_binary,legion,,,,52792800.0,ns,12
serialize_binary,legion,,,,52754000.0,ns,12
serialize_binary,legion,,,,52843600.0,ns,12
serialize_binary,legion,,,,52773600.0,ns,12
serialize_binary,legion,,,,52751900.0,ns,12
serialize_binary,legion,,,,52645800.0,ns,12
serialize_binary,legion,,,,52782000.0,ns,12
serialize_binary,legion,,,,52806900.0,ns,12
serialize_binary,legion,,,,52791200.0,ns,12
serialize_binary,legion,,,,52778700.0,ns,12
serialize_binary,legion,,,,52708400.0,ns,12
serialize_binary,legion,,,,52729200.0,ns,12
serialize_binary,legion,,,,52816000.0,ns,12
serialize_binary,legion,,,,52755800.0,ns,12
serialize_binary,legion,,,,52810900.0,ns,12
serialize_binary,legion,,,,52665900.0,ns,12
serialize_binary,legion,,,,52730400.0,ns,12
serialize_binary,legion,,,,52762500.0,ns,12
serialize_binary,legion,,,,52888500.0,ns,12
serialize_binary,legion,,,,52809100.0,ns,12
serialize_binary,legion,,,,52772800.0,ns,12
serialize_binary,legion,,,,52725500.0,ns,12
serialize_binary,legion,,,,52674300.0,ns,12
serialize_binary,legion,,,,52842500.0,ns,12
serialize_binary,legion,,,,52859200.0,ns,12
serialize_binary,legion,,,,52783500.0,ns,12
serialize_binary,legion,,,,52782500.0,ns,12
serialize_binary,legion,,,,52688600.0,ns,12
serialize_binary,legion,,,,52705900.0,ns,12
serialize_binary,legion,,,,52706700.0,ns,12
serialize_binary,legion,,,,52834100.0,ns,12
serialize_binary,legion,,,,52840100.0,ns,12
serialize_binary,legion,,,,52869900.0,ns,12
serialize_binary,legion,,,,52874600.0,ns,12
serialize_binary,legion,,,,52680500.0,ns,12
serialize_binary,legion,,,,52780400.0,ns,12
serialize_binary,legion,,,,52823900.0,ns,12
serialize_binary,legion,,,,52851100.0,ns,12
serialize_binary,legion,,,,52758700.0,ns,12
serialize_binary,legion,,,,52725100.0,ns,12
serialize_binary,legion,,,,52839700.0,ns,12
serialize_binary,legion,,,,52775100.0,ns,12
serialize_binary,legion,,,,52880500.0,ns,12
serialize_binary,legion,,,,52902800.0,ns,12
serialize_binary,legion,,,,52669900.0,ns,12
serialize_binary,legion,,,,52782300.0,ns,12
serialize_binary,legion,,,,52774600.0,ns,12
serialize_binary,legion,,,,53010200.0,ns,12
serialize_binary,legion,,,,52777500.0,ns,12
serialize_binary,legion,,,,52849100.0,ns,12
serialize_binary,legion,,,,52752700.0,ns,12
serialize_binary,legion,,,,52722100.0,ns,12
serialize_binary,legion,,,,52852500.0,ns,12
serialize_binary,legion,,,,52849000.0,ns,12
serialize_binary,legion,,,,52780100.0,ns,12
serialize_binary,legion,,,,52720500.0,ns,12
serialize_binary,legion,,,,52806000.0,ns,12
serialize_binary,legion,,,,52780300.0,ns,12
serialize_binary,legion,,,,52816000.0,ns,12
serialize_binary,legion,,,,52868000.0,ns,12
serialize_binary,legion,,,,52783900.0,ns,12
serialize_binary,legion,,,,52715300.0,ns,12
serialize_binary,legion,,,,52828400.0,ns,12
serialize_binary,legion,,,,52767700.0,ns,12
serialize_binary,legion,,,,52628100.0,ns,12
serialize_binary,legion,,,,52838700.0,ns,12
serialize_binary,legion,,,,52844200.0,ns,12
serialize_binary,legion,,,,52705400.0,ns,12
serialize_binary,legion,,,,52795400.0,ns,12
serialize_binary,legion,,,,52791900.0,ns,12
serialize_binary,legion,,,,52779500.0,ns,12
serialize_binary,legion,,,,52720100.0,ns,12
serialize_binary,legion,,,,52773300.0,ns,12
serialize_binary,legion,,,,52707500.0,ns,12
serialize_binary,legion,,,,52729300.0,ns,12
serialize_binary,legion,,,,52658500.0,ns,12
serialize_binary,legion,,,,52697700.0,ns,12
serialize_binary,legion,,,,52743500.0,ns,12
serialize_binary,legion,,,,52704200.0,ns,12
serialize_binary,legion,,,,52788300.0,ns,12
serialize_binary,legion,,,,52698100.0,ns,12
serialize_binary,legion,,,,52806400.0,ns,12
serialize_binary,legion,,,,52836400.0,ns,12
serialize_binary,legion,,,,52782400.0,ns,12
serialize_binary,legion,,,,52754900.0,ns,12
serialize_binary,legion,,,,52804400.0,ns,12
serialize_binary,legion,,,,52868500.0,ns,12
serialize_binary,legion,,,,52739400.0,ns,12
serialize_binary,legion,,,,52854700.0,ns,12
serialize_binary,legion,,,,52800300.0,ns,12
serialize_binary,legion,,,,52825500.0,ns,12
serialize_binary,legion,,,,52771900.0,ns,12
