group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_binary,legion,,,,49952600.0,ns,11
serialize_binary,legion,,,,49914200.0,ns,11
serialize_binary,legion,,,,49910700.0,ns,11
serialize_binary,legion,,,,49870700.0,ns,11
serialize_binary,legion,,,,49863800.0,ns,11
serialize_binary,legion,,,,49872700.0,ns,11
serialize_binary,legion,,,,49823300.0,ns,11
serialize_binary,legion,,,,49827400.0,ns,11
serialize_binary,legion,,,,49934600.0,ns,11
serialize_binary,legion,,,,50055000.0,ns,11
serialize_binary,legion,,,,50018100.0,ns,11
serialize_binary,legion,,,,49990500.0,ns,11
serialize_binary,legion,,,,49873300.0,ns,11
serialize_binary,legion,,,,49832200.0,ns,11
serialize_binary,legion,,,,49913800.0,ns,11
serialize_binary,legion,,,,49871100.0,ns,11
serialize_binary,legion,,,,49838500.0,ns,11
serialize_binary,legion,,,,50052200.0,ns,11
serialize_binary,legion,,,,49920500.0,ns,11
serialize_binary,legion,,,,49879500.0,ns,11
serialize_binary,legion,,,,49968800.0,ns,11
serialize_binary,legion,,,,49975100.0,ns,11
serialize_binary,legion,,,,50054800.0,ns,11
serialize_binary,legion,,,,49866400.0,ns,11
serialize_binary,legion,,,,49880300.0,ns,11
serialize_binary,legion,,,,49962700.0,ns,11
serialize_binary,legion,,,,49921400.0,ns,11
serialize_binary,legion,,,,50027400.0,ns,11
serialize_binary,legion,,,,49844200.0,ns,11
serialize_binary,legion,,,,49982800.0,ns,11
serialize_binary,legion,,,,49919700.0,ns,11
serialize_binary,legion,,,,49889500.0,ns,11
serialize_binary,legion,,,,49891500.0,ns,11
serialize_binary,legion,,,,49814300.0,ns,11
serialize_binary,legion,,,,49817600.0,ns,11
serialize_binary,legion,,,,49915400.0,ns,11
serialize_binary,legion,,,,49973000.0,ns,11
serialize_binary,legion,,,,49988300.0,ns,11
serialize_binary,legion,,,,49944400.0,ns,11
serialize_binary,legion,,,,49768300.0,ns,11
serialize_binary,legion,,,,49912600.0,ns,11
serialize_binary,legion,,,,50230600.0,ns,11
serialize_binary,legion,,,,49870600.0,ns,11
serialize_binary,legion,,,,49867800.0,ns,11
serialize_binary,legion,,,,49851700.0,ns,11
serialize_binary,legion,,,,49961400.0,ns,11
serialize_binary,legion,,,,49886500.0,ns,11
serialize_binary,legion,,,,49837000.0,ns,11
serialize_binary,legion,,,,49891700.0,ns,11
serialize_binary,legion,,,,49869200.0,ns,11
serialize_binary,legion,,,,49925300.0,ns,11
serialize_binary,legion,,,,49850300.0,ns,11
serialize_binary,legion,,,,49806500.0,ns,11
serialize_binary,legion,,,,49860900.0,ns,11
serialize_binary,legion,,,,49882900.0,ns,11
serialize_binary,legion,,,,49774600.0,ns,11
serialize_binary,legion,,,,49839900.0,ns,11
serialize_binary,legion,,,,49960200.0,ns,11
serialize_binary,legion,,,,49955100.0,ns,11
serialize_binary,legion,,,,49811900.0,ns,11
serialize_binary,legion,,,,49864800.0,ns,11
serialize_binary,legion,,,,49830200.0,ns,11
serialize_binary,legion,,,,49855100.0,ns,11
serialize_binary,legion,,,,49865300.0,ns,11
serialize_binary,legion,,,,49959200.0,ns,11
serialize_binary,legion,,,,49918000.0,ns,11
serialize_binary,legion,,,,49808000.0,ns,11
serialize_binary,legion,,,,49851100.0,ns,11
serialize_binary,legion,,,,49903000.0,ns,11
serialize_binary,legion,,,,49887100.0,ns,11
serialize_binary,legion,,,,49892800.0,ns,11
serialize_binary,legion,,,,49938100.0,ns,11
serialize_binary,legion,,,,49926500.0,ns,11
serialize_binary,legion,,,,49904300.0,ns,11
serialize_binary,legion,,,,49878600.0,ns,11
serialize_binary,legion,,,,49824600.0,ns,11
serialize_binary,legion,,,,49844000.0,ns,11
serialize_binary,legion,,,,49913000.0,ns,11
serialize_binary,legion,,,,49953900.0,ns,11
serialize_binary,legion,,,,49800400.0,ns,11
serialize_binary,legion,,,,49900600.0,ns,11
serialize_binary,legion,,,,49966500.0,ns,11
serialize_binary,legion,,,,49899300.0,ns,11
serialize_binary,legion,,,,49877800.0,ns,11
serialize_binary,legion,,,,49891600.0,ns,11
serialize_binary,legion,,,,49875500.0,ns,11
serialize_binary,legion,,,,49860300.0,ns,11
serialize_binary,legion,,,,49944000.0,ns,11
serialize_binary,legion,,,,49920900.0,ns,11
serialize_binary,legion,,,,49926500.0,ns,11
serialize_binary,legion,,,,49921700.0,ns,11
serialize_binary,legion,,,,49817600.0,ns,11
serialize_binary,legion,,,,49907300.0,ns,11
serialize_binary,legion,,,,49845400.0,ns,11
serialize_binary,legion,,,,49861100.0,ns,11
serialize_binary,legion,,,,49826700.0,ns,11
serialize_binary,legion,,,,49974800.0,ns,11
serialize_binary,legion,,,,50241700.0,ns,11
serialize_binary,legion,,,,50056300.0,ns,11
serialize_binary,legion,,,,49831500.0,ns,11
