group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,50300700.0,ns,12
serialize_text,hecs,,,,50207900.0,ns,12
serialize_text,hecs,,,,50348000.0,ns,12
serialize_text,hecs,,,,50203800.0,ns,12
serialize_text,hecs,,,,50470300.0,ns,12
serialize_text,hecs,,,,51002500.0,ns,12
serialize_text,hecs,,,,50621900.0,ns,12
serialize_text,hecs,,,,50440200.0,ns,12
serialize_text,hecs,,,,50559200.0,ns,12
serialize_text,hecs,,,,50289900.0,ns,12
serialize_text,hecs,,,,50317600.0,ns,12
serialize_text,hecs,,,,52280200.0,ns,12
serialize_text,hecs,,,,50334700.0,ns,12
serialize_text,hecs,,,,50247200.0,ns,12
serialize_text,hecs,,,,50293400.0,ns,12
serialize_text,hecs,,,,50463900.0,ns,12
serialize_text,hecs,,,,50244200.0,ns,12
serialize_text,hecs,,,,50432100.0,ns,12
serialize_text,hecs,,,,50667000.0,ns,12
serialize_text,hecs,,,,50389900.0,ns,12
serialize_text,hecs,,,,50329700.0,ns,12
serialize_text,hecs,,,,50188800.0,ns,12
serialize_text,hecs,,,,49907800.0,ns,12
serialize_text,hecs,,,,49957200.0,ns,12
serialize_text,hecs,,,,49820700.0,ns,12
serialize_text,hecs,,,,50722700.0,ns,12
serialize_text,hecs,,,,50666600.0,ns,12
serialize_text,hecs,,,,50690100.0,ns,12
serialize_text,hecs,,,,50250500.0,ns,12
serialize_text,hecs,,,,50239800.0,ns,12
serialize_text,hecs,,,,50225800.0,ns,12
serialize_text,hecs,,,,50983400.0,ns,12
serialize_text,hecs,,,,50182500.0,ns,12
serialize_text,hecs,,,,50198500.0,ns,12
serialize_text,hecs,,,,50463900.0,ns,12
serialize_text,hecs,,,,50527000.0,ns,12
serialize_text,hecs,,,,50897200.0,ns,12
serialize_text,hecs,,,,50156400.0,ns,12
serialize_text,hecs,,,,50017500.0,ns,12
serialize_text,hecs,,,,50136500.0,ns,12
serialize_text,hecs,,,,50429300.0,ns,12
serialize_text,hecs,,,,50492800.0,ns,12
serialize_text,hecs,,,,50329200.0,ns,12
serialize_text,hecs,,,,50104600.0,ns,12
serialize_text,hecs,,,,50390800.0,ns,12
serialize_text,hecs,,,,50199000.0,ns,12
serialize_text,hecs,,,,50148300.0,ns,12
serialize_text,hecs,,,,50177500.0,ns,12
serialize_text,hecs,,,,50160900.0,ns,12
serialize_text,hecs,,,,50248100.0,ns,12
serialize_text,hecs,,,,52381900.0,ns,12
serialize_text,hecs,,,,49889200.0,ns,12
serialize_text,hecs,,,,50223600.0,ns,12
serialize_text,hecs,,,,50060100.0,ns,12
serialize_text,hecs,,,,49985000.0,ns,12
serialize_text,hecs,,,,50302800.0,ns,12
serialize_text,hecs,,,,49943200.0,ns,12
serialize_text,hecs,,,,49994000.0,ns,12
serialize_text,hecs,,,,50446100.0,ns,12
serialize_text,hecs,,,,50274100.0,ns,12
serialize_text,hecs,,,,50688400.0,ns,12
serialize_text,hecs,,,,50722200.0,ns,12
serialize_text,hecs,,,,50285000.0,ns,12
serialize_text,hecs,,,,50434700.0,ns,12
serialize_text,hecs,,,,50368100.0,ns,12
serialize_text,hecs,,,,50369000.0,ns,12
serialize_text,hecs,,,,49874300.0,ns,12
serialize_text,hecs,,,,49589800.0,ns,12
serialize_text,hecs,,,,49729600.0,ns,12
serialize_text,hecs,,,,50252300.0,ns,12
serialize_text,hecs,,,,52892500.0,ns,12
serialize_text,hecs,,,,50331900.0,ns,12
serialize_text,hecs,,,,50047600.0,ns,12
serialize_text,hecs,,,,50161200.0,ns,12
serialize_text,hecs,,,,50190900.0,ns,12
serialize_text,hecs,,,,50523600.0,ns,12
serialize_text,hecs,,,,50543100.0,ns,12
serialize_text,hecs,,,,50336500.0,ns,12
serialize_text,hecs,,,,50363800.0,ns,12
serialize_text,hecs,,,,50257000.0,ns,12
serialize_text,hecs,,,,50718900.0,ns,12
serialize_text,hecs,,,,50487500.0,ns,12
serialize_text,hecs,,,,50302200.0,ns,12
serialize_text,hecs,,,,50102800.0,ns,12
serialize_text,hecs,,,,50123100.0,ns,12
serialize_text,hecs,,,,50121500.0,ns,12
serialize_text,hecs,,,,50096100.0,ns,12
serialize_text,hecs,,,,49760400.0,ns,12
serialize_text,hecs,,,,50138500.0,ns,12
serialize_text,hecs,,,,50149300.0,ns,12
serialize_text,hecs,,,,53297800.0,ns,12
serialize_text,hecs,,,,51745200.0,ns,12
serialize_text,hecs,,,,50456100.0,ns,12
serialize_text,hecs,,,,50399400.0,ns,12
serialize_text,hecs,,,,50410400.0,ns,12
serialize_text,hecs,,,,50229600.0,ns,12
serialize_text,hecs,,,,50342700.0,ns,12
serialize_text,hecs,,,,50436100.0,ns,12
serialize_text,hecs,,,,50324400.0,ns,12
serialize_text,hecs,,,,50194200.0,ns,12
