group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,hecs,,,,53434200.0,ns,13
serialize_text,hecs,,,,53204100.0,ns,13
serialize_text,hecs,,,,54081500.0,ns,13
serialize_text,hecs,,,,54181600.0,ns,13
serialize_text,hecs,,,,54511500.0,ns,13
serialize_text,hecs,,,,54135500.0,ns,13
serialize_text,hecs,,,,53231300.0,ns,13
serialize_text,hecs,,,,54481200.0,ns,13
serialize_text,hecs,,,,53257900.0,ns,13
serialize_text,hecs,,,,53266400.0,ns,13
serialize_text,hecs,,,,53054200.0,ns,13
serialize_text,hecs,,,,54390500.0,ns,13
serialize_text,hecs,,,,53116600.0,ns,13
serialize_text,hecs,,,,53249800.0,ns,13
serialize_text,hecs,,,,54110400.0,ns,13
serialize_text,hecs,,,,54185400.0,ns,13
serialize_text,hecs,,,,54134300.0,ns,13
serialize_text,hecs,,,,54170700.0,ns,13
serialize_text,hecs,,,,53263600.0,ns,13
serialize_text,hecs,,,,53496100.0,ns,13
serialize_text,hecs,,,,53678300.0,ns,13
serialize_text,hecs,,,,53736900.0,ns,13
serialize_text,hecs,,,,54269800.0,ns,13
serialize_text,hecs,,,,53765300.0,ns,13
serialize_text,hecs,,,,53989900.0,ns,13
serialize_text,hecs,,,,55794000.0,ns,13
serialize_text,hecs,,,,53465800.0,ns,13
serialize_text,hecs,,,,53445900.0,ns,13
serialize_text,hecs,,,,53794500.0,ns,13
serialize_text,hecs,,,,54294400.0,ns,13
serialize_text,hecs,,,,54436900.0,ns,13
serialize_text,hecs,,,,53563000.0,ns,13
serialize_text,hecs,,,,53589700.0,ns,13
serialize_text,hecs,,,,53536700.0,ns,13
serialize_text,hecs,,,,54226200.0,ns,13
serialize_text,hecs,,,,53933700.0,ns,13
serialize_text,hecs,,,,53369700.0,ns,13
serialize_text,hecs,,,,53738400.0,ns,13
serialize_text,hecs,,,,53894400.0,ns,13
serialize_text,hecs,,,,53498100.0,ns,13
serialize_text,hecs,,,,53761500.0,ns,13
serialize_text,hecs,,,,53884100.0,ns,13
serialize_text,hecs,,,,53483600.0,ns,13
serialize_text,hecs,,,,54223900.0,ns,13
serialize_text,hecs,,,,55582100.0,ns,13
serialize_text,hecs,,,,54644600.0,ns,13
serialize_text,hecs,,,,54452000.0,ns,13
serialize_text,hecs,,,,54497700.0,ns,13
serialize_text,hecs,,,,54416600.0,ns,13
serialize_text,hecs,,,,54050100.0,ns,13
serialize_text,hecs,,,,53428800.0,ns,13
serialize_text,hecs,,,,53451300.0,ns,13
serialize_text,hecs,,,,53767100.0,ns,13
serialize_text,hecs,,,,53817500.0,ns,13
serialize_text,hecs,,,,53537500.0,ns,13
serialize_text,hecs,,,,53693700.0,ns,13
serialize_text,hecs,,,,53237200.0,ns,13
serialize_text,hecs,,,,54190400.0,ns,13
serialize_text,hecs,,,,53430500.0,ns,13
serialize_text,hecs,,,,53495900.0,ns,13
serialize_text,hecs,,,,54300800.0,ns,13
serialize_text,hecs,,,,54251300.0,ns,13
serialize_text,hecs,,,,55898900.0,ns,13
serialize_text,hecs,,,,54056300.0,ns,13
serialize_text,hecs,,,,54108300.0,ns,13
serialize_text,hecs,,,,54115500.0,ns,13
serialize_text,hecs,,,,53637400.0,ns,13
serialize_text,hecs,,,,54272500.0,ns,13
serialize_text,hecs,,,,53555400.0,ns,13
serialize_text,hecs,,,,54204500.0,ns,13
serialize_text,hecs,,,,54208200.0,ns,13
serialize_text,hecs,,,,54264900.0,ns,13
serialize_text,hecs,,,,54145800.0,ns,13
serialize_text,hecs,,,,53845000.0,ns,13
serialize_text,hecs,,,,54251600.0,ns,13
serialize_text,hecs,,,,54011000.0,ns,13
serialize_text,hecs,,,,53596400.0,ns,13
serialize_text,hecs,,,,53455300.0,ns,13
serialize_text,hecs,,,,54361500.0,ns,13
serialize_text,hecs,,,,54383300.0,ns,13
serialize_text,hecs,,,,54131700.0,ns,13
serialize_text,hecs,,,,59640700.0,ns,13
serialize_text,hecs,,,,54355600.0,ns,13
serialize_text,hecs,,,,53523900.0,ns,13
serialize_text,hecs,,,,53475600.0,ns,13
serialize_text,hecs,,,,53575700.0,ns,13
serialize_text,hecs,,,,53439900.0,ns,13
serialize_text,hecs,,,,53891200.0,ns,13
serialize_text,hecs,,,,53462300.0,ns,13
serialize_text,hecs,,,,53531900.0,ns,13
serialize_text,hecs,,,,53494800.0,ns,13
serialize_text,hecs,,,,54397900.0,ns,13
serialize_text,hecs,,,,54178800.0,ns,13
serialize_text,hecs,,,,53529700.0,ns,13
serialize_text,hecs,,,,54253700.0,ns,13
serialize_text,hecs,,,,53664800.0,ns,13
serialize_text,hecs,,,,53462200.0,ns,13
serialize_text,hecs,,,,53561800.0,ns,13
serialize_text,hecs,,,,53340600.0,ns,13
serialize_text,hecs,,,,55203300.0,ns,13
