group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,59297500.0,ns,5
serialize_text,legion,,,,56676500.0,ns,5
serialize_text,legion,,,,55750900.0,ns,5
serialize_text,legion,,,,55694200.0,ns,5
serialize_text,legion,,,,55549800.0,ns,5
serialize_text,legion,,,,55382400.0,ns,5
serialize_text,legion,,,,55326100.0,ns,5
serialize_text,legion,,,,55735600.0,ns,5
serialize_text,legion,,,,57149900.0,ns,5
serialize_text,legion,,,,55355900.0,ns,5
serialize_text,legion,,,,55328600.0,ns,5
serialize_text,legion,,,,55397500.0,ns,5
serialize_text,legion,,,,55281000.0,ns,5
serialize_text,legion,,,,55383800.0,ns,5
serialize_text,legion,,,,55285500.0,ns,5
serialize_text,legion,,,,55271000.0,ns,5
serialize_text,legion,,,,55527500.0,ns,5
serialize_text,legion,,,,55887200.0,ns,5
serialize_text,legion,,,,55602000.0,ns,5
serialize_text,legion,,,,55803800.0,ns,5
serialize_text,legion,,,,55469500.0,ns,5
serialize_text,legion,,,,55386600.0,ns,5
serialize_text,legion,,,,55327700.0,ns,5
serialize_text,legion,,,,56169200.0,ns,5
serialize_text,legion,,,,55499100.0,ns,5
serialize_text,legion,,,,55432500.0,ns,5
serialize_text,legion,,,,59505200.0,ns,5
serialize_text,legion,,,,55773200.0,ns,5
serialize_text,legion,,,,55841700.0,ns,5
serialize_text,legion,,,,55561800.0,ns,5
serialize_text,legion,,,,55620200.0,ns,5
serialize_text,legion,,,,55800800.0,ns,5
serialize_text,legion,,,,55549500.0,ns,5
serialize_text,legion,,,,55766500.0,ns,5
serialize_text,legion,,,,55956200.0,ns,5
serialize_text,legion,,,,55803900.0,ns,5
serialize_text,legion,,,,55568500.0,ns,5
serialize_text,legion,,,,55577200.0,ns,5
serialize_text,legion,,,,55494600.0,ns,5
serialize_text,legion,,,,55465500.0,ns,5
serialize_text,legion,,,,55588000.0,ns,5
serialize_text,legion,,,,55575000.0,ns,5
serialize_text,legion,,,,55505500.0,ns,5
serialize_text,legion,,,,55423300.0,ns,5
serialize_text,legion,,,,61004100.0,ns,5
serialize_text,legion,,,,56002300.0,ns,5
serialize_text,legion,,,,55993100.0,ns,5
serialize_text,legion,,,,56093100.0,ns,5
serialize_text,legion,,,,55709000.0,ns,5
serialize_text,legion,,,,55944000.0,ns,5
serialize_text,legion,,,,55881100.0,ns,5
serialize_text,legion,,,,55816400.0,ns,5
serialize_text,legion,,,,55822800.0,ns,5
serialize_text,legion,,,,55825400.0,ns,5
serialize_text,legion,,,,57644500.0,ns,5
serialize_text,legion,,,,56211600.0,ns,5
serialize_text,legion,,,,56140400.0,ns,5
serialize_text,legion,,,,56076000.0,ns,5
serialize_text,legion,,,,55696900.0,ns,5
serialize_text,legion,,,,55427500.0,ns,5
serialize_text,legion,,,,55359300.0,ns,5
serialize_text,legion,,,,55355500.0,ns,5
serialize_text,legion,,,,67261700.0,ns,5
serialize_text,legion,,,,56321600.0,ns,5
serialize_text,legion,,,,56077000.0,ns,5
serialize_text,legion,,,,55983600.0,ns,5
serialize_text,legion,,,,56277100.0,ns,5
serialize_text,legion,,,,55438100.0,ns,5
serialize_text,legion,,,,55324800.0,ns,5
serialize_text,legion,,,,55389400.0,ns,5
serialize_text,legion,,,,55279600.0,ns,5
serialize_text,legion,,,,55218300.0,ns,5
serialize_text,legion,,,,55922400.0,ns,5
serialize_text,legion,,,,55323100.0,ns,5
serialize_text,legion,,,,55264200.0,ns,5
serialize_text,legion,,,,55482300.0,ns,5
serialize_text,legion,,,,56246400.0,ns,5
serialize_text,legion,,,,55644200.0,ns,5
serialize_text,legion,,,,56005600.0,ns,5
serialize_text,legion,,,,56010900.0,ns,5
serialize_text,legion,,,,59439700.0,ns,5
serialize_text,legion,,,,55389500.0,ns,5
serialize_text,legion,,,,55456300.0,ns,5
serialize_text,legion,,,,55371900.0,ns,5
serialize_text,legion,,,,55763700.0,ns,5
serialize_text,legion,,,,56029400.0,ns,5
serialize_text,legion,,,,55553400.0,ns,5
serialize_text,legion,,,,55687900.0,ns,5
serialize_text,legion,,,,55819900.0,ns,5
serialize_text,legion,,,,55441000.0,ns,5
serialize_text,legion,,,,55690100.0,ns,5
serialize_text,legion,,,,55869000.0,ns,5
serialize_text,legion,,,,55888300.0,ns,5
serialize_text,legion,,,,55549000.0,ns,5
serialize_text,legion,,,,55691300.0,ns,5
serialize_text,legion,,,,56795500.0,ns,5
serialize_text,legion,,,,55982000.0,ns,5
serialize_text,legion,,,,55639100.0,ns,5
serialize_text,legion,,,,59237700.0,ns,5
serialize_text,legion,,,,55553100.0,ns,5
