group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
serialize_text,legion,,,,54997900.0,ns,5
serialize_text,legion,,,,54961400.0,ns,5
serialize_text,legion,,,,55627500.0,ns,5
serialize_text,legion,,,,55176500.0,ns,5
serialize_text,legion,,,,55016400.0,ns,5
serialize_text,legion,,,,55041800.0,ns,5
serialize_text,legion,,,,55071000.0,ns,5
serialize_text,legion,,,,55037500.0,ns,5
serialize_text,legion,,,,55049900.0,ns,5
serialize_text,legion,,,,56122800.0,ns,5
serialize_text,legion,,,,55022200.0,ns,5
serialize_text,legion,,,,54961400.0,ns,5
serialize_text,legion,,,,55077700.0,ns,5
serialize_text,legion,,,,55189800.0,ns,5
serialize_text,legion,,,,55139600.0,ns,5
serialize_text,legion,,,,56031300.0,ns,5
serialize_text,legion,,,,55379600.0,ns,5
serialize_text,legion,,,,55247900.0,ns,5
serialize_text,legion,,,,55119900.0,ns,5
serialize_text,legion,,,,55015500.0,ns,5
serialize_text,legion,,,,55004000.0,ns,5
serialize_text,legion,,,,55156600.0,ns,5
serialize_text,legion,,,,54907200.0,ns,5
serialize_text,legion,,,,54949400.0,ns,5
serialize_text,legion,,,,54807000.0,ns,5
serialize_text,legion,,,,54989100.0,ns,5
serialize_text,legion,,,,54917700.0,ns,5
serialize_text,legion,,,,55219500.0,ns,5
serialize_text,legion,,,,55158600.0,ns,5
serialize_text,legion,,,,55044900.0,ns,5
serialize_text,legion,,,,55000800.0,ns,5
serialize_text,legion,,,,54910600.0,ns,5
serialize_text,legion,,,,54987900.0,ns,5
serialize_text,legion,,,,54991000.0,ns,5
serialize_text,legion,,,,55116400.0,ns,5
serialize_text,legion,,,,54883600.0,ns,5
serialize_text,legion,,,,55143800.0,ns,5
serialize_text,legion,,,,55064000.0,ns,5
serialize_text,legion,,,,55018900.0,ns,5
serialize_text,legion,,,,55045000.0,ns,5
serialize_text,legion,,,,54865200.0,ns,5
serialize_text,legion,,,,54976800.0,ns,5
serialize_text,legion,,,,55007000.0,ns,5
serialize_text,legion,,,,54997800.0,ns,5
serialize_text,legion,,,,54934500.0,ns,5
serialize_text,legion,,,,55104000.0,ns,5
serialize_text,legion,,,,56060200.0,ns,5
serialize_text,legion,,,,55473500.0,ns,5
serialize_text,legion,,,,54891000.0,ns,5
serialize_text,legion,,,,55075600.0,ns,5
serialize_text,legion,,,,56125500.0,ns,5
serialize_text,legion,,,,54932200.0,ns,5
serialize_text,legion,,,,54978800.0,ns,5
serialize_text,legion,,,,54969000.0,ns,5
serialize_text,legion,,,,54943600.0,ns,5
serialize_text,legion,,,,55059600.0,ns,5
serialize_text,legion,,,,55087200.0,ns,5
serialize_text,legion,,,,55668100.0,ns,5
serialize_text,legion,,,,55055700.0,ns,5
serialize_text,legion,,,,55058700.0,ns,5
serialize_text,legion,,,,55364600.0,ns,5
serialize_text,legion,,,,55655200.0,ns,5
serialize_text,legion,,,,55107000.0,ns,5
serialize_text,legion,,,,55413700.0,ns,5
serialize_text,legion,,,,56269700.0,ns,5
serialize_text,legion,,,,55147600.0,ns,5
serialize_text,legion,,,,55079400.0,ns,5
serialize_text,legion,,,,55128700.0,ns,5
serialize_text,legion,,,,55535600.0,ns,5
serialize_text,legion,,,,55264500.0,ns,5
serialize_text,legion,,,,54992800.0,ns,5
serialize_text,legion,,,,55139500.0,ns,5
serialize_text,legion,,,,55636600.0,ns,5
serialize_text,legion,,,,54864100.0,ns,5
serialize_text,legion,,,,54932700.0,ns,5
serialize_text,legion,,,,54935000.0,ns,5
serialize_text,legion,,,,54982000.0,ns,5
serialize_text,legion,,,,54920500.0,ns,5
serialize_text,legion,,,,55268300.0,ns,5
serialize_text,legion,,,,54962300.0,ns,5
serialize_text,legion,,,,55217700.0,ns,5
serialize_text,legion,,,,55149800.0,ns,5
serialize_text,legion,,,,55879500.0,ns,5
serialize_text,legion,,,,55641100.0,ns,5
serialize_text,legion,,,,55513500.0,ns,5
serialize_text,legion,,,,55318800.0,ns,5
serialize_text,legion,,,,55539600.0,ns,5
serialize_text,legion,,,,55762100.0,ns,5
serialize_text,legion,,,,55820100.0,ns,5
serialize_text,legion,,,,55261900.0,ns,5
serialize_text,legion,,,,55297400.0,ns,5
serialize_text,legion,,,,54999600.0,ns,5
serialize_text,legion,,,,57327700.0,ns,5
serialize_text,legion,,,,56134600.0,ns,5
serialize_text,legion,,,,55743400.0,ns,5
serialize_text,legion,,,,55800700.0,ns,5
serialize_text,legion,,,,55738500.0,ns,5
serialize_text,legion,,,,56036100.0,ns,5
serialize_text,legion,,,,55777200.0,ns,5
serialize_text,legion,,,,55679200.0,ns,5
