group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1603500.0,ns,2
simple_insert,bevy,,,,3156400.0,ns,4
simple_insert,bevy,,,,4680800.0,ns,6
simple_insert,bevy,,,,6201500.0,ns,8
simple_insert,bevy,,,,7738700.0,ns,10
simple_insert,bevy,,,,9308900.0,ns,12
simple_insert,bevy,,,,10891600.0,ns,14
simple_insert,bevy,,,,12403300.0,ns,16
simple_insert,bevy,,,,13974100.0,ns,18
simple_insert,bevy,,,,15527300.0,ns,20
simple_insert,bevy,,,,17311900.0,ns,22
simple_insert,bevy,,,,18871400.0,ns,24
simple_insert,bevy,,,,20407500.0,ns,26
simple_insert,bevy,,,,21766400.0,ns,28
simple_insert,bevy,,,,23322200.0,ns,30
simple_insert,bevy,,,,24851700.0,ns,32
simple_insert,bevy,,,,26380600.0,ns,34
simple_insert,bevy,,,,27998600.0,ns,36
simple_insert,bevy,,,,29532300.0,ns,38
simple_insert,bevy,,,,31167400.0,ns,40
simple_insert,bevy,,,,32742100.0,ns,42
simple_insert,bevy,,,,34493200.0,ns,44
simple_insert,bevy,,,,35988300.0,ns,46
simple_insert,bevy,,,,37276100.0,ns,48
simple_insert,bevy,,,,38857600.0,ns,50
simple_insert,bevy,,,,40356000.0,ns,52
simple_insert,bevy,,,,41956300.0,ns,54
simple_insert,bevy,,,,43822000.0,ns,56
simple_insert,bevy,,,,45641900.0,ns,58
simple_insert,bevy,,,,47321100.0,ns,60
simple_insert,bevy,,,,48896500.0,ns,62
simple_insert,bevy,,,,50127400.0,ns,64
simple_insert,bevy,,,,51259800.0,ns,66
simple_insert,bevy,,,,52773500.0,ns,68
simple_insert,bevy,,,,54425200.0,ns,70
simple_insert,bevy,,,,55942500.0,ns,72
simple_insert,bevy,,,,57844500.0,ns,74
simple_insert,bevy,,,,59187000.0,ns,76
simple_insert,bevy,,,,60771400.0,ns,78
simple_insert,bevy,,,,62091300.0,ns,80
simple_insert,bevy,,,,63778700.0,ns,82
simple_insert,bevy,,,,65301900.0,ns,84
simple_insert,bevy,,,,66860200.0,ns,86
simple_insert,bevy,,,,68315500.0,ns,88
simple_insert,bevy,,,,70059000.0,ns,90
simple_insert,bevy,,,,71607500.0,ns,92
simple_insert,bevy,,,,73117200.0,ns,94
simple_insert,bevy,,,,74673400.0,ns,96
simple_insert,bevy,,,,76014000.0,ns,98
simple_insert,bevy,,,,77728400.0,ns,100
simple_insert,bevy,,,,79859500.0,ns,102
simple_insert,bevy,,,,81928300.0,ns,104
simple_insert,bevy,,,,82481300.0,ns,106
simple_insert,bevy,,,,84960300.0,ns,108
simple_insert,bevy,,,,85520800.0,ns,110
simple_insert,bevy,,,,87081100.0,ns,112
simple_insert,bevy,,,,88573400.0,ns,114
simple_insert,bevy,,,,90070200.0,ns,116
simple_insert,bevy,,,,91625000.0,ns,118
simple_insert,bevy,,,,93611500.0,ns,120
simple_insert,bevy,,,,94786100.0,ns,122
simple_insert,bevy,,,,96374100.0,ns,124
simple_insert,bevy,,,,97909700.0,ns,126
simple_insert,bevy,,,,99504900.0,ns,128
simple_insert,bevy,,,,100877500.0,ns,130
simple_insert,bevy,,,,102771200.0,ns,132
simple_insert,bevy,,,,104043300.0,ns,134
simple_insert,bevy,,,,105625600.0,ns,136
simple_insert,bevy,,,,107263100.0,ns,138
simple_insert,bevy,,,,108907700.0,ns,140
simple_insert,bevy,,,,110373900.0,ns,142
simple_insert,bevy,,,,111775900.0,ns,144
simple_insert,bevy,,,,113848300.0,ns,146
simple_insert,bevy,,,,115241300.0,ns,148
simple_insert,bevy,,,,117080300.0,ns,150
simple_insert,bevy,,,,118260300.0,ns,152
simple_insert,bevy,,,,119491200.0,ns,154
simple_insert,bevy,,,,121302800.0,ns,156
simple_insert,bevy,,,,122752200.0,ns,158
simple_insert,bevy,,,,124757600.0,ns,160
simple_insert,bevy,,,,125847200.0,ns,162
simple_insert,bevy,,,,127790500.0,ns,164
simple_insert,bevy,,,,129943800.0,ns,166
simple_insert,bevy,,,,130469800.0,ns,168
simple_insert,bevy,,,,132418100.0,ns,170
simple_insert,bevy,,,,133903600.0,ns,172
simple_insert,bevy,,,,135302500.0,ns,174
simple_insert,bevy,,,,136797100.0,ns,176
simple_insert,bevy,,,,138542100.0,ns,178
simple_insert,bevy,,,,139991000.0,ns,180
simple_insert,bevy,,,,141438200.0,ns,182
simple_insert,bevy,,,,143761000.0,ns,184
simple_insert,bevy,,,,144840000.0,ns,186
simple_insert,bevy,,,,146127300.0,ns,188
simple_insert,bevy,,,,147568800.0,ns,190
simple_insert,bevy,,,,149959200.0,ns,192
simple_insert,bevy,,,,150757500.0,ns,194
simple_insert,bevy,,,,152395700.0,ns,196
simple_insert,bevy,,,,153916300.0,ns,198
simple_insert,bevy,,,,156162600.0,ns,200
