group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,bevy,,,,1693200.0,ns,2
simple_insert,bevy,,,,3106000.0,ns,4
simple_insert,bevy,,,,4676600.0,ns,6
simple_insert,bevy,,,,6309700.0,ns,8
simple_insert,bevy,,,,7880000.0,ns,10
simple_insert,bevy,,,,9413400.0,ns,12
simple_insert,bevy,,,,10955900.0,ns,14
simple_insert,bevy,,,,12522800.0,ns,16
simple_insert,bevy,,,,14138600.0,ns,18
simple_insert,bevy,,,,15744100.0,ns,20
simple_insert,bevy,,,,17241800.0,ns,22
simple_insert,bevy,,,,18992500.0,ns,24
simple_insert,bevy,,,,20384900.0,ns,26
simple_insert,bevy,,,,21974600.0,ns,28
simple_insert,bevy,,,,23481000.0,ns,30
simple_insert,bevy,,,,25032600.0,ns,32
simple_insert,bevy,,,,26516900.0,ns,34
simple_insert,bevy,,,,28107500.0,ns,36
simple_insert,bevy,,,,29991300.0,ns,38
simple_insert,bevy,,,,31299000.0,ns,40
simple_insert,bevy,,,,32776800.0,ns,42
simple_insert,bevy,,,,34379500.0,ns,44
simple_insert,bevy,,,,36028200.0,ns,46
simple_insert,bevy,,,,37646400.0,ns,48
simple_insert,bevy,,,,39590100.0,ns,50
simple_insert,bevy,,,,40695800.0,ns,52
simple_insert,bevy,,,,42142100.0,ns,54
simple_insert,bevy,,,,44025500.0,ns,56
simple_insert,bevy,,,,45588100.0,ns,58
simple_insert,bevy,,,,47110600.0,ns,60
simple_insert,bevy,,,,48604000.0,ns,62
simple_insert,bevy,,,,50042900.0,ns,64
simple_insert,bevy,,,,51594900.0,ns,66
simple_insert,bevy,,,,53224900.0,ns,68
simple_insert,bevy,,,,54805100.0,ns,70
simple_insert,bevy,,,,56626400.0,ns,72
simple_insert,bevy,,,,58188800.0,ns,74
simple_insert,bevy,,,,59463300.0,ns,76
simple_insert,bevy,,,,61435500.0,ns,78
simple_insert,bevy,,,,62528500.0,ns,80
simple_insert,bevy,,,,64332800.0,ns,82
simple_insert,bevy,,,,65757100.0,ns,84
simple_insert,bevy,,,,69260100.0,ns,86
simple_insert,bevy,,,,68961400.0,ns,88
simple_insert,bevy,,,,70656800.0,ns,90
simple_insert,bevy,,,,71955900.0,ns,92
simple_insert,bevy,,,,73453700.0,ns,94
simple_insert,bevy,,,,75080900.0,ns,96
simple_insert,bevy,,,,76462800.0,ns,98
simple_insert,bevy,,,,78327100.0,ns,100
simple_insert,bevy,,,,79755700.0,ns,102
simple_insert,bevy,,,,81256900.0,ns,104
simple_insert,bevy,,,,82969700.0,ns,106
simple_insert,bevy,,,,84699300.0,ns,108
simple_insert,bevy,,,,86460800.0,ns,110
simple_insert,bevy,,,,87502500.0,ns,112
simple_insert,bevy,,,,89315600.0,ns,114
simple_insert,bevy,,,,90939900.0,ns,116
simple_insert,bevy,,,,92220900.0,ns,118
simple_insert,bevy,,,,94565600.0,ns,120
simple_insert,bevy,,,,95678300.0,ns,122
simple_insert,bevy,,,,96999100.0,ns,124
simple_insert,bevy,,,,98541100.0,ns,126
simple_insert,bevy,,,,100153400.0,ns,128
simple_insert,bevy,,,,101810000.0,ns,130
simple_insert,bevy,,,,103355000.0,ns,132
simple_insert,bevy,,,,104699600.0,ns,134
simple_insert,bevy,,,,106457600.0,ns,136
simple_insert,bevy,,,,107809100.0,ns,138
simple_insert,bevy,,,,109358700.0,ns,140
simple_insert,bevy,,,,110931200.0,ns,142
simple_insert,bevy,,,,112569400.0,ns,144
simple_insert,bevy,,,,114465800.0,ns,146
simple_insert,bevy,,,,118231900.0,ns,148
simple_insert,bevy,,,,117602600.0,ns,150
simple_insert,bevy,,,,118790100.0,ns,152
simple_insert,bevy,,,,120443300.0,ns,154
simple_insert,bevy,,,,121789400.0,ns,156
simple_insert,bevy,,,,123906600.0,ns,158
simple_insert,bevy,,,,125208700.0,ns,160
simple_insert,bevy,,,,126555400.0,ns,162
simple_insert,bevy,,,,128161000.0,ns,164
simple_insert,bevy,,,,129626700.0,ns,166
simple_insert,bevy,,,,131846500.0,ns,168
simple_insert,bevy,,,,135615100.0,ns,170
simple_insert,bevy,,,,134473700.0,ns,172
simple_insert,bevy,,,,136380800.0,ns,174
simple_insert,bevy,,,,137523700.0,ns,176
simple_insert,bevy,,,,139511200.0,ns,178
simple_insert,bevy,,,,142823000.0,ns,180
simple_insert,bevy,,,,144226000.0,ns,182
simple_insert,bevy,,,,144017100.0,ns,184
simple_insert,bevy,,,,145615900.0,ns,186
simple_insert,bevy,,,,147321700.0,ns,188
simple_insert,bevy,,,,148621800.0,ns,190
simple_insert,bevy,,,,150420900.0,ns,192
simple_insert,bevy,,,,152061300.0,ns,194
simple_insert,bevy,,,,153057700.0,ns,196
simple_insert,bevy,,,,154683300.0,ns,198
simple_insert,bevy,,,,156464000.0,ns,200
