group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,edict,,,,89985100.0,ns,10
simple_insert,edict,,,,89066700.0,ns,10
simple_insert,edict,,,,91296600.0,ns,10
simple_insert,edict,,,,93866100.0,ns,10
simple_insert,edict,,,,92867300.0,ns,10
simple_insert,edict,,,,94690500.0,ns,10
simple_insert,edict,,,,93569300.0,ns,10
simple_insert,edict,,,,94863300.0,ns,10
simple_insert,edict,,,,96087100.0,ns,10
simple_insert,edict,,,,94922000.0,ns,10
simple_insert,edict,,,,96900100.0,ns,10
simple_insert,edict,,,,98436100.0,ns,10
simple_insert,edict,,,,97307000.0,ns,10
simple_insert,edict,,,,99596500.0,ns,10
simple_insert,edict,,,,99177300.0,ns,10
simple_insert,edict,,,,99607200.0,ns,10
simple_insert,edict,,,,104293400.0,ns,10
simple_insert,edict,,,,102561700.0,ns,10
simple_insert,edict,,,,104128200.0,ns,10
simple_insert,edict,,,,104840000.0,ns,10
simple_insert,edict,,,,103488000.0,ns,10
simple_insert,edict,,,,106740000.0,ns,10
simple_insert,edict,,,,108199400.0,ns,10
simple_insert,edict,,,,107086900.0,ns,10
simple_insert,edict,,,,106854700.0,ns,10
simple_insert,edict,,,,108700000.0,ns,10
simple_insert,edict,,,,107770400.0,ns,10
simple_insert,edict,,,,110598400.0,ns,10
simple_insert,edict,,,,112751500.0,ns,10
simple_insert,edict,,,,110029700.0,ns,10
simple_insert,edict,,,,114975700.0,ns,10
simple_insert,edict,,,,117356700.0,ns,10
simple_insert,edict,,,,114528900.0,ns,10
simple_insert,edict,,,,119433900.0,ns,10
simple_insert,edict,,,,118053800.0,ns,10
simple_insert,edict,,,,117869100.0,ns,10
simple_insert,edict,,,,122035500.0,ns,10
simple_insert,edict,,,,119452200.0,ns,10
simple_insert,edict,,,,123315500.0,ns,10
simple_insert,edict,,,,123464400.0,ns,10
simple_insert,edict,,,,124560600.0,ns,10
simple_insert,edict,,,,124070000.0,ns,10
simple_insert,edict,,,,123077700.0,ns,10
simple_insert,edict,,,,126901400.0,ns,10
simple_insert,edict,,,,127239900.0,ns,10
simple_insert,edict,,,,128076300.0,ns,10
simple_insert,edict,,,,127394300.0,ns,10
simple_insert,edict,,,,132925900.0,ns,10
simple_insert,edict,,,,131437900.0,ns,10
simple_insert,edict,,,,132974900.0,ns,10
simple_insert,edict,,,,130565700.0,ns,10
simple_insert,edict,,,,133367900.0,ns,10
simple_insert,edict,,,,133112800.0,ns,10
simple_insert,edict,,,,138520500.0,ns,10
simple_insert,edict,,,,136046400.0,ns,10
simple_insert,edict,,,,135321500.0,ns,10
simple_insert,edict,,,,137041000.0,ns,10
simple_insert,edict,,,,137858300.0,ns,10
simple_insert,edict,,,,138526100.0,ns,10
simple_insert,edict,,,,142635100.0,ns,10
simple_insert,edict,,,,154171500.0,ns,10
simple_insert,edict,,,,142424200.0,ns,10
simple_insert,edict,,,,148473600.0,ns,10
simple_insert,edict,,,,142198800.0,ns,10
simple_insert,edict,,,,145294400.0,ns,10
simple_insert,edict,,,,148592700.0,ns,10
simple_insert,edict,,,,147862200.0,ns,10
simple_insert,edict,,,,152794200.0,ns,10
simple_insert,edict,,,,150849500.0,ns,10
simple_insert,edict,,,,149474400.0,ns,10
simple_insert,edict,,,,152155400.0,ns,10
simple_insert,edict,,,,153145800.0,ns,10
simple_insert,edict,,,,151728800.0,ns,10
simple_insert,edict,,,,153794800.0,ns,10
simple_insert,edict,,,,158831900.0,ns,10
simple_insert,edict,,,,158207500.0,ns,10
simple_insert,edict,,,,154527300.0,ns,10
simple_insert,edict,,,,156688300.0,ns,10
simple_insert,edict,,,,158355100.0,ns,10
simple_insert,edict,,,,161594700.0,ns,10
simple_insert,edict,,,,158268300.0,ns,10
simple_insert,edict,,,,159158800.0,ns,10
simple_insert,edict,,,,160196800.0,ns,10
simple_insert,edict,,,,164474700.0,ns,10
simple_insert,edict,,,,163882100.0,ns,10
simple_insert,edict,,,,164021300.0,ns,10
simple_insert,edict,,,,171590800.0,ns,10
simple_insert,edict,,,,166826600.0,ns,10
simple_insert,edict,,,,166035600.0,ns,10
simple_insert,edict,,,,167621900.0,ns,10
simple_insert,edict,,,,167339700.0,ns,10
simple_insert,edict,,,,170737000.0,ns,10
simple_insert,edict,,,,167709400.0,ns,10
simple_insert,edict,,,,171873100.0,ns,10
simple_insert,edict,,,,173613100.0,ns,10
simple_insert,edict,,,,182961400.0,ns,10
simple_insert,edict,,,,176767900.0,ns,10
simple_insert,edict,,,,173557100.0,ns,10
simple_insert,edict,,,,177051500.0,ns,10
simple_insert,edict,,,,181152900.0,ns,10
