group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,edict,,,,90768300.0,ns,12
simple_insert,edict,,,,90476200.0,ns,12
simple_insert,edict,,,,90493800.0,ns,12
simple_insert,edict,,,,93039900.0,ns,12
simple_insert,edict,,,,92341000.0,ns,12
simple_insert,edict,,,,94116000.0,ns,12
simple_insert,edict,,,,94496600.0,ns,12
simple_insert,edict,,,,96699700.0,ns,12
simple_insert,edict,,,,98455800.0,ns,12
simple_insert,edict,,,,98318300.0,ns,12
simple_insert,edict,,,,100466600.0,ns,12
simple_insert,edict,,,,100312500.0,ns,12
simple_insert,edict,,,,102245200.0,ns,12
simple_insert,edict,,,,104296900.0,ns,12
simple_insert,edict,,,,104505400.0,ns,12
simple_insert,edict,,,,106721700.0,ns,12
simple_insert,edict,,,,107923400.0,ns,12
simple_insert,edict,,,,105995800.0,ns,12
simple_insert,edict,,,,108894200.0,ns,12
simple_insert,edict,,,,110264200.0,ns,12
simple_insert,edict,,,,111157100.0,ns,12
simple_insert,edict,,,,113198400.0,ns,12
simple_insert,edict,,,,117921900.0,ns,12
simple_insert,edict,,,,117943600.0,ns,12
simple_insert,edict,,,,119153200.0,ns,12
simple_insert,edict,,,,122494400.0,ns,12
simple_insert,edict,,,,122355200.0,ns,12
simple_insert,edict,,,,123933300.0,ns,12
simple_insert,edict,,,,124101300.0,ns,12
simple_insert,edict,,,,123790200.0,ns,12
simple_insert,edict,,,,121492300.0,ns,12
simple_insert,edict,,,,123454800.0,ns,12
simple_insert,edict,,,,136739200.0,ns,12
simple_insert,edict,,,,146578100.0,ns,12
simple_insert,edict,,,,131050800.0,ns,12
simple_insert,edict,,,,131329700.0,ns,12
simple_insert,edict,,,,134425400.0,ns,12
simple_insert,edict,,,,134309900.0,ns,12
simple_insert,edict,,,,136425100.0,ns,12
simple_insert,edict,,,,138609700.0,ns,12
simple_insert,edict,,,,137738900.0,ns,12
simple_insert,edict,,,,140313900.0,ns,12
simple_insert,edict,,,,140121700.0,ns,12
simple_insert,edict,,,,141060900.0,ns,12
simple_insert,edict,,,,139008200.0,ns,12
simple_insert,edict,,,,149446100.0,ns,12
simple_insert,edict,,,,140251700.0,ns,12
simple_insert,edict,,,,144631700.0,ns,12
simple_insert,edict,,,,146158500.0,ns,12
simple_insert,edict,,,,151465800.0,ns,12
simple_insert,edict,,,,147782200.0,ns,12
simple_insert,edict,,,,153473000.0,ns,12
simple_insert,edict,,,,158774900.0,ns,12
simple_insert,edict,,,,154391300.0,ns,12
simple_insert,edict,,,,160416500.0,ns,12
simple_insert,edict,,,,153196800.0,ns,12
simple_insert,edict,,,,157881400.0,ns,12
simple_insert,edict,,,,160375300.0,ns,12
simple_insert,edict,,,,158329500.0,ns,12
simple_insert,edict,,,,161780200.0,ns,12
simple_insert,edict,,,,159851900.0,ns,12
simple_insert,edict,,,,161702700.0,ns,12
simple_insert,edict,,,,166931100.0,ns,12
simple_insert,edict,,,,173009900.0,ns,12
simple_insert,edict,,,,166341900.0,ns,12
simple_insert,edict,,,,168157700.0,ns,12
simple_insert,edict,,,,170486000.0,ns,12
simple_insert,edict,,,,169379800.0,ns,12
simple_insert,edict,,,,172740200.0,ns,12
simple_insert,edict,,,,172958300.0,ns,12
simple_insert,edict,,,,174123100.0,ns,12
simple_insert,edict,,,,176856100.0,ns,12
simple_insert,edict,,,,173535400.0,ns,12
simple_insert,edict,,,,178177200.0,ns,12
simple_insert,edict,,,,179727400.0,ns,12
simple_insert,edict,,,,180428900.0,ns,12
simple_insert,edict,,,,182963500.0,ns,12
simple_insert,edict,,,,188663100.0,ns,12
simple_insert,edict,,,,188473200.0,ns,12
simple_insert,edict,,,,187790500.0,ns,12
simple_insert,edict,,,,193745500.0,ns,12
simple_insert,edict,,,,189225000.0,ns,12
simple_insert,edict,,,,192873200.0,ns,12
simple_insert,edict,,,,186831100.0,ns,12
simple_insert,edict,,,,191971500.0,ns,12
simple_insert,edict,,,,194097800.0,ns,12
simple_insert,edict,,,,200568500.0,ns,12
simple_insert,edict,,,,198665300.0,ns,12
simple_insert,edict,,,,202604100.0,ns,12
simple_insert,edict,,,,202106700.0,ns,12
simple_insert,edict,,,,209625500.0,ns,12
simple_insert,edict,,,,207756300.0,ns,12
simple_insert,edict,,,,214709400.0,ns,12
simple_insert,edict,,,,217889000.0,ns,12
simple_insert,edict,,,,213413300.0,ns,12
simple_insert,edict,,,,224149900.0,ns,12
simple_insert,edict,,,,212656300.0,ns,12
simple_insert,edict,,,,212279800.0,ns,12
simple_insert,edict,,,,213695600.0,ns,12
simple_insert,edict,,,,217304400.0,ns,12
