group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,1082500.0,ns,2
simple_insert,hecs,,,,2196400.0,ns,4
simple_insert,hecs,,,,3297400.0,ns,6
simple_insert,hecs,,,,4400100.0,ns,8
simple_insert,hecs,,,,5502200.0,ns,10
simple_insert,hecs,,,,6596600.0,ns,12
simple_insert,hecs,,,,7994400.0,ns,14
simple_insert,hecs,,,,8808200.0,ns,16
simple_insert,hecs,,,,9908500.0,ns,18
simple_insert,hecs,,,,11111200.0,ns,20
simple_insert,hecs,,,,12114800.0,ns,22
simple_insert,hecs,,,,13200700.0,ns,24
simple_insert,hecs,,,,14387200.0,ns,26
simple_insert,hecs,,,,15573600.0,ns,28
simple_insert,hecs,,,,17101600.0,ns,30
simple_insert,hecs,,,,17802000.0,ns,32
simple_insert,hecs,,,,18916200.0,ns,34
simple_insert,hecs,,,,20020200.0,ns,36
simple_insert,hecs,,,,21694600.0,ns,38
simple_insert,hecs,,,,22260500.0,ns,40
simple_insert,hecs,,,,23363300.0,ns,42
simple_insert,hecs,,,,24515400.0,ns,44
simple_insert,hecs,,,,25573100.0,ns,46
simple_insert,hecs,,,,25857300.0,ns,48
simple_insert,hecs,,,,26701000.0,ns,50
simple_insert,hecs,,,,27736700.0,ns,52
simple_insert,hecs,,,,29103500.0,ns,54
simple_insert,hecs,,,,30658500.0,ns,56
simple_insert,hecs,,,,31016900.0,ns,58
simple_insert,hecs,,,,33666100.0,ns,60
simple_insert,hecs,,,,33079000.0,ns,62
simple_insert,hecs,,,,34166100.0,ns,64
simple_insert,hecs,,,,35233000.0,ns,66
simple_insert,hecs,,,,36259400.0,ns,68
simple_insert,hecs,,,,37752700.0,ns,70
simple_insert,hecs,,,,40005400.0,ns,72
simple_insert,hecs,,,,41176500.0,ns,74
simple_insert,hecs,,,,42581500.0,ns,76
simple_insert,hecs,,,,42178100.0,ns,78
simple_insert,hecs,,,,43598500.0,ns,80
simple_insert,hecs,,,,45615400.0,ns,82
simple_insert,hecs,,,,46706700.0,ns,84
simple_insert,hecs,,,,47772500.0,ns,86
simple_insert,hecs,,,,48909500.0,ns,88
simple_insert,hecs,,,,50027000.0,ns,90
simple_insert,hecs,,,,51459600.0,ns,92
simple_insert,hecs,,,,53837400.0,ns,94
simple_insert,hecs,,,,53841000.0,ns,96
simple_insert,hecs,,,,52511600.0,ns,98
simple_insert,hecs,,,,53685300.0,ns,100
simple_insert,hecs,,,,56837900.0,ns,102
simple_insert,hecs,,,,57493200.0,ns,104
simple_insert,hecs,,,,59348500.0,ns,106
simple_insert,hecs,,,,60085900.0,ns,108
simple_insert,hecs,,,,59884400.0,ns,110
simple_insert,hecs,,,,62309800.0,ns,112
simple_insert,hecs,,,,63522600.0,ns,114
simple_insert,hecs,,,,64580700.0,ns,116
simple_insert,hecs,,,,66066900.0,ns,118
simple_insert,hecs,,,,66820100.0,ns,120
simple_insert,hecs,,,,66496700.0,ns,122
simple_insert,hecs,,,,66173400.0,ns,124
simple_insert,hecs,,,,70712200.0,ns,126
simple_insert,hecs,,,,71643800.0,ns,128
simple_insert,hecs,,,,72425500.0,ns,130
simple_insert,hecs,,,,73504800.0,ns,132
simple_insert,hecs,,,,74678900.0,ns,134
simple_insert,hecs,,,,75676600.0,ns,136
simple_insert,hecs,,,,76797000.0,ns,138
simple_insert,hecs,,,,78258600.0,ns,140
simple_insert,hecs,,,,78235400.0,ns,142
simple_insert,hecs,,,,78528700.0,ns,144
simple_insert,hecs,,,,79776900.0,ns,146
simple_insert,hecs,,,,81684900.0,ns,148
simple_insert,hecs,,,,83450700.0,ns,150
simple_insert,hecs,,,,85036900.0,ns,152
simple_insert,hecs,,,,84046000.0,ns,154
simple_insert,hecs,,,,86433000.0,ns,156
simple_insert,hecs,,,,88624000.0,ns,158
simple_insert,hecs,,,,87158700.0,ns,160
simple_insert,hecs,,,,88867100.0,ns,162
simple_insert,hecs,,,,91337000.0,ns,164
simple_insert,hecs,,,,92192700.0,ns,166
simple_insert,hecs,,,,89853800.0,ns,168
simple_insert,hecs,,,,92057200.0,ns,170
simple_insert,hecs,,,,95692000.0,ns,172
simple_insert,hecs,,,,97668200.0,ns,174
simple_insert,hecs,,,,98092800.0,ns,176
simple_insert,hecs,,,,99362700.0,ns,178
simple_insert,hecs,,,,99173700.0,ns,180
simple_insert,hecs,,,,98808700.0,ns,182
simple_insert,hecs,,,,102419300.0,ns,184
simple_insert,hecs,,,,103507300.0,ns,186
simple_insert,hecs,,,,104675300.0,ns,188
simple_insert,hecs,,,,106075600.0,ns,190
simple_insert,hecs,,,,106834700.0,ns,192
simple_insert,hecs,,,,108407600.0,ns,194
simple_insert,hecs,,,,109502100.0,ns,196
simple_insert,hecs,,,,109600200.0,ns,198
simple_insert,hecs,,,,111766300.0,ns,200
