group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,hecs,,,,51216600.0,ns,12
simple_insert,hecs,,,,51203800.0,ns,12
simple_insert,hecs,,,,51207700.0,ns,12
simple_insert,hecs,,,,51276900.0,ns,12
simple_insert,hecs,,,,51140600.0,ns,12
simple_insert,hecs,,,,51235100.0,ns,12
simple_insert,hecs,,,,51192100.0,ns,12
simple_insert,hecs,,,,51182800.0,ns,12
simple_insert,hecs,,,,51190600.0,ns,12
simple_insert,hecs,,,,51207000.0,ns,12
simple_insert,hecs,,,,51171600.0,ns,12
simple_insert,hecs,,,,51179000.0,ns,12
simple_insert,hecs,,,,51318400.0,ns,12
simple_insert,hecs,,,,51205200.0,ns,12
simple_insert,hecs,,,,51376700.0,ns,12
simple_insert,hecs,,,,51158700.0,ns,12
simple_insert,hecs,,,,51186400.0,ns,12
simple_insert,hecs,,,,51219200.0,ns,12
simple_insert,hecs,,,,51302900.0,ns,12
simple_insert,hecs,,,,51240200.0,ns,12
simple_insert,hecs,,,,51295800.0,ns,12
simple_insert,hecs,,,,51206500.0,ns,12
simple_insert,hecs,,,,51192500.0,ns,12
simple_insert,hecs,,,,51191400.0,ns,12
simple_insert,hecs,,,,51232100.0,ns,12
simple_insert,hecs,,,,51536600.0,ns,12
simple_insert,hecs,,,,51327000.0,ns,12
simple_insert,hecs,,,,51249200.0,ns,12
simple_insert,hecs,,,,51386400.0,ns,12
simple_insert,hecs,,,,51280300.0,ns,12
simple_insert,hecs,,,,51258000.0,ns,12
simple_insert,hecs,,,,51223200.0,ns,12
simple_insert,hecs,,,,51130800.0,ns,12
simple_insert,hecs,,,,51224100.0,ns,12
simple_insert,hecs,,,,51255900.0,ns,12
simple_insert,hecs,,,,51283100.0,ns,12
simple_insert,hecs,,,,51310200.0,ns,12
simple_insert,hecs,,,,51160900.0,ns,12
simple_insert,hecs,,,,51141400.0,ns,12
simple_insert,hecs,,,,51700300.0,ns,12
simple_insert,hecs,,,,51295300.0,ns,12
simple_insert,hecs,,,,51199400.0,ns,12
simple_insert,hecs,,,,51177700.0,ns,12
simple_insert,hecs,,,,51254800.0,ns,12
simple_insert,hecs,,,,51277600.0,ns,12
simple_insert,hecs,,,,51152000.0,ns,12
simple_insert,hecs,,,,51205300.0,ns,12
simple_insert,hecs,,,,51179600.0,ns,12
simple_insert,hecs,,,,51231800.0,ns,12
simple_insert,hecs,,,,51223200.0,ns,12
simple_insert,hecs,,,,51187600.0,ns,12
simple_insert,hecs,,,,51130900.0,ns,12
simple_insert,hecs,,,,51498700.0,ns,12
simple_insert,hecs,,,,51526400.0,ns,12
simple_insert,hecs,,,,51184500.0,ns,12
simple_insert,hecs,,,,51253400.0,ns,12
simple_insert,hecs,,,,51450000.0,ns,12
simple_insert,hecs,,,,51215200.0,ns,12
simple_insert,hecs,,,,51273800.0,ns,12
simple_insert,hecs,,,,51563600.0,ns,12
simple_insert,hecs,,,,51485900.0,ns,12
simple_insert,hecs,,,,51256100.0,ns,12
simple_insert,hecs,,,,51204600.0,ns,12
simple_insert,hecs,,,,51246600.0,ns,12
simple_insert,hecs,,,,51224400.0,ns,12
simple_insert,hecs,,,,51203500.0,ns,12
simple_insert,hecs,,,,51381300.0,ns,12
simple_insert,hecs,,,,51499500.0,ns,12
simple_insert,hecs,,,,51253500.0,ns,12
simple_insert,hecs,,,,51391700.0,ns,12
simple_insert,hecs,,,,51275100.0,ns,12
simple_insert,hecs,,,,51203100.0,ns,12
simple_insert,hecs,,,,51346100.0,ns,12
simple_insert,hecs,,,,51184700.0,ns,12
simple_insert,hecs,,,,51169300.0,ns,12
simple_insert,hecs,,,,51242700.0,ns,12
simple_insert,hecs,,,,51209500.0,ns,12
simple_insert,hecs,,,,51224200.0,ns,12
simple_insert,hecs,,,,51157900.0,ns,12
simple_insert,hecs,,,,51147100.0,ns,12
simple_insert,hecs,,,,51144300.0,ns,12
simple_insert,hecs,,,,51257000.0,ns,12
simple_insert,hecs,,,,51490300.0,ns,12
simple_insert,hecs,,,,51354500.0,ns,12
simple_insert,hecs,,,,51226100.0,ns,12
simple_insert,hecs,,,,51314200.0,ns,12
simple_insert,hecs,,,,51217200.0,ns,12
simple_insert,hecs,,,,51260600.0,ns,12
simple_insert,hecs,,,,51176000.0,ns,12
simple_insert,hecs,,,,51250100.0,ns,12
simple_insert,hecs,,,,51162800.0,ns,12
simple_insert,hecs,,,,51273200.0,ns,12
simple_insert,hecs,,,,51451400.0,ns,12
simple_insert,hecs,,,,51164700.0,ns,12
simple_insert,hecs,,,,51332100.0,ns,12
simple_insert,hecs,,,,51270500.0,ns,12
simple_insert,hecs,,,,51385400.0,ns,12
simple_insert,hecs,,,,51166500.0,ns,12
simple_insert,hecs,,,,51178900.0,ns,12
simple_insert,hecs,,,,51162800.0,ns,12
