group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,57145600.0,ns,7
simple_insert,legion,,,,57348800.0,ns,7
simple_insert,legion,,,,57169300.0,ns,7
simple_insert,legion,,,,57519200.0,ns,7
simple_insert,legion,,,,58016700.0,ns,7
simple_insert,legion,,,,56991300.0,ns,7
simple_insert,legion,,,,57105800.0,ns,7
simple_insert,legion,,,,56987000.0,ns,7
simple_insert,legion,,,,57005600.0,ns,7
simple_insert,legion,,,,55619700.0,ns,7
simple_insert,legion,,,,56998500.0,ns,7
simple_insert,legion,,,,57750700.0,ns,7
simple_insert,legion,,,,56424300.0,ns,7
simple_insert,legion,,,,57879300.0,ns,7
simple_insert,legion,,,,57499700.0,ns,7
simple_insert,legion,,,,56920900.0,ns,7
simple_insert,legion,,,,56720200.0,ns,7
simple_insert,legion,,,,57086500.0,ns,7
simple_insert,legion,,,,58207400.0,ns,7
simple_insert,legion,,,,57788100.0,ns,7
simple_insert,legion,,,,56140100.0,ns,7
simple_insert,legion,,,,57370000.0,ns,7
simple_insert,legion,,,,57682600.0,ns,7
simple_insert,legion,,,,58018000.0,ns,7
simple_insert,legion,,,,57941600.0,ns,7
simple_insert,legion,,,,57865300.0,ns,7
simple_insert,legion,,,,57149300.0,ns,7
simple_insert,legion,,,,57935600.0,ns,7
simple_insert,legion,,,,57940300.0,ns,7
simple_insert,legion,,,,56085200.0,ns,7
simple_insert,legion,,,,57580200.0,ns,7
simple_insert,legion,,,,58917900.0,ns,7
simple_insert,legion,,,,58657300.0,ns,7
simple_insert,legion,,,,58533900.0,ns,7
simple_insert,legion,,,,58736300.0,ns,7
simple_insert,legion,,,,57588100.0,ns,7
simple_insert,legion,,,,57767700.0,ns,7
simple_insert,legion,,,,57309600.0,ns,7
simple_insert,legion,,,,56654400.0,ns,7
simple_insert,legion,,,,57119900.0,ns,7
simple_insert,legion,,,,57417700.0,ns,7
simple_insert,legion,,,,57849300.0,ns,7
simple_insert,legion,,,,57477100.0,ns,7
simple_insert,legion,,,,57268500.0,ns,7
simple_insert,legion,,,,57567600.0,ns,7
simple_insert,legion,,,,57223200.0,ns,7
simple_insert,legion,,,,58384300.0,ns,7
simple_insert,legion,,,,58163000.0,ns,7
simple_insert,legion,,,,58009500.0,ns,7
simple_insert,legion,,,,58112000.0,ns,7
simple_insert,legion,,,,58618300.0,ns,7
simple_insert,legion,,,,57209500.0,ns,7
simple_insert,legion,,,,57221300.0,ns,7
simple_insert,legion,,,,56071700.0,ns,7
simple_insert,legion,,,,57290800.0,ns,7
simple_insert,legion,,,,57429900.0,ns,7
simple_insert,legion,,,,57295300.0,ns,7
simple_insert,legion,,,,57423800.0,ns,7
simple_insert,legion,,,,57149700.0,ns,7
simple_insert,legion,,,,56654300.0,ns,7
simple_insert,legion,,,,57746700.0,ns,7
simple_insert,legion,,,,56679200.0,ns,7
simple_insert,legion,,,,57178200.0,ns,7
simple_insert,legion,,,,57152800.0,ns,7
simple_insert,legion,,,,57232700.0,ns,7
simple_insert,legion,,,,56947700.0,ns,7
simple_insert,legion,,,,56604000.0,ns,7
simple_insert,legion,,,,57342200.0,ns,7
simple_insert,legion,,,,57411500.0,ns,7
simple_insert,legion,,,,56561900.0,ns,7
simple_insert,legion,,,,57218200.0,ns,7
simple_insert,legion,,,,57724600.0,ns,7
simple_insert,legion,,,,56881600.0,ns,7
simple_insert,legion,,,,57567200.0,ns,7
simple_insert,legion,,,,56813700.0,ns,7
simple_insert,legion,,,,58163800.0,ns,7
simple_insert,legion,,,,58312400.0,ns,7
simple_insert,legion,,,,58316800.0,ns,7
simple_insert,legion,,,,58993700.0,ns,7
simple_insert,legion,,,,58502900.0,ns,7
simple_insert,legion,,,,57212800.0,ns,7
simple_insert,legion,,,,56682000.0,ns,7
simple_insert,legion,,,,56994700.0,ns,7
simple_insert,legion,,,,56939400.0,ns,7
simple_insert,legion,,,,57100100.0,ns,7
simple_insert,legion,,,,56752700.0,ns,7
simple_insert,legion,,,,57196300.0,ns,7
simple_insert,legion,,,,58712000.0,ns,7
simple_insert,legion,,,,59044400.0,ns,7
simple_insert,legion,,,,58727100.0,ns,7
simple_insert,legion,,,,57842000.0,ns,7
simple_insert,legion,,,,57557400.0,ns,7
simple_insert,legion,,,,56609900.0,ns,7
simple_insert,legion,,,,57736800.0,ns,7
simple_insert,legion,,,,57182500.0,ns,7
simple_insert,legion,,,,57548900.0,ns,7
simple_insert,legion,,,,56890200.0,ns,7
simple_insert,legion,,,,57403000.0,ns,7
simple_insert,legion,,,,56490800.0,ns,7
simple_insert,legion,,,,57512400.0,ns,7
