group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,legion,,,,58186500.0,ns,7
simple_insert,legion,,,,58131600.0,ns,7
simple_insert,legion,,,,58240800.0,ns,7
simple_insert,legion,,,,58400700.0,ns,7
simple_insert,legion,,,,58582100.0,ns,7
simple_insert,legion,,,,58242800.0,ns,7
simple_insert,legion,,,,58439200.0,ns,7
simple_insert,legion,,,,58476600.0,ns,7
simple_insert,legion,,,,58383200.0,ns,7
simple_insert,legion,,,,58378800.0,ns,7
simple_insert,legion,,,,58381300.0,ns,7
simple_insert,legion,,,,58416800.0,ns,7
simple_insert,legion,,,,58130200.0,ns,7
simple_insert,legion,,,,58288700.0,ns,7
simple_insert,legion,,,,58330200.0,ns,7
simple_insert,legion,,,,58276600.0,ns,7
simple_insert,legion,,,,58302900.0,ns,7
simple_insert,legion,,,,58250100.0,ns,7
simple_insert,legion,,,,58283100.0,ns,7
simple_insert,legion,,,,58163900.0,ns,7
simple_insert,legion,,,,58152300.0,ns,7
simple_insert,legion,,,,58859200.0,ns,7
simple_insert,legion,,,,58337400.0,ns,7
simple_insert,legion,,,,58499000.0,ns,7
simple_insert,legion,,,,58202400.0,ns,7
simple_insert,legion,,,,58673700.0,ns,7
simple_insert,legion,,,,58394500.0,ns,7
simple_insert,legion,,,,58176400.0,ns,7
simple_insert,legion,,,,58142400.0,ns,7
simple_insert,legion,,,,58443900.0,ns,7
simple_insert,legion,,,,58303500.0,ns,7
simple_insert,legion,,,,58348700.0,ns,7
simple_insert,legion,,,,58268400.0,ns,7
simple_insert,legion,,,,58683500.0,ns,7
simple_insert,legion,,,,58463500.0,ns,7
simple_insert,legion,,,,58289000.0,ns,7
simple_insert,legion,,,,58436400.0,ns,7
simple_insert,legion,,,,58259000.0,ns,7
simple_insert,legion,,,,58143800.0,ns,7
simple_insert,legion,,,,58262100.0,ns,7
simple_insert,legion,,,,58247400.0,ns,7
simple_insert,legion,,,,58160000.0,ns,7
simple_insert,legion,,,,58252700.0,ns,7
simple_insert,legion,,,,58272700.0,ns,7
simple_insert,legion,,,,58217500.0,ns,7
simple_insert,legion,,,,58261600.0,ns,7
simple_insert,legion,,,,58305700.0,ns,7
simple_insert,legion,,,,58220300.0,ns,7
simple_insert,legion,,,,58430000.0,ns,7
simple_insert,legion,,,,58191600.0,ns,7
simple_insert,legion,,,,58229500.0,ns,7
simple_insert,legion,,,,58341600.0,ns,7
simple_insert,legion,,,,58257100.0,ns,7
simple_insert,legion,,,,58494800.0,ns,7
simple_insert,legion,,,,58201900.0,ns,7
simple_insert,legion,,,,58245800.0,ns,7
simple_insert,legion,,,,58232400.0,ns,7
simple_insert,legion,,,,58250000.0,ns,7
simple_insert,legion,,,,58382100.0,ns,7
simple_insert,legion,,,,58246400.0,ns,7
simple_insert,legion,,,,58248200.0,ns,7
simple_insert,legion,,,,58222400.0,ns,7
simple_insert,legion,,,,58361200.0,ns,7
simple_insert,legion,,,,58324900.0,ns,7
simple_insert,legion,,,,58571700.0,ns,7
simple_insert,legion,,,,58248500.0,ns,7
simple_insert,legion,,,,58265700.0,ns,7
simple_insert,legion,,,,58180700.0,ns,7
simple_insert,legion,,,,58342200.0,ns,7
simple_insert,legion,,,,58577100.0,ns,7
simple_insert,legion,,,,58231500.0,ns,7
simple_insert,legion,,,,58145900.0,ns,7
simple_insert,legion,,,,58090500.0,ns,7
simple_insert,legion,,,,58245500.0,ns,7
simple_insert,legion,,,,58304000.0,ns,7
simple_insert,legion,,,,58373600.0,ns,7
simple_insert,legion,,,,58220000.0,ns,7
simple_insert,legion,,,,58178300.0,ns,7
simple_insert,legion,,,,58233100.0,ns,7
simple_insert,legion,,,,58280400.0,ns,7
simple_insert,legion,,,,58359500.0,ns,7
simple_insert,legion,,,,58375400.0,ns,7
simple_insert,legion,,,,59063200.0,ns,7
simple_insert,legion,,,,58924200.0,ns,7
simple_insert,legion,,,,58133600.0,ns,7
simple_insert,legion,,,,58147000.0,ns,7
simple_insert,legion,,,,58160800.0,ns,7
simple_insert,legion,,,,58168300.0,ns,7
simple_insert,legion,,,,58377800.0,ns,7
simple_insert,legion,,,,58224200.0,ns,7
simple_insert,legion,,,,58585900.0,ns,7
simple_insert,legion,,,,58475600.0,ns,7
simple_insert,legion,,,,58897400.0,ns,7
simple_insert,legion,,,,58330200.0,ns,7
simple_insert,legion,,,,58303300.0,ns,7
simple_insert,legion,,,,58279500.0,ns,7
simple_insert,legion,,,,58263500.0,ns,7
simple_insert,legion,,,,58502900.0,ns,7
simple_insert,legion,,,,58260700.0,ns,7
simple_insert,legion,,,,58460900.0,ns,7
