group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,55927700.0,ns,4
simple_insert,planck_ecs,,,,55997600.0,ns,4
simple_insert,planck_ecs,,,,55820400.0,ns,4
simple_insert,planck_ecs,,,,56103300.0,ns,4
simple_insert,planck_ecs,,,,55913400.0,ns,4
simple_insert,planck_ecs,,,,55895400.0,ns,4
simple_insert,planck_ecs,,,,56085000.0,ns,4
simple_insert,planck_ecs,,,,55733100.0,ns,4
simple_insert,planck_ecs,,,,55884500.0,ns,4
simple_insert,planck_ecs,,,,55688600.0,ns,4
simple_insert,planck_ecs,,,,55871500.0,ns,4
simple_insert,planck_ecs,,,,55832800.0,ns,4
simple_insert,planck_ecs,,,,55866900.0,ns,4
simple_insert,planck_ecs,,,,55789600.0,ns,4
simple_insert,planck_ecs,,,,55843800.0,ns,4
simple_insert,planck_ecs,,,,55745800.0,ns,4
simple_insert,planck_ecs,,,,56054400.0,ns,4
simple_insert,planck_ecs,,,,55687200.0,ns,4
simple_insert,planck_ecs,,,,55928000.0,ns,4
simple_insert,planck_ecs,,,,55744700.0,ns,4
simple_insert,planck_ecs,,,,55996600.0,ns,4
simple_insert,planck_ecs,,,,55771700.0,ns,4
simple_insert,planck_ecs,,,,56045200.0,ns,4
simple_insert,planck_ecs,,,,55812700.0,ns,4
simple_insert,planck_ecs,,,,55926500.0,ns,4
simple_insert,planck_ecs,,,,55905000.0,ns,4
simple_insert,planck_ecs,,,,56044800.0,ns,4
simple_insert,planck_ecs,,,,55750800.0,ns,4
simple_insert,planck_ecs,,,,56020300.0,ns,4
simple_insert,planck_ecs,,,,55674000.0,ns,4
simple_insert,planck_ecs,,,,56025700.0,ns,4
simple_insert,planck_ecs,,,,56024200.0,ns,4
simple_insert,planck_ecs,,,,56776700.0,ns,4
simple_insert,planck_ecs,,,,55804500.0,ns,4
simple_insert,planck_ecs,,,,55860200.0,ns,4
simple_insert,planck_ecs,,,,55736200.0,ns,4
simple_insert,planck_ecs,,,,55917900.0,ns,4
simple_insert,planck_ecs,,,,55703200.0,ns,4
simple_insert,planck_ecs,,,,55931800.0,ns,4
simple_insert,planck_ecs,,,,55782600.0,ns,4
simple_insert,planck_ecs,,,,56076200.0,ns,4
simple_insert,planck_ecs,,,,55758400.0,ns,4
simple_insert,planck_ecs,,,,57232000.0,ns,4
simple_insert,planck_ecs,,,,55758700.0,ns,4
simple_insert,planck_ecs,,,,56001400.0,ns,4
simple_insert,planck_ecs,,,,55762100.0,ns,4
simple_insert,planck_ecs,,,,55849800.0,ns,4
simple_insert,planck_ecs,,,,56469900.0,ns,4
simple_insert,planck_ecs,,,,55784600.0,ns,4
simple_insert,planck_ecs,,,,55830700.0,ns,4
simple_insert,planck_ecs,,,,55732700.0,ns,4
simple_insert,planck_ecs,,,,56010300.0,ns,4
simple_insert,planck_ecs,,,,55797400.0,ns,4
simple_insert,planck_ecs,,,,55968600.0,ns,4
simple_insert,planck_ecs,,,,55869600.0,ns,4
simple_insert,planck_ecs,,,,55951800.0,ns,4
simple_insert,planck_ecs,,,,55669200.0,ns,4
simple_insert,planck_ecs,,,,55926100.0,ns,4
simple_insert,planck_ecs,,,,56087400.0,ns,4
simple_insert,planck_ecs,,,,55721400.0,ns,4
simple_insert,planck_ecs,,,,56009300.0,ns,4
simple_insert,planck_ecs,,,,55745900.0,ns,4
simple_insert,planck_ecs,,,,55943700.0,ns,4
simple_insert,planck_ecs,,,,55797200.0,ns,4
simple_insert,planck_ecs,,,,55939100.0,ns,4
simple_insert,planck_ecs,,,,56381500.0,ns,4
simple_insert,planck_ecs,,,,55886000.0,ns,4
simple_insert,planck_ecs,,,,55701800.0,ns,4
simple_insert,planck_ecs,,,,55804400.0,ns,4
simple_insert,planck_ecs,,,,55876400.0,ns,4
simple_insert,planck_ecs,,,,55900800.0,ns,4
simple_insert,planck_ecs,,,,55795900.0,ns,4
simple_insert,planck_ecs,,,,56020200.0,ns,4
simple_insert,planck_ecs,,,,55776600.0,ns,4
simple_insert,planck_ecs,,,,56058000.0,ns,4
simple_insert,planck_ecs,,,,55885500.0,ns,4
simple_insert,planck_ecs,,,,55923400.0,ns,4
simple_insert,planck_ecs,,,,55832200.0,ns,4
simple_insert,planck_ecs,,,,55811000.0,ns,4
simple_insert,planck_ecs,,,,56116700.0,ns,4
simple_insert,planck_ecs,,,,57067300.0,ns,4
simple_insert,planck_ecs,,,,56367900.0,ns,4
simple_insert,planck_ecs,,,,55867500.0,ns,4
simple_insert,planck_ecs,,,,55931000.0,ns,4
simple_insert,planck_ecs,,,,57150100.0,ns,4
simple_insert,planck_ecs,,,,56186300.0,ns,4
simple_insert,planck_ecs,,,,55985400.0,ns,4
simple_insert,planck_ecs,,,,55894000.0,ns,4
simple_insert,planck_ecs,,,,55747200.0,ns,4
simple_insert,planck_ecs,,,,55852400.0,ns,4
simple_insert,planck_ecs,,,,55792400.0,ns,4
simple_insert,planck_ecs,,,,55854900.0,ns,4
simple_insert,planck_ecs,,,,55657200.0,ns,4
simple_insert,planck_ecs,,,,55893600.0,ns,4
simple_insert,planck_ecs,,,,55788900.0,ns,4
simple_insert,planck_ecs,,,,55858600.0,ns,4
simple_insert,planck_ecs,,,,55814900.0,ns,4
simple_insert,planck_ecs,,,,55839400.0,ns,4
simple_insert,planck_ecs,,,,55804100.0,ns,4
simple_insert,planck_ecs,,,,55842800.0,ns,4
