group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,planck_ecs,,,,52347000.0,ns,5
simple_insert,planck_ecs,,,,52565300.0,ns,5
simple_insert,planck_ecs,,,,52714800.0,ns,5
simple_insert,planck_ecs,,,,52862800.0,ns,5
simple_insert,planck_ecs,,,,53268300.0,ns,5
simple_insert,planck_ecs,,,,52870900.0,ns,5
simple_insert,planck_ecs,,,,52832500.0,ns,5
simple_insert,planck_ecs,,,,52210700.0,ns,5
simple_insert,planck_ecs,,,,52055200.0,ns,5
simple_insert,planck_ecs,,,,51889900.0,ns,5
simple_insert,planck_ecs,,,,51854400.0,ns,5
simple_insert,planck_ecs,,,,51724100.0,ns,5
simple_insert,planck_ecs,,,,51970500.0,ns,5
simple_insert,planck_ecs,,,,52095800.0,ns,5
simple_insert,planck_ecs,,,,52349000.0,ns,5
simple_insert,planck_ecs,,,,52091700.0,ns,5
simple_insert,planck_ecs,,,,52641500.0,ns,5
simple_insert,planck_ecs,,,,52953100.0,ns,5
simple_insert,planck_ecs,,,,53040800.0,ns,5
simple_insert,planck_ecs,,,,52664800.0,ns,5
simple_insert,planck_ecs,,,,52070600.0,ns,5
simple_insert,planck_ecs,,,,52179900.0,ns,5
simple_insert,planck_ecs,,,,52097900.0,ns,5
simple_insert,planck_ecs,,,,52574600.0,ns,5
simple_insert,planck_ecs,,,,52876500.0,ns,5
simple_insert,planck_ecs,,,,52170900.0,ns,5
simple_insert,planck_ecs,,,,51654000.0,ns,5
simple_insert,planck_ecs,,,,51743900.0,ns,5
simple_insert,planck_ecs,,,,51819600.0,ns,5
simple_insert,planck_ecs,,,,52395400.0,ns,5
simple_insert,planck_ecs,,,,52903500.0,ns,5
simple_insert,planck_ecs,,,,52857500.0,ns,5
simple_insert,planck_ecs,,,,52717000.0,ns,5
simple_insert,planck_ecs,,,,51949500.0,ns,5
simple_insert,planck_ecs,,,,51731500.0,ns,5
simple_insert,planck_ecs,,,,51650600.0,ns,5
simple_insert,planck_ecs,,,,51797200.0,ns,5
simple_insert,planck_ecs,,,,52050000.0,ns,5
simple_insert,planck_ecs,,,,52672000.0,ns,5
simple_insert,planck_ecs,,,,52270600.0,ns,5
simple_insert,planck_ecs,,,,52200100.0,ns,5
simple_insert,planck_ecs,,,,52839500.0,ns,5
simple_insert,planck_ecs,,,,53060900.0,ns,5
simple_insert,planck_ecs,,,,53101600.0,ns,5
simple_insert,planck_ecs,,,,52401900.0,ns,5
simple_insert,planck_ecs,,,,51714400.0,ns,5
simple_insert,planck_ecs,,,,52190800.0,ns,5
simple_insert,planck_ecs,,,,51944700.0,ns,5
simple_insert,planck_ecs,,,,52494400.0,ns,5
simple_insert,planck_ecs,,,,52714500.0,ns,5
simple_insert,planck_ecs,,,,52728500.0,ns,5
simple_insert,planck_ecs,,,,52157600.0,ns,5
simple_insert,planck_ecs,,,,52184000.0,ns,5
simple_insert,planck_ecs,,,,53159900.0,ns,5
simple_insert,planck_ecs,,,,53312800.0,ns,5
simple_insert,planck_ecs,,,,52853300.0,ns,5
simple_insert,planck_ecs,,,,52167400.0,ns,5
simple_insert,planck_ecs,,,,52703700.0,ns,5
simple_insert,planck_ecs,,,,52353600.0,ns,5
simple_insert,planck_ecs,,,,52071300.0,ns,5
simple_insert,planck_ecs,,,,52128900.0,ns,5
simple_insert,planck_ecs,,,,51813600.0,ns,5
simple_insert,planck_ecs,,,,51598800.0,ns,5
simple_insert,planck_ecs,,,,51578900.0,ns,5
simple_insert,planck_ecs,,,,51893100.0,ns,5
simple_insert,planck_ecs,,,,51701700.0,ns,5
simple_insert,planck_ecs,,,,51801700.0,ns,5
simple_insert,planck_ecs,,,,51940600.0,ns,5
simple_insert,planck_ecs,,,,51747200.0,ns,5
simple_insert,planck_ecs,,,,51775300.0,ns,5
simple_insert,planck_ecs,,,,51713400.0,ns,5
simple_insert,planck_ecs,,,,52450000.0,ns,5
simple_insert,planck_ecs,,,,52032100.0,ns,5
simple_insert,planck_ecs,,,,51802500.0,ns,5
simple_insert,planck_ecs,,,,51698900.0,ns,5
simple_insert,planck_ecs,,,,51761200.0,ns,5
simple_insert,planck_ecs,,,,51693600.0,ns,5
simple_insert,planck_ecs,,,,52041200.0,ns,5
simple_insert,planck_ecs,,,,51985700.0,ns,5
simple_insert,planck_ecs,,,,52582100.0,ns,5
simple_insert,planck_ecs,,,,52173300.0,ns,5
simple_insert,planck_ecs,,,,51977000.0,ns,5
simple_insert,planck_ecs,,,,52242400.0,ns,5
simple_insert,planck_ecs,,,,51788900.0,ns,5
simple_insert,planck_ecs,,,,51687400.0,ns,5
simple_insert,planck_ecs,,,,52200800.0,ns,5
simple_insert,planck_ecs,,,,52266800.0,ns,5
simple_insert,planck_ecs,,,,51885200.0,ns,5
simple_insert,planck_ecs,,,,51900600.0,ns,5
simple_insert,planck_ecs,,,,51777100.0,ns,5
simple_insert,planck_ecs,,,,51784200.0,ns,5
simple_insert,planck_ecs,,,,51912900.0,ns,5
simple_insert,planck_ecs,,,,52329900.0,ns,5
simple_insert,planck_ecs,,,,52496800.0,ns,5
simple_insert,planck_ecs,,,,52615800.0,ns,5
simple_insert,planck_ecs,,,,51943600.0,ns,5
simple_insert,planck_ecs,,,,52939900.0,ns,5
simple_insert,planck_ecs,,,,52762400.0,ns,5
simple_insert,planck_ecs,,,,52892800.0,ns,5
simple_insert,planck_ecs,,,,53158300.0,ns,5
