group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,shipyard,,,,65807700.0,ns,4
simple_insert,shipyard,,,,66356900.0,ns,4
simple_insert,shipyard,,,,66622300.0,ns,4
simple_insert,shipyard,,,,66566400.0,ns,4
simple_insert,shipyard,,,,66100200.0,ns,4
simple_insert,shipyard,,,,65781500.0,ns,4
simple_insert,shipyard,,,,65598600.0,ns,4
simple_insert,shipyard,,,,65642900.0,ns,4
simple_insert,shipyard,,,,65561000.0,ns,4
simple_insert,shipyard,,,,65561900.0,ns,4
simple_insert,shipyard,,,,65612000.0,ns,4
simple_insert,shipyard,,,,65467700.0,ns,4
simple_insert,shipyard,,,,65668700.0,ns,4
simple_insert,shipyard,,,,65830200.0,ns,4
simple_insert,shipyard,,,,65741000.0,ns,4
simple_insert,shipyard,,,,65728300.0,ns,4
simple_insert,shipyard,,,,65757200.0,ns,4
simple_insert,shipyard,,,,67097400.0,ns,4
simple_insert,shipyard,,,,69105100.0,ns,4
simple_insert,shipyard,,,,65806000.0,ns,4
simple_insert,shipyard,,,,65741900.0,ns,4
simple_insert,shipyard,,,,65781800.0,ns,4
simple_insert,shipyard,,,,66239900.0,ns,4
simple_insert,shipyard,,,,66681500.0,ns,4
simple_insert,shipyard,,,,66337500.0,ns,4
simple_insert,shipyard,,,,66153300.0,ns,4
simple_insert,shipyard,,,,65836000.0,ns,4
simple_insert,shipyard,,,,65831200.0,ns,4
simple_insert,shipyard,,,,65866600.0,ns,4
simple_insert,shipyard,,,,65770600.0,ns,4
simple_insert,shipyard,,,,66021700.0,ns,4
simple_insert,shipyard,,,,65795800.0,ns,4
simple_insert,shipyard,,,,66127300.0,ns,4
simple_insert,shipyard,,,,66058100.0,ns,4
simple_insert,shipyard,,,,65898500.0,ns,4
simple_insert,shipyard,,,,66020400.0,ns,4
simple_insert,shipyard,,,,65620700.0,ns,4
simple_insert,shipyard,,,,65589100.0,ns,4
simple_insert,shipyard,,,,65615100.0,ns,4
simple_insert,shipyard,,,,65719800.0,ns,4
simple_insert,shipyard,,,,66067700.0,ns,4
simple_insert,shipyard,,,,65597300.0,ns,4
simple_insert,shipyard,,,,65706400.0,ns,4
simple_insert,shipyard,,,,65563400.0,ns,4
simple_insert,shipyard,,,,65815700.0,ns,4
simple_insert,shipyard,,,,65879300.0,ns,4
simple_insert,shipyard,,,,65727300.0,ns,4
simple_insert,shipyard,,,,65892900.0,ns,4
simple_insert,shipyard,,,,65785800.0,ns,4
simple_insert,shipyard,,,,65911800.0,ns,4
simple_insert,shipyard,,,,65816400.0,ns,4
simple_insert,shipyard,,,,65864200.0,ns,4
simple_insert,shipyard,,,,65736400.0,ns,4
simple_insert,shipyard,,,,65600900.0,ns,4
simple_insert,shipyard,,,,65388500.0,ns,4
simple_insert,shipyard,,,,65918700.0,ns,4
simple_insert,shipyard,,,,65794200.0,ns,4
simple_insert,shipyard,,,,65361500.0,ns,4
simple_insert,shipyard,,,,65429700.0,ns,4
simple_insert,shipyard,,,,65331900.0,ns,4
simple_insert,shipyard,,,,65514700.0,ns,4
simple_insert,shipyard,,,,65570900.0,ns,4
simple_insert,shipyard,,,,65499400.0,ns,4
simple_insert,shipyard,,,,65499500.0,ns,4
simple_insert,shipyard,,,,65548300.0,ns,4
simple_insert,shipyard,,,,65463700.0,ns,4
simple_insert,shipyard,,,,66731200.0,ns,4
simple_insert,shipyard,,,,65528200.0,ns,4
simple_insert,shipyard,,,,65398600.0,ns,4
simple_insert,shipyard,,,,65397800.0,ns,4
simple_insert,shipyard,,,,65370500.0,ns,4
simple_insert,shipyard,,,,65561600.0,ns,4
simple_insert,shipyard,,,,65460400.0,ns,4
simple_insert,shipyard,,,,65570400.0,ns,4
simple_insert,shipyard,,,,65372300.0,ns,4
simple_insert,shipyard,,,,65408200.0,ns,4
simple_insert,shipyard,,,,65519500.0,ns,4
simple_insert,shipyard,,,,65537500.0,ns,4
simple_insert,shipyard,,,,65445400.0,ns,4
simple_insert,shipyard,,,,65610700.0,ns,4
simple_insert,shipyard,,,,65891300.0,ns,4
simple_insert,shipyard,,,,65667000.0,ns,4
simple_insert,shipyard,,,,65642500.0,ns,4
simple_insert,shipyard,,,,65273800.0,ns,4
simple_insert,shipyard,,,,65456500.0,ns,4
simple_insert,shipyard,,,,65392500.0,ns,4
simple_insert,shipyard,,,,65388900.0,ns,4
simple_insert,shipyard,,,,65562700.0,ns,4
simple_insert,shipyard,,,,65548400.0,ns,4
simple_insert,shipyard,,,,65374000.0,ns,4
simple_insert,shipyard,,,,65624700.0,ns,4
simple_insert,shipyard,,,,65338700.0,ns,4
simple_insert,shipyard,,,,65465300.0,ns,4
simple_insert,shipyard,,,,65671100.0,ns,4
simple_insert,shipyard,,,,65579700.0,ns,4
simple_insert,shipyard,,,,65469900.0,ns,4
simple_insert,shipyard,,,,65541300.0,ns,4
simple_insert,shipyard,,,,65913100.0,ns,4
simple_insert,shipyard,,,,65403200.0,ns,4
simple_insert,shipyard,,,,65596400.0,ns,4
