group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,sparsey,,,,61174600.0,ns,3
simple_insert,sparsey,,,,60906200.0,ns,3
simple_insert,sparsey,,,,61068100.0,ns,3
simple_insert,sparsey,,,,60867800.0,ns,3
simple_insert,sparsey,,,,61150500.0,ns,3
simple_insert,sparsey,,,,60978500.0,ns,3
simple_insert,sparsey,,,,60998200.0,ns,3
simple_insert,sparsey,,,,60820700.0,ns,3
simple_insert,sparsey,,,,60914200.0,ns,3
simple_insert,sparsey,,,,61119100.0,ns,3
simple_insert,sparsey,,,,61276600.0,ns,3
simple_insert,sparsey,,,,60819600.0,ns,3
simple_insert,sparsey,,,,60965800.0,ns,3
simple_insert,sparsey,,,,61297200.0,ns,3
simple_insert,sparsey,,,,61106900.0,ns,3
simple_insert,sparsey,,,,60849800.0,ns,3
simple_insert,sparsey,,,,61131900.0,ns,3
simple_insert,sparsey,,,,60982000.0,ns,3
simple_insert,sparsey,,,,60895200.0,ns,3
simple_insert,sparsey,,,,60925600.0,ns,3
simple_insert,sparsey,,,,60852300.0,ns,3
simple_insert,sparsey,,,,61084200.0,ns,3
simple_insert,sparsey,,,,60857400.0,ns,3
simple_insert,sparsey,,,,60816700.0,ns,3
simple_insert,sparsey,,,,61023800.0,ns,3
simple_insert,sparsey,,,,61298300.0,ns,3
simple_insert,sparsey,,,,61008400.0,ns,3
simple_insert,sparsey,,,,61084200.0,ns,3
simple_insert,sparsey,,,,61049300.0,ns,3
simple_insert,sparsey,,,,61088800.0,ns,3
simple_insert,sparsey,,,,60997800.0,ns,3
simple_insert,sparsey,,,,61115100.0,ns,3
simple_insert,sparsey,,,,60831100.0,ns,3
simple_insert,sparsey,,,,60807400.0,ns,3
simple_insert,sparsey,,,,60873000.0,ns,3
simple_insert,sparsey,,,,60936400.0,ns,3
simple_insert,sparsey,,,,60907900.0,ns,3
simple_insert,sparsey,,,,60933500.0,ns,3
simple_insert,sparsey,,,,60954300.0,ns,3
simple_insert,sparsey,,,,60838000.0,ns,3
simple_insert,sparsey,,,,60853700.0,ns,3
simple_insert,sparsey,,,,60833400.0,ns,3
simple_insert,sparsey,,,,61390500.0,ns,3
simple_insert,sparsey,,,,61318700.0,ns,3
simple_insert,sparsey,,,,61482100.0,ns,3
simple_insert,sparsey,,,,60921200.0,ns,3
simple_insert,sparsey,,,,60975600.0,ns,3
simple_insert,sparsey,,,,60833500.0,ns,3
simple_insert,sparsey,,,,60982300.0,ns,3
simple_insert,sparsey,,,,61028000.0,ns,3
simple_insert,sparsey,,,,60769700.0,ns,3
simple_insert,sparsey,,,,60808300.0,ns,3
simple_insert,sparsey,,,,60824500.0,ns,3
simple_insert,sparsey,,,,60829500.0,ns,3
simple_insert,sparsey,,,,60841900.0,ns,3
simple_insert,sparsey,,,,60977400.0,ns,3
simple_insert,sparsey,,,,61068800.0,ns,3
simple_insert,sparsey,,,,61071600.0,ns,3
simple_insert,sparsey,,,,61284300.0,ns,3
simple_insert,sparsey,,,,60837000.0,ns,3
simple_insert,sparsey,,,,60803200.0,ns,3
simple_insert,sparsey,,,,60820000.0,ns,3
simple_insert,sparsey,,,,60876800.0,ns,3
simple_insert,sparsey,,,,60869500.0,ns,3
simple_insert,sparsey,,,,60791200.0,ns,3
simple_insert,sparsey,,,,60990400.0,ns,3
simple_insert,sparsey,,,,61222800.0,ns,3
simple_insert,sparsey,,,,60824400.0,ns,3
simple_insert,sparsey,,,,60815900.0,ns,3
simple_insert,sparsey,,,,60969100.0,ns,3
simple_insert,sparsey,,,,60855900.0,ns,3
simple_insert,sparsey,,,,60928900.0,ns,3
simple_insert,sparsey,,,,60885800.0,ns,3
simple_insert,sparsey,,,,61071300.0,ns,3
simple_insert,sparsey,,,,60953900.0,ns,3
simple_insert,sparsey,,,,61153500.0,ns,3
simple_insert,sparsey,,,,60711200.0,ns,3
simple_insert,sparsey,,,,60870200.0,ns,3
simple_insert,sparsey,,,,60806900.0,ns,3
simple_insert,sparsey,,,,60941600.0,ns,3
simple_insert,sparsey,,,,60875500.0,ns,3
simple_insert,sparsey,,,,61231200.0,ns,3
simple_insert,sparsey,,,,61057000.0,ns,3
simple_insert,sparsey,,,,60957300.0,ns,3
simple_insert,sparsey,,,,60792700.0,ns,3
simple_insert,sparsey,,,,60906100.0,ns,3
simple_insert,sparsey,,,,60931200.0,ns,3
simple_insert,sparsey,,,,61067600.0,ns,3
simple_insert,sparsey,,,,61243900.0,ns,3
simple_insert,sparsey,,,,60895200.0,ns,3
simple_insert,sparsey,,,,61040500.0,ns,3
simple_insert,sparsey,,,,61193100.0,ns,3
simple_insert,sparsey,,,,60961400.0,ns,3
simple_insert,sparsey,,,,60964100.0,ns,3
simple_insert,sparsey,,,,60868200.0,ns,3
simple_insert,sparsey,,,,61125800.0,ns,3
simple_insert,sparsey,,,,61277800.0,ns,3
simple_insert,sparsey,,,,61144500.0,ns,3
simple_insert,sparsey,,,,60928000.0,ns,3
simple_insert,sparsey,,,,60784300.0,ns,3
