group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,sparsey,,,,66025800.0,ns,3
simple_insert,sparsey,,,,65895900.0,ns,3
simple_insert,sparsey,,,,65838100.0,ns,3
simple_insert,sparsey,,,,66174300.0,ns,3
simple_insert,sparsey,,,,65907300.0,ns,3
simple_insert,sparsey,,,,66003000.0,ns,3
simple_insert,sparsey,,,,65890300.0,ns,3
simple_insert,sparsey,,,,66010200.0,ns,3
simple_insert,sparsey,,,,65934000.0,ns,3
simple_insert,sparsey,,,,66126600.0,ns,3
simple_insert,sparsey,,,,66039700.0,ns,3
simple_insert,sparsey,,,,65967400.0,ns,3
simple_insert,sparsey,,,,66061700.0,ns,3
simple_insert,sparsey,,,,65855700.0,ns,3
simple_insert,sparsey,,,,65901000.0,ns,3
simple_insert,sparsey,,,,65946800.0,ns,3
simple_insert,sparsey,,,,66095400.0,ns,3
simple_insert,sparsey,,,,65932600.0,ns,3
simple_insert,sparsey,,,,65831800.0,ns,3
simple_insert,sparsey,,,,65866600.0,ns,3
simple_insert,sparsey,,,,65937300.0,ns,3
simple_insert,sparsey,,,,65935900.0,ns,3
simple_insert,sparsey,,,,65871700.0,ns,3
simple_insert,sparsey,,,,66063200.0,ns,3
simple_insert,sparsey,,,,65927300.0,ns,3
simple_insert,sparsey,,,,65919100.0,ns,3
simple_insert,sparsey,,,,65918300.0,ns,3
simple_insert,sparsey,,,,65906000.0,ns,3
simple_insert,sparsey,,,,65846800.0,ns,3
simple_insert,sparsey,,,,65877100.0,ns,3
simple_insert,sparsey,,,,65765600.0,ns,3
simple_insert,sparsey,,,,66088700.0,ns,3
simple_insert,sparsey,,,,65934800.0,ns,3
simple_insert,sparsey,,,,65823500.0,ns,3
simple_insert,sparsey,,,,65881800.0,ns,3
simple_insert,sparsey,,,,65899300.0,ns,3
simple_insert,sparsey,,,,65864000.0,ns,3
simple_insert,sparsey,,,,65898900.0,ns,3
simple_insert,sparsey,,,,65941100.0,ns,3
simple_insert,sparsey,,,,65979500.0,ns,3
simple_insert,sparsey,,,,66004500.0,ns,3
simple_insert,sparsey,,,,65898700.0,ns,3
simple_insert,sparsey,,,,65814400.0,ns,3
simple_insert,sparsey,,,,65888000.0,ns,3
simple_insert,sparsey,,,,65992300.0,ns,3
simple_insert,sparsey,,,,65814400.0,ns,3
simple_insert,sparsey,,,,65876700.0,ns,3
simple_insert,sparsey,,,,65827400.0,ns,3
simple_insert,sparsey,,,,66077700.0,ns,3
simple_insert,sparsey,,,,65846500.0,ns,3
simple_insert,sparsey,,,,65845600.0,ns,3
simple_insert,sparsey,,,,65849100.0,ns,3
simple_insert,sparsey,,,,65835000.0,ns,3
simple_insert,sparsey,,,,65922500.0,ns,3
simple_insert,sparsey,,,,66122500.0,ns,3
simple_insert,sparsey,,,,65914700.0,ns,3
simple_insert,sparsey,,,,65836000.0,ns,3
simple_insert,sparsey,,,,65929300.0,ns,3
simple_insert,sparsey,,,,65968700.0,ns,3
simple_insert,sparsey,,,,65920700.0,ns,3
simple_insert,sparsey,,,,65747100.0,ns,3
simple_insert,sparsey,,,,65879500.0,ns,3
simple_insert,sparsey,,,,65997000.0,ns,3
simple_insert,sparsey,,,,65898400.0,ns,3
simple_insert,sparsey,,,,65989600.0,ns,3
simple_insert,sparsey,,,,66023100.0,ns,3
simple_insert,sparsey,,,,65850700.0,ns,3
simple_insert,sparsey,,,,65901700.0,ns,3
simple_insert,sparsey,,,,65917200.0,ns,3
simple_insert,sparsey,,,,65921100.0,ns,3
simple_insert,sparsey,,,,65933500.0,ns,3
simple_insert,sparsey,,,,65854600.0,ns,3
simple_insert,sparsey,,,,66139100.0,ns,3
simple_insert,sparsey,,,,65997500.0,ns,3
simple_insert,sparsey,,,,66057300.0,ns,3
simple_insert,sparsey,,,,65964900.0,ns,3
simple_insert,sparsey,,,,65787300.0,ns,3
simple_insert,sparsey,,,,65986700.0,ns,3
simple_insert,sparsey,,,,66013100.0,ns,3
simple_insert,sparsey,,,,66093400.0,ns,3
simple_insert,sparsey,,,,65959900.0,ns,3
simple_insert,sparsey,,,,66142500.0,ns,3
simple_insert,sparsey,,,,65910200.0,ns,3
simple_insert,sparsey,,,,65889100.0,ns,3
simple_insert,sparsey,,,,65848000.0,ns,3
simple_insert,sparsey,,,,65916600.0,ns,3
simple_insert,sparsey,,,,65942500.0,ns,3
simple_insert,sparsey,,,,66025700.0,ns,3
simple_insert,sparsey,,,,65958400.0,ns,3
simple_insert,sparsey,,,,65898600.0,ns,3
simple_insert,sparsey,,,,66389200.0,ns,3
simple_insert,sparsey,,,,65874900.0,ns,3
simple_insert,sparsey,,,,66214500.0,ns,3
simple_insert,sparsey,,,,65877100.0,ns,3
simple_insert,sparsey,,,,66126500.0,ns,3
simple_insert,sparsey,,,,65907800.0,ns,3
simple_insert,sparsey,,,,65909900.0,ns,3
simple_insert,sparsey,,,,66243400.0,ns,3
simple_insert,sparsey,,,,66051400.0,ns,3
simple_insert,sparsey,,,,65895000.0,ns,3
