group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,63428600.0,ns,4
simple_insert,specs,,,,63767500.0,ns,4
simple_insert,specs,,,,63509600.0,ns,4
simple_insert,specs,,,,63536700.0,ns,4
simple_insert,specs,,,,63345100.0,ns,4
simple_insert,specs,,,,63665700.0,ns,4
simple_insert,specs,,,,63470200.0,ns,4
simple_insert,specs,,,,63553200.0,ns,4
simple_insert,specs,,,,63371900.0,ns,4
simple_insert,specs,,,,63571500.0,ns,4
simple_insert,specs,,,,63578500.0,ns,4
simple_insert,specs,,,,64238000.0,ns,4
simple_insert,specs,,,,64227100.0,ns,4
simple_insert,specs,,,,65296600.0,ns,4
simple_insert,specs,,,,63382300.0,ns,4
simple_insert,specs,,,,63455600.0,ns,4
simple_insert,specs,,,,63565600.0,ns,4
simple_insert,specs,,,,63475800.0,ns,4
simple_insert,specs,,,,63742400.0,ns,4
simple_insert,specs,,,,63367400.0,ns,4
simple_insert,specs,,,,63503100.0,ns,4
simple_insert,specs,,,,63576400.0,ns,4
simple_insert,specs,,,,63677000.0,ns,4
simple_insert,specs,,,,63815700.0,ns,4
simple_insert,specs,,,,63351500.0,ns,4
simple_insert,specs,,,,63483600.0,ns,4
simple_insert,specs,,,,63334300.0,ns,4
simple_insert,specs,,,,63546500.0,ns,4
simple_insert,specs,,,,63476800.0,ns,4
simple_insert,specs,,,,63615000.0,ns,4
simple_insert,specs,,,,63583900.0,ns,4
simple_insert,specs,,,,64027200.0,ns,4
simple_insert,specs,,,,63382300.0,ns,4
simple_insert,specs,,,,63572200.0,ns,4
simple_insert,specs,,,,63514200.0,ns,4
simple_insert,specs,,,,63411000.0,ns,4
simple_insert,specs,,,,63820700.0,ns,4
simple_insert,specs,,,,63683200.0,ns,4
simple_insert,specs,,,,63538300.0,ns,4
simple_insert,specs,,,,63445200.0,ns,4
simple_insert,specs,,,,63456200.0,ns,4
simple_insert,specs,,,,63655300.0,ns,4
simple_insert,specs,,,,63321300.0,ns,4
simple_insert,specs,,,,63562700.0,ns,4
simple_insert,specs,,,,63302200.0,ns,4
simple_insert,specs,,,,63534200.0,ns,4
simple_insert,specs,,,,63368000.0,ns,4
simple_insert,specs,,,,63524300.0,ns,4
simple_insert,specs,,,,63402800.0,ns,4
simple_insert,specs,,,,63511600.0,ns,4
simple_insert,specs,,,,63540900.0,ns,4
simple_insert,specs,,,,63367700.0,ns,4
simple_insert,specs,,,,63483000.0,ns,4
simple_insert,specs,,,,64044500.0,ns,4
simple_insert,specs,,,,63449900.0,ns,4
simple_insert,specs,,,,63659300.0,ns,4
simple_insert,specs,,,,63442700.0,ns,4
simple_insert,specs,,,,63451100.0,ns,4
simple_insert,specs,,,,63503800.0,ns,4
simple_insert,specs,,,,63316900.0,ns,4
simple_insert,specs,,,,63427000.0,ns,4
simple_insert,specs,,,,63359800.0,ns,4
simple_insert,specs,,,,63523200.0,ns,4
simple_insert,specs,,,,63322200.0,ns,4
simple_insert,specs,,,,63491700.0,ns,4
simple_insert,specs,,,,63550400.0,ns,4
simple_insert,specs,,,,63434800.0,ns,4
simple_insert,specs,,,,63555500.0,ns,4
simple_insert,specs,,,,63352300.0,ns,4
simple_insert,specs,,,,63630800.0,ns,4
simple_insert,specs,,,,63737700.0,ns,4
simple_insert,specs,,,,63651900.0,ns,4
simple_insert,specs,,,,63646600.0,ns,4
simple_insert,specs,,,,63719000.0,ns,4
simple_insert,specs,,,,63547500.0,ns,4
simple_insert,specs,,,,63542900.0,ns,4
simple_insert,specs,,,,63410200.0,ns,4
simple_insert,specs,,,,63480500.0,ns,4
simple_insert,specs,,,,63610100.0,ns,4
simple_insert,specs,,,,63412800.0,ns,4
simple_insert,specs,,,,63696700.0,ns,4
simple_insert,specs,,,,63516300.0,ns,4
simple_insert,specs,,,,63491800.0,ns,4
simple_insert,specs,,,,63626000.0,ns,4
simple_insert,specs,,,,63497200.0,ns,4
simple_insert,specs,,,,63635400.0,ns,4
simple_insert,specs,,,,63641700.0,ns,4
simple_insert,specs,,,,63633800.0,ns,4
simple_insert,specs,,,,63475900.0,ns,4
simple_insert,specs,,,,63490000.0,ns,4
simple_insert,specs,,,,63703600.0,ns,4
simple_insert,specs,,,,63500500.0,ns,4
simple_insert,specs,,,,63556300.0,ns,4
simple_insert,specs,,,,63422000.0,ns,4
simple_insert,specs,,,,63851600.0,ns,4
simple_insert,specs,,,,63639500.0,ns,4
simple_insert,specs,,,,63783600.0,ns,4
simple_insert,specs,,,,63671400.0,ns,4
simple_insert,specs,,,,63467600.0,ns,4
simple_insert,specs,,,,63666500.0,ns,4
