group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_insert,specs,,,,61874400.0,ns,4
simple_insert,specs,,,,61552700.0,ns,4
simple_insert,specs,,,,61150900.0,ns,4
simple_insert,specs,,,,61113700.0,ns,4
simple_insert,specs,,,,61752400.0,ns,4
simple_insert,specs,,,,61360700.0,ns,4
simple_insert,specs,,,,61352100.0,ns,4
simple_insert,specs,,,,61365000.0,ns,4
simple_insert,specs,,,,61283800.0,ns,4
simple_insert,specs,,,,61352200.0,ns,4
simple_insert,specs,,,,61096000.0,ns,4
simple_insert,specs,,,,61377600.0,ns,4
simple_insert,specs,,,,62084900.0,ns,4
simple_insert,specs,,,,61395900.0,ns,4
simple_insert,specs,,,,61817000.0,ns,4
simple_insert,specs,,,,61699400.0,ns,4
simple_insert,specs,,,,61328500.0,ns,4
simple_insert,specs,,,,61250500.0,ns,4
simple_insert,specs,,,,61077700.0,ns,4
simple_insert,specs,,,,61177200.0,ns,4
simple_insert,specs,,,,61225600.0,ns,4
simple_insert,specs,,,,61393400.0,ns,4
simple_insert,specs,,,,61612700.0,ns,4
simple_insert,specs,,,,61460400.0,ns,4
simple_insert,specs,,,,61235000.0,ns,4
simple_insert,specs,,,,61192300.0,ns,4
simple_insert,specs,,,,61337800.0,ns,4
simple_insert,specs,,,,61531900.0,ns,4
simple_insert,specs,,,,61719600.0,ns,4
simple_insert,specs,,,,61212300.0,ns,4
simple_insert,specs,,,,61105400.0,ns,4
simple_insert,specs,,,,61137200.0,ns,4
simple_insert,specs,,,,61230600.0,ns,4
simple_insert,specs,,,,61283600.0,ns,4
simple_insert,specs,,,,61346500.0,ns,4
simple_insert,specs,,,,61500200.0,ns,4
simple_insert,specs,,,,61075600.0,ns,4
simple_insert,specs,,,,61347700.0,ns,4
simple_insert,specs,,,,61223000.0,ns,4
simple_insert,specs,,,,61337500.0,ns,4
simple_insert,specs,,,,62417300.0,ns,4
simple_insert,specs,,,,61528200.0,ns,4
simple_insert,specs,,,,61282400.0,ns,4
simple_insert,specs,,,,61209300.0,ns,4
simple_insert,specs,,,,61195800.0,ns,4
simple_insert,specs,,,,66027800.0,ns,4
simple_insert,specs,,,,62153700.0,ns,4
simple_insert,specs,,,,62226400.0,ns,4
simple_insert,specs,,,,62317800.0,ns,4
simple_insert,specs,,,,62332400.0,ns,4
simple_insert,specs,,,,63636700.0,ns,4
simple_insert,specs,,,,62421900.0,ns,4
simple_insert,specs,,,,62461200.0,ns,4
simple_insert,specs,,,,62894600.0,ns,4
simple_insert,specs,,,,62253700.0,ns,4
simple_insert,specs,,,,62460000.0,ns,4
simple_insert,specs,,,,62536800.0,ns,4
simple_insert,specs,,,,62754700.0,ns,4
simple_insert,specs,,,,62623600.0,ns,4
simple_insert,specs,,,,62331700.0,ns,4
simple_insert,specs,,,,62402300.0,ns,4
simple_insert,specs,,,,63611100.0,ns,4
simple_insert,specs,,,,62405200.0,ns,4
simple_insert,specs,,,,62421600.0,ns,4
simple_insert,specs,,,,62474300.0,ns,4
simple_insert,specs,,,,62454100.0,ns,4
simple_insert,specs,,,,70467900.0,ns,4
simple_insert,specs,,,,62597300.0,ns,4
simple_insert,specs,,,,63012700.0,ns,4
simple_insert,specs,,,,62728200.0,ns,4
simple_insert,specs,,,,68633100.0,ns,4
simple_insert,specs,,,,65450000.0,ns,4
simple_insert,specs,,,,63289700.0,ns,4
simple_insert,specs,,,,62343500.0,ns,4
simple_insert,specs,,,,62356800.0,ns,4
simple_insert,specs,,,,62463100.0,ns,4
simple_insert,specs,,,,62807600.0,ns,4
simple_insert,specs,,,,62154800.0,ns,4
simple_insert,specs,,,,62259600.0,ns,4
simple_insert,specs,,,,62231800.0,ns,4
simple_insert,specs,,,,62254100.0,ns,4
simple_insert,specs,,,,62322300.0,ns,4
simple_insert,specs,,,,62607300.0,ns,4
simple_insert,specs,,,,62253700.0,ns,4
simple_insert,specs,,,,62368000.0,ns,4
simple_insert,specs,,,,62458900.0,ns,4
simple_insert,specs,,,,62240500.0,ns,4
simple_insert,specs,,,,62491600.0,ns,4
simple_insert,specs,,,,62473900.0,ns,4
simple_insert,specs,,,,62340900.0,ns,4
simple_insert,specs,,,,69973800.0,ns,4
simple_insert,specs,,,,62384900.0,ns,4
simple_insert,specs,,,,63895300.0,ns,4
simple_insert,specs,,,,62103200.0,ns,4
simple_insert,specs,,,,62301400.0,ns,4
simple_insert,specs,,,,62419200.0,ns,4
simple_insert,specs,,,,62365600.0,ns,4
simple_insert,specs,,,,62467700.0,ns,4
simple_insert,specs,,,,62636100.0,ns,4
simple_insert,specs,,,,62567400.0,ns,4
