group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,bevy,,,,983200.0,ns,70
simple_iter,bevy,,,,1982300.0,ns,140
simple_iter,bevy,,,,3029100.0,ns,210
simple_iter,bevy,,,,3962700.0,ns,280
simple_iter,bevy,,,,4890300.0,ns,350
simple_iter,bevy,,,,5945500.0,ns,420
simple_iter,bevy,,,,6902900.0,ns,490
simple_iter,bevy,,,,8016700.0,ns,560
simple_iter,bevy,,,,8853700.0,ns,630
simple_iter,bevy,,,,9958800.0,ns,700
simple_iter,bevy,,,,11132900.0,ns,770
simple_iter,bevy,,,,11986700.0,ns,840
simple_iter,bevy,,,,12777300.0,ns,910
simple_iter,bevy,,,,13939000.0,ns,980
simple_iter,bevy,,,,14759200.0,ns,1050
simple_iter,bevy,,,,15928200.0,ns,1120
simple_iter,bevy,,,,16659500.0,ns,1190
simple_iter,bevy,,,,17922900.0,ns,1260
simple_iter,bevy,,,,18692700.0,ns,1330
simple_iter,bevy,,,,19879600.0,ns,1400
simple_iter,bevy,,,,20557800.0,ns,1470
simple_iter,bevy,,,,21726900.0,ns,1540
simple_iter,bevy,,,,22401400.0,ns,1610
simple_iter,bevy,,,,23659600.0,ns,1680
simple_iter,bevy,,,,24370100.0,ns,1750
simple_iter,bevy,,,,25622800.0,ns,1820
simple_iter,bevy,,,,26289000.0,ns,1890
simple_iter,bevy,,,,27687900.0,ns,1960
simple_iter,bevy,,,,28265000.0,ns,2030
simple_iter,bevy,,,,29619100.0,ns,2100
simple_iter,bevy,,,,30292300.0,ns,2170
simple_iter,bevy,,,,31616000.0,ns,2240
simple_iter,bevy,,,,32350600.0,ns,2310
simple_iter,bevy,,,,34136400.0,ns,2380
simple_iter,bevy,,,,34094200.0,ns,2450
simple_iter,bevy,,,,35529900.0,ns,2520
simple_iter,bevy,,,,36100900.0,ns,2590
simple_iter,bevy,,,,39276900.0,ns,2660
simple_iter,bevy,,,,38613000.0,ns,2730
simple_iter,bevy,,,,39515200.0,ns,2800
simple_iter,bevy,,,,39978900.0,ns,2870
simple_iter,bevy,,,,41460800.0,ns,2940
simple_iter,bevy,,,,41864900.0,ns,3010
simple_iter,bevy,,,,43573100.0,ns,3080
simple_iter,bevy,,,,43932200.0,ns,3150
simple_iter,bevy,,,,45462000.0,ns,3220
simple_iter,bevy,,,,45758900.0,ns,3290
simple_iter,bevy,,,,47348400.0,ns,3360
simple_iter,bevy,,,,48011300.0,ns,3430
simple_iter,bevy,,,,49306500.0,ns,3500
simple_iter,bevy,,,,49873900.0,ns,3570
simple_iter,bevy,,,,51492800.0,ns,3640
simple_iter,bevy,,,,51910000.0,ns,3710
simple_iter,bevy,,,,53481400.0,ns,3780
simple_iter,bevy,,,,53679400.0,ns,3850
simple_iter,bevy,,,,55377400.0,ns,3920
simple_iter,bevy,,,,55572100.0,ns,3990
simple_iter,bevy,,,,57409000.0,ns,4060
simple_iter,bevy,,,,57525400.0,ns,4130
simple_iter,bevy,,,,59409200.0,ns,4200
simple_iter,bevy,,,,59594700.0,ns,4270
simple_iter,bevy,,,,61319000.0,ns,4340
simple_iter,bevy,,,,62349400.0,ns,4410
simple_iter,bevy,,,,63262100.0,ns,4480
simple_iter,bevy,,,,63411200.0,ns,4550
simple_iter,bevy,,,,65278600.0,ns,4620
simple_iter,bevy,,,,65457400.0,ns,4690
simple_iter,bevy,,,,67365200.0,ns,4760
simple_iter,bevy,,,,67484400.0,ns,4830
simple_iter,bevy,,,,69478900.0,ns,4900
simple_iter,bevy,,,,69246800.0,ns,4970
simple_iter,bevy,,,,71226200.0,ns,5040
simple_iter,bevy,,,,71276200.0,ns,5110
simple_iter,bevy,,,,73179400.0,ns,5180
simple_iter,bevy,,,,73149200.0,ns,5250
simple_iter,bevy,,,,75186600.0,ns,5320
simple_iter,bevy,,,,75085600.0,ns,5390
simple_iter,bevy,,,,77724200.0,ns,5460
simple_iter,bevy,,,,77122100.0,ns,5530
simple_iter,bevy,,,,79093800.0,ns,5600
simple_iter,bevy,,,,78957600.0,ns,5670
simple_iter,bevy,,,,81297600.0,ns,5740
simple_iter,bevy,,,,80881900.0,ns,5810
simple_iter,bevy,,,,83028300.0,ns,5880
simple_iter,bevy,,,,82940500.0,ns,5950
simple_iter,bevy,,,,84940100.0,ns,6020
simple_iter,bevy,,,,84869900.0,ns,6090
simple_iter,bevy,,,,87000900.0,ns,6160
simple_iter,bevy,,,,87079900.0,ns,6230
simple_iter,bevy,,,,89114300.0,ns,6300
simple_iter,bevy,,,,88739000.0,ns,6370
simple_iter,bevy,,,,91534300.0,ns,6440
simple_iter,bevy,,,,91256300.0,ns,6510
simple_iter,bevy,,,,93535300.0,ns,6580
simple_iter,bevy,,,,93307700.0,ns,6650
simple_iter,bevy,,,,95423500.0,ns,6720
simple_iter,bevy,,,,95395300.0,ns,6790
simple_iter,bevy,,,,97570400.0,ns,6860
simple_iter,bevy,,,,97243000.0,ns,6930
simple_iter,bevy,,,,99602100.0,ns,7000
