group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,edict,,,,1024300.0,ns,16
simple_iter,edict,,,,2038100.0,ns,32
simple_iter,edict,,,,3071800.0,ns,48
simple_iter,edict,,,,4084500.0,ns,64
simple_iter,edict,,,,5130100.0,ns,80
simple_iter,edict,,,,6115600.0,ns,96
simple_iter,edict,,,,7130900.0,ns,112
simple_iter,edict,,,,8149600.0,ns,128
simple_iter,edict,,,,9167500.0,ns,144
simple_iter,edict,,,,10186100.0,ns,160
simple_iter,edict,,,,11275400.0,ns,176
simple_iter,edict,,,,12406400.0,ns,192
simple_iter,edict,,,,13344500.0,ns,208
simple_iter,edict,,,,14310900.0,ns,224
simple_iter,edict,,,,15311700.0,ns,240
simple_iter,edict,,,,16320300.0,ns,256
simple_iter,edict,,,,17376500.0,ns,272
simple_iter,edict,,,,18351600.0,ns,288
simple_iter,edict,,,,19374300.0,ns,304
simple_iter,edict,,,,20401100.0,ns,320
simple_iter,edict,,,,21421100.0,ns,336
simple_iter,edict,,,,22545500.0,ns,352
simple_iter,edict,,,,23586400.0,ns,368
simple_iter,edict,,,,24482800.0,ns,384
simple_iter,edict,,,,25511800.0,ns,400
simple_iter,edict,,,,26525500.0,ns,416
simple_iter,edict,,,,27527000.0,ns,432
simple_iter,edict,,,,28771200.0,ns,448
simple_iter,edict,,,,29879300.0,ns,464
simple_iter,edict,,,,30733900.0,ns,480
simple_iter,edict,,,,31655000.0,ns,496
simple_iter,edict,,,,32626700.0,ns,512
simple_iter,edict,,,,33645700.0,ns,528
simple_iter,edict,,,,34663100.0,ns,544
simple_iter,edict,,,,35702700.0,ns,560
simple_iter,edict,,,,36866100.0,ns,576
simple_iter,edict,,,,37709200.0,ns,592
simple_iter,edict,,,,38781300.0,ns,608
simple_iter,edict,,,,39735000.0,ns,624
simple_iter,edict,,,,41032600.0,ns,640
simple_iter,edict,,,,41816600.0,ns,656
simple_iter,edict,,,,42887900.0,ns,672
simple_iter,edict,,,,44077500.0,ns,688
simple_iter,edict,,,,45184200.0,ns,704
simple_iter,edict,,,,46157700.0,ns,720
simple_iter,edict,,,,47171100.0,ns,736
simple_iter,edict,,,,48231700.0,ns,752
simple_iter,edict,,,,49261000.0,ns,768
simple_iter,edict,,,,50251900.0,ns,784
simple_iter,edict,,,,51258600.0,ns,800
simple_iter,edict,,,,52307800.0,ns,816
simple_iter,edict,,,,53318600.0,ns,832
simple_iter,edict,,,,54414800.0,ns,848
simple_iter,edict,,,,55403100.0,ns,864
simple_iter,edict,,,,56473700.0,ns,880
simple_iter,edict,,,,57523900.0,ns,896
simple_iter,edict,,,,58479100.0,ns,912
simple_iter,edict,,,,59461200.0,ns,928
simple_iter,edict,,,,60641500.0,ns,944
simple_iter,edict,,,,61941000.0,ns,960
simple_iter,edict,,,,62625000.0,ns,976
simple_iter,edict,,,,64418300.0,ns,992
simple_iter,edict,,,,65827900.0,ns,1008
simple_iter,edict,,,,65816600.0,ns,1024
simple_iter,edict,,,,66667500.0,ns,1040
simple_iter,edict,,,,68737000.0,ns,1056
simple_iter,edict,,,,69386000.0,ns,1072
simple_iter,edict,,,,70024800.0,ns,1088
simple_iter,edict,,,,71209100.0,ns,1104
simple_iter,edict,,,,72146200.0,ns,1120
simple_iter,edict,,,,73173900.0,ns,1136
simple_iter,edict,,,,74888900.0,ns,1152
simple_iter,edict,,,,75764400.0,ns,1168
simple_iter,edict,,,,75944200.0,ns,1184
simple_iter,edict,,,,77106700.0,ns,1200
simple_iter,edict,,,,78062400.0,ns,1216
simple_iter,edict,,,,78541100.0,ns,1232
simple_iter,edict,,,,79559900.0,ns,1248
simple_iter,edict,,,,80547200.0,ns,1264
simple_iter,edict,,,,81734600.0,ns,1280
simple_iter,edict,,,,83112700.0,ns,1296
simple_iter,edict,,,,83526800.0,ns,1312
simple_iter,edict,,,,84637900.0,ns,1328
simple_iter,edict,,,,85644200.0,ns,1344
simple_iter,edict,,,,86644400.0,ns,1360
simple_iter,edict,,,,87784100.0,ns,1376
simple_iter,edict,,,,88742700.0,ns,1392
simple_iter,edict,,,,89805300.0,ns,1408
simple_iter,edict,,,,90907800.0,ns,1424
simple_iter,edict,,,,92089500.0,ns,1440
simple_iter,edict,,,,93626200.0,ns,1456
simple_iter,edict,,,,93903400.0,ns,1472
simple_iter,edict,,,,94977200.0,ns,1488
simple_iter,edict,,,,96734700.0,ns,1504
simple_iter,edict,,,,96993100.0,ns,1520
simple_iter,edict,,,,98289500.0,ns,1536
simple_iter,edict,,,,99349500.0,ns,1552
simple_iter,edict,,,,99813600.0,ns,1568
simple_iter,edict,,,,101453800.0,ns,1584
simple_iter,edict,,,,102048100.0,ns,1600
