group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,edict,,,,1007100.0,ns,80
simple_iter,edict,,,,1981400.0,ns,160
simple_iter,edict,,,,3084800.0,ns,240
simple_iter,edict,,,,4054500.0,ns,320
simple_iter,edict,,,,5118900.0,ns,400
simple_iter,edict,,,,6173600.0,ns,480
simple_iter,edict,,,,6897900.0,ns,560
simple_iter,edict,,,,8257100.0,ns,640
simple_iter,edict,,,,9293400.0,ns,720
simple_iter,edict,,,,10271000.0,ns,800
simple_iter,edict,,,,11430200.0,ns,880
simple_iter,edict,,,,12312500.0,ns,960
simple_iter,edict,,,,13383600.0,ns,1040
simple_iter,edict,,,,14470100.0,ns,1120
simple_iter,edict,,,,14938500.0,ns,1200
simple_iter,edict,,,,16311700.0,ns,1280
simple_iter,edict,,,,17564300.0,ns,1360
simple_iter,edict,,,,18562400.0,ns,1440
simple_iter,edict,,,,19360600.0,ns,1520
simple_iter,edict,,,,20748300.0,ns,1600
simple_iter,edict,,,,21522300.0,ns,1680
simple_iter,edict,,,,22639200.0,ns,1760
simple_iter,edict,,,,23248700.0,ns,1840
simple_iter,edict,,,,24533800.0,ns,1920
simple_iter,edict,,,,25128300.0,ns,2000
simple_iter,edict,,,,25881500.0,ns,2080
simple_iter,edict,,,,27204900.0,ns,2160
simple_iter,edict,,,,28065500.0,ns,2240
simple_iter,edict,,,,29038100.0,ns,2320
simple_iter,edict,,,,30335300.0,ns,2400
simple_iter,edict,,,,31148600.0,ns,2480
simple_iter,edict,,,,32115700.0,ns,2560
simple_iter,edict,,,,33301800.0,ns,2640
simple_iter,edict,,,,34224900.0,ns,2720
simple_iter,edict,,,,34533600.0,ns,2800
simple_iter,edict,,,,36354800.0,ns,2880
simple_iter,edict,,,,36459600.0,ns,2960
simple_iter,edict,,,,37382800.0,ns,3040
simple_iter,edict,,,,39218800.0,ns,3120
simple_iter,edict,,,,40094400.0,ns,3200
simple_iter,edict,,,,40056800.0,ns,3280
simple_iter,edict,,,,41829400.0,ns,3360
simple_iter,edict,,,,42142400.0,ns,3440
simple_iter,edict,,,,44526700.0,ns,3520
simple_iter,edict,,,,45466600.0,ns,3600
simple_iter,edict,,,,45739100.0,ns,3680
simple_iter,edict,,,,46858300.0,ns,3760
simple_iter,edict,,,,49367500.0,ns,3840
simple_iter,edict,,,,50506100.0,ns,3920
simple_iter,edict,,,,51763700.0,ns,4000
simple_iter,edict,,,,52337200.0,ns,4080
simple_iter,edict,,,,53936600.0,ns,4160
simple_iter,edict,,,,54434400.0,ns,4240
simple_iter,edict,,,,56039500.0,ns,4320
simple_iter,edict,,,,56248900.0,ns,4400
simple_iter,edict,,,,57977000.0,ns,4480
simple_iter,edict,,,,58895400.0,ns,4560
simple_iter,edict,,,,59304100.0,ns,4640
simple_iter,edict,,,,61263000.0,ns,4720
simple_iter,edict,,,,62011400.0,ns,4800
simple_iter,edict,,,,61119800.0,ns,4880
simple_iter,edict,,,,64163600.0,ns,4960
simple_iter,edict,,,,64677000.0,ns,5040
simple_iter,edict,,,,64734000.0,ns,5120
simple_iter,edict,,,,66513100.0,ns,5200
simple_iter,edict,,,,67470100.0,ns,5280
simple_iter,edict,,,,67751700.0,ns,5360
simple_iter,edict,,,,68193000.0,ns,5440
simple_iter,edict,,,,68048800.0,ns,5520
simple_iter,edict,,,,69852500.0,ns,5600
simple_iter,edict,,,,71210300.0,ns,5680
simple_iter,edict,,,,72187900.0,ns,5760
simple_iter,edict,,,,73332700.0,ns,5840
simple_iter,edict,,,,72549100.0,ns,5920
simple_iter,edict,,,,75821300.0,ns,6000
simple_iter,edict,,,,76875400.0,ns,6080
simple_iter,edict,,,,77379100.0,ns,6160
simple_iter,edict,,,,76222600.0,ns,6240
simple_iter,edict,,,,80223700.0,ns,6320
simple_iter,edict,,,,80559500.0,ns,6400
simple_iter,edict,,,,82080600.0,ns,6480
simple_iter,edict,,,,80346300.0,ns,6560
simple_iter,edict,,,,82868100.0,ns,6640
simple_iter,edict,,,,82295100.0,ns,6720
simple_iter,edict,,,,86176500.0,ns,6800
simple_iter,edict,,,,83958100.0,ns,6880
simple_iter,edict,,,,87752600.0,ns,6960
simple_iter,edict,,,,87945500.0,ns,7040
simple_iter,edict,,,,88954400.0,ns,7120
simple_iter,edict,,,,91952400.0,ns,7200
simple_iter,edict,,,,94202800.0,ns,7280
simple_iter,edict,,,,90571200.0,ns,7360
simple_iter,edict,,,,95298400.0,ns,7440
simple_iter,edict,,,,97340600.0,ns,7520
simple_iter,edict,,,,98083600.0,ns,7600
simple_iter,edict,,,,98439200.0,ns,7680
simple_iter,edict,,,,99856600.0,ns,7760
simple_iter,edict,,,,100541200.0,ns,7840
simple_iter,edict,,,,102355500.0,ns,7920
simple_iter,edict,,,,98965100.0,ns,8000
