group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,995900.0,ns,18
simple_iter,hecs,,,,2030300.0,ns,36
simple_iter,hecs,,,,2987400.0,ns,54
simple_iter,hecs,,,,3983300.0,ns,72
simple_iter,hecs,,,,4987500.0,ns,90
simple_iter,hecs,,,,6004500.0,ns,108
simple_iter,hecs,,,,6963300.0,ns,126
simple_iter,hecs,,,,7981400.0,ns,144
simple_iter,hecs,,,,8972100.0,ns,162
simple_iter,hecs,,,,10006700.0,ns,180
simple_iter,hecs,,,,11001600.0,ns,198
simple_iter,hecs,,,,11977400.0,ns,216
simple_iter,hecs,,,,12993600.0,ns,234
simple_iter,hecs,,,,13982100.0,ns,252
simple_iter,hecs,,,,15018100.0,ns,270
simple_iter,hecs,,,,16047000.0,ns,288
simple_iter,hecs,,,,16973500.0,ns,306
simple_iter,hecs,,,,17975500.0,ns,324
simple_iter,hecs,,,,19271800.0,ns,342
simple_iter,hecs,,,,20053800.0,ns,360
simple_iter,hecs,,,,20971800.0,ns,378
simple_iter,hecs,,,,22092500.0,ns,396
simple_iter,hecs,,,,23300200.0,ns,414
simple_iter,hecs,,,,24191600.0,ns,432
simple_iter,hecs,,,,25336900.0,ns,450
simple_iter,hecs,,,,26214300.0,ns,468
simple_iter,hecs,,,,26962800.0,ns,486
simple_iter,hecs,,,,27961200.0,ns,504
simple_iter,hecs,,,,29063400.0,ns,522
simple_iter,hecs,,,,31278900.0,ns,540
simple_iter,hecs,,,,32181100.0,ns,558
simple_iter,hecs,,,,32334100.0,ns,576
simple_iter,hecs,,,,33228100.0,ns,594
simple_iter,hecs,,,,34482600.0,ns,612
simple_iter,hecs,,,,35470800.0,ns,630
simple_iter,hecs,,,,36613300.0,ns,648
simple_iter,hecs,,,,37578000.0,ns,666
simple_iter,hecs,,,,38415400.0,ns,684
simple_iter,hecs,,,,39372800.0,ns,702
simple_iter,hecs,,,,40275200.0,ns,720
simple_iter,hecs,,,,41321000.0,ns,738
simple_iter,hecs,,,,42327000.0,ns,756
simple_iter,hecs,,,,44180100.0,ns,774
simple_iter,hecs,,,,44882600.0,ns,792
simple_iter,hecs,,,,45369000.0,ns,810
simple_iter,hecs,,,,48057200.0,ns,828
simple_iter,hecs,,,,47226000.0,ns,846
simple_iter,hecs,,,,48860500.0,ns,864
simple_iter,hecs,,,,49425100.0,ns,882
simple_iter,hecs,,,,51101000.0,ns,900
simple_iter,hecs,,,,52407200.0,ns,918
simple_iter,hecs,,,,53147700.0,ns,936
simple_iter,hecs,,,,53655900.0,ns,954
simple_iter,hecs,,,,54291200.0,ns,972
simple_iter,hecs,,,,55397900.0,ns,990
simple_iter,hecs,,,,56629300.0,ns,1008
simple_iter,hecs,,,,58275500.0,ns,1026
simple_iter,hecs,,,,61652500.0,ns,1044
simple_iter,hecs,,,,60162500.0,ns,1062
simple_iter,hecs,,,,62503400.0,ns,1080
simple_iter,hecs,,,,62343000.0,ns,1098
simple_iter,hecs,,,,63318100.0,ns,1116
simple_iter,hecs,,,,64366700.0,ns,1134
simple_iter,hecs,,,,65584400.0,ns,1152
simple_iter,hecs,,,,66522500.0,ns,1170
simple_iter,hecs,,,,67012800.0,ns,1188
simple_iter,hecs,,,,68019500.0,ns,1206
simple_iter,hecs,,,,69333300.0,ns,1224
simple_iter,hecs,,,,69547100.0,ns,1242
simple_iter,hecs,,,,70737200.0,ns,1260
simple_iter,hecs,,,,73185400.0,ns,1278
simple_iter,hecs,,,,77294100.0,ns,1296
simple_iter,hecs,,,,76302400.0,ns,1314
simple_iter,hecs,,,,77747400.0,ns,1332
simple_iter,hecs,,,,77804600.0,ns,1350
simple_iter,hecs,,,,76908500.0,ns,1368
simple_iter,hecs,,,,77645000.0,ns,1386
simple_iter,hecs,,,,79327900.0,ns,1404
simple_iter,hecs,,,,80407800.0,ns,1422
simple_iter,hecs,,,,81031700.0,ns,1440
simple_iter,hecs,,,,83886600.0,ns,1458
simple_iter,hecs,,,,84341100.0,ns,1476
simple_iter,hecs,,,,83792800.0,ns,1494
simple_iter,hecs,,,,89008600.0,ns,1512
simple_iter,hecs,,,,86835200.0,ns,1530
simple_iter,hecs,,,,87183300.0,ns,1548
simple_iter,hecs,,,,88001700.0,ns,1566
simple_iter,hecs,,,,88820000.0,ns,1584
simple_iter,hecs,,,,89886400.0,ns,1602
simple_iter,hecs,,,,92348900.0,ns,1620
simple_iter,hecs,,,,92291200.0,ns,1638
simple_iter,hecs,,,,95094000.0,ns,1656
simple_iter,hecs,,,,94489600.0,ns,1674
simple_iter,hecs,,,,97127100.0,ns,1692
simple_iter,hecs,,,,98673400.0,ns,1710
simple_iter,hecs,,,,96609500.0,ns,1728
simple_iter,hecs,,,,97475700.0,ns,1746
simple_iter,hecs,,,,98949200.0,ns,1764
simple_iter,hecs,,,,101270300.0,ns,1782
simple_iter,hecs,,,,101359400.0,ns,1800
