group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,hecs,,,,989700.0,ns,90
simple_iter,hecs,,,,1997300.0,ns,180
simple_iter,hecs,,,,2967700.0,ns,270
simple_iter,hecs,,,,3969000.0,ns,360
simple_iter,hecs,,,,4946800.0,ns,450
simple_iter,hecs,,,,5935400.0,ns,540
simple_iter,hecs,,,,6925000.0,ns,630
simple_iter,hecs,,,,7923200.0,ns,720
simple_iter,hecs,,,,8935800.0,ns,810
simple_iter,hecs,,,,9917500.0,ns,900
simple_iter,hecs,,,,10889600.0,ns,990
simple_iter,hecs,,,,11877600.0,ns,1080
simple_iter,hecs,,,,12867600.0,ns,1170
simple_iter,hecs,,,,13849500.0,ns,1260
simple_iter,hecs,,,,14845000.0,ns,1350
simple_iter,hecs,,,,15856400.0,ns,1440
simple_iter,hecs,,,,16837600.0,ns,1530
simple_iter,hecs,,,,17814000.0,ns,1620
simple_iter,hecs,,,,18819700.0,ns,1710
simple_iter,hecs,,,,19794000.0,ns,1800
simple_iter,hecs,,,,20798400.0,ns,1890
simple_iter,hecs,,,,21793500.0,ns,1980
simple_iter,hecs,,,,22764700.0,ns,2070
simple_iter,hecs,,,,23831800.0,ns,2160
simple_iter,hecs,,,,24745600.0,ns,2250
simple_iter,hecs,,,,25759700.0,ns,2340
simple_iter,hecs,,,,26724700.0,ns,2430
simple_iter,hecs,,,,27705200.0,ns,2520
simple_iter,hecs,,,,28739900.0,ns,2610
simple_iter,hecs,,,,29707000.0,ns,2700
simple_iter,hecs,,,,30721800.0,ns,2790
simple_iter,hecs,,,,31667400.0,ns,2880
simple_iter,hecs,,,,32670100.0,ns,2970
simple_iter,hecs,,,,33651600.0,ns,3060
simple_iter,hecs,,,,34670600.0,ns,3150
simple_iter,hecs,,,,35649700.0,ns,3240
simple_iter,hecs,,,,36619500.0,ns,3330
simple_iter,hecs,,,,37614000.0,ns,3420
simple_iter,hecs,,,,38591900.0,ns,3510
simple_iter,hecs,,,,39615900.0,ns,3600
simple_iter,hecs,,,,40597200.0,ns,3690
simple_iter,hecs,,,,41625100.0,ns,3780
simple_iter,hecs,,,,42554100.0,ns,3870
simple_iter,hecs,,,,43559700.0,ns,3960
simple_iter,hecs,,,,44556500.0,ns,4050
simple_iter,hecs,,,,45562100.0,ns,4140
simple_iter,hecs,,,,46516300.0,ns,4230
simple_iter,hecs,,,,47573900.0,ns,4320
simple_iter,hecs,,,,48541800.0,ns,4410
simple_iter,hecs,,,,49510100.0,ns,4500
simple_iter,hecs,,,,50502700.0,ns,4590
simple_iter,hecs,,,,51466300.0,ns,4680
simple_iter,hecs,,,,52462200.0,ns,4770
simple_iter,hecs,,,,53472000.0,ns,4860
simple_iter,hecs,,,,54430800.0,ns,4950
simple_iter,hecs,,,,55420200.0,ns,5040
simple_iter,hecs,,,,56459300.0,ns,5130
simple_iter,hecs,,,,57430800.0,ns,5220
simple_iter,hecs,,,,58467600.0,ns,5310
simple_iter,hecs,,,,59676200.0,ns,5400
simple_iter,hecs,,,,60369700.0,ns,5490
simple_iter,hecs,,,,61358500.0,ns,5580
simple_iter,hecs,,,,62395200.0,ns,5670
simple_iter,hecs,,,,63406600.0,ns,5760
simple_iter,hecs,,,,64368800.0,ns,5850
simple_iter,hecs,,,,65336400.0,ns,5940
simple_iter,hecs,,,,66427400.0,ns,6030
simple_iter,hecs,,,,67331000.0,ns,6120
simple_iter,hecs,,,,68310300.0,ns,6210
simple_iter,hecs,,,,69309200.0,ns,6300
simple_iter,hecs,,,,70357200.0,ns,6390
simple_iter,hecs,,,,71318100.0,ns,6480
simple_iter,hecs,,,,72277400.0,ns,6570
simple_iter,hecs,,,,73321200.0,ns,6660
simple_iter,hecs,,,,74245100.0,ns,6750
simple_iter,hecs,,,,75241100.0,ns,6840
simple_iter,hecs,,,,76336000.0,ns,6930
simple_iter,hecs,,,,77236600.0,ns,7020
simple_iter,hecs,,,,78199200.0,ns,7110
simple_iter,hecs,,,,79269000.0,ns,7200
simple_iter,hecs,,,,80188400.0,ns,7290
simple_iter,hecs,,,,81181900.0,ns,7380
simple_iter,hecs,,,,82207900.0,ns,7470
simple_iter,hecs,,,,83194800.0,ns,7560
simple_iter,hecs,,,,84130500.0,ns,7650
simple_iter,hecs,,,,85175700.0,ns,7740
simple_iter,hecs,,,,86136200.0,ns,7830
simple_iter,hecs,,,,87141800.0,ns,7920
simple_iter,hecs,,,,88155600.0,ns,8010
simple_iter,hecs,,,,89155800.0,ns,8100
simple_iter,hecs,,,,90232900.0,ns,8190
simple_iter,hecs,,,,91066200.0,ns,8280
simple_iter,hecs,,,,92124700.0,ns,8370
simple_iter,hecs,,,,93095000.0,ns,8460
simple_iter,hecs,,,,94046600.0,ns,8550
simple_iter,hecs,,,,95065500.0,ns,8640
simple_iter,hecs,,,,96025500.0,ns,8730
simple_iter,hecs,,,,97102900.0,ns,8820
simple_iter,hecs,,,,98027600.0,ns,8910
simple_iter,hecs,,,,99013700.0,ns,9000
