group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion,,,,1000000.0,ns,88
simple_iter,legion,,,,1986800.0,ns,176
simple_iter,legion,,,,2990700.0,ns,264
simple_iter,legion,,,,3982100.0,ns,352
simple_iter,legion,,,,4978100.0,ns,440
simple_iter,legion,,,,5970200.0,ns,528
simple_iter,legion,,,,6962800.0,ns,616
simple_iter,legion,,,,7981700.0,ns,704
simple_iter,legion,,,,8949200.0,ns,792
simple_iter,legion,,,,9978000.0,ns,880
simple_iter,legion,,,,10947500.0,ns,968
simple_iter,legion,,,,11949600.0,ns,1056
simple_iter,legion,,,,12949400.0,ns,1144
simple_iter,legion,,,,13939000.0,ns,1232
simple_iter,legion,,,,14923000.0,ns,1320
simple_iter,legion,,,,15943700.0,ns,1408
simple_iter,legion,,,,16906200.0,ns,1496
simple_iter,legion,,,,18002700.0,ns,1584
simple_iter,legion,,,,18902700.0,ns,1672
simple_iter,legion,,,,19931500.0,ns,1760
simple_iter,legion,,,,21442100.0,ns,1848
simple_iter,legion,,,,21909100.0,ns,1936
simple_iter,legion,,,,22877700.0,ns,2024
simple_iter,legion,,,,23873000.0,ns,2112
simple_iter,legion,,,,24912000.0,ns,2200
simple_iter,legion,,,,25870200.0,ns,2288
simple_iter,legion,,,,26877100.0,ns,2376
simple_iter,legion,,,,27850000.0,ns,2464
simple_iter,legion,,,,28859100.0,ns,2552
simple_iter,legion,,,,29860100.0,ns,2640
simple_iter,legion,,,,30930000.0,ns,2728
simple_iter,legion,,,,31860800.0,ns,2816
simple_iter,legion,,,,32878300.0,ns,2904
simple_iter,legion,,,,33931700.0,ns,2992
simple_iter,legion,,,,34851900.0,ns,3080
simple_iter,legion,,,,35833000.0,ns,3168
simple_iter,legion,,,,36847900.0,ns,3256
simple_iter,legion,,,,38474400.0,ns,3344
simple_iter,legion,,,,38787400.0,ns,3432
simple_iter,legion,,,,39872600.0,ns,3520
simple_iter,legion,,,,40778900.0,ns,3608
simple_iter,legion,,,,42418400.0,ns,3696
simple_iter,legion,,,,42799900.0,ns,3784
simple_iter,legion,,,,43858100.0,ns,3872
simple_iter,legion,,,,44764600.0,ns,3960
simple_iter,legion,,,,45743100.0,ns,4048
simple_iter,legion,,,,46727200.0,ns,4136
simple_iter,legion,,,,47758100.0,ns,4224
simple_iter,legion,,,,48750600.0,ns,4312
simple_iter,legion,,,,49715800.0,ns,4400
simple_iter,legion,,,,50664800.0,ns,4488
simple_iter,legion,,,,51719100.0,ns,4576
simple_iter,legion,,,,52670700.0,ns,4664
simple_iter,legion,,,,53741900.0,ns,4752
simple_iter,legion,,,,54678600.0,ns,4840
simple_iter,legion,,,,55703700.0,ns,4928
simple_iter,legion,,,,56677300.0,ns,5016
simple_iter,legion,,,,57851100.0,ns,5104
simple_iter,legion,,,,58638400.0,ns,5192
simple_iter,legion,,,,59666400.0,ns,5280
simple_iter,legion,,,,60617700.0,ns,5368
simple_iter,legion,,,,61739800.0,ns,5456
simple_iter,legion,,,,62644000.0,ns,5544
simple_iter,legion,,,,63764600.0,ns,5632
simple_iter,legion,,,,64976500.0,ns,5720
simple_iter,legion,,,,65741300.0,ns,5808
simple_iter,legion,,,,66628500.0,ns,5896
simple_iter,legion,,,,67724900.0,ns,5984
simple_iter,legion,,,,68565300.0,ns,6072
simple_iter,legion,,,,69643500.0,ns,6160
simple_iter,legion,,,,71446400.0,ns,6248
simple_iter,legion,,,,71748200.0,ns,6336
simple_iter,legion,,,,72537900.0,ns,6424
simple_iter,legion,,,,73694000.0,ns,6512
simple_iter,legion,,,,74583700.0,ns,6600
simple_iter,legion,,,,75639400.0,ns,6688
simple_iter,legion,,,,76600600.0,ns,6776
simple_iter,legion,,,,77570100.0,ns,6864
simple_iter,legion,,,,78618600.0,ns,6952
simple_iter,legion,,,,79538900.0,ns,7040
simple_iter,legion,,,,80590200.0,ns,7128
simple_iter,legion,,,,81593300.0,ns,7216
simple_iter,legion,,,,82588300.0,ns,7304
simple_iter,legion,,,,83658700.0,ns,7392
simple_iter,legion,,,,84803700.0,ns,7480
simple_iter,legion,,,,85628100.0,ns,7568
simple_iter,legion,,,,86623000.0,ns,7656
simple_iter,legion,,,,87646300.0,ns,7744
simple_iter,legion,,,,88571200.0,ns,7832
simple_iter,legion,,,,89789700.0,ns,7920
simple_iter,legion,,,,90740200.0,ns,8008
simple_iter,legion,,,,91580000.0,ns,8096
simple_iter,legion,,,,92424800.0,ns,8184
simple_iter,legion,,,,93562800.0,ns,8272
simple_iter,legion,,,,94377800.0,ns,8360
simple_iter,legion,,,,95589200.0,ns,8448
simple_iter,legion,,,,96474400.0,ns,8536
simple_iter,legion,,,,97420100.0,ns,8624
simple_iter,legion,,,,98480400.0,ns,8712
simple_iter,legion,,,,99570800.0,ns,8800
