group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion_packed,,,,1032800.0,ns,88
simple_iter,legion_packed,,,,1991000.0,ns,176
simple_iter,legion_packed,,,,2980500.0,ns,264
simple_iter,legion_packed,,,,3988100.0,ns,352
simple_iter,legion_packed,,,,5007500.0,ns,440
simple_iter,legion_packed,,,,6073500.0,ns,528
simple_iter,legion_packed,,,,7021500.0,ns,616
simple_iter,legion_packed,,,,7957900.0,ns,704
simple_iter,legion_packed,,,,8971000.0,ns,792
simple_iter,legion_packed,,,,9980400.0,ns,880
simple_iter,legion_packed,,,,10974500.0,ns,968
simple_iter,legion_packed,,,,12020500.0,ns,1056
simple_iter,legion_packed,,,,12994500.0,ns,1144
simple_iter,legion_packed,,,,13980000.0,ns,1232
simple_iter,legion_packed,,,,14979100.0,ns,1320
simple_iter,legion_packed,,,,15990000.0,ns,1408
simple_iter,legion_packed,,,,16961400.0,ns,1496
simple_iter,legion_packed,,,,17977000.0,ns,1584
simple_iter,legion_packed,,,,18979900.0,ns,1672
simple_iter,legion_packed,,,,19970600.0,ns,1760
simple_iter,legion_packed,,,,20965500.0,ns,1848
simple_iter,legion_packed,,,,21959000.0,ns,1936
simple_iter,legion_packed,,,,22914500.0,ns,2024
simple_iter,legion_packed,,,,24844700.0,ns,2112
simple_iter,legion_packed,,,,26196700.0,ns,2200
simple_iter,legion_packed,,,,26035600.0,ns,2288
simple_iter,legion_packed,,,,26976400.0,ns,2376
simple_iter,legion_packed,,,,27967600.0,ns,2464
simple_iter,legion_packed,,,,28918600.0,ns,2552
simple_iter,legion_packed,,,,29926200.0,ns,2640
simple_iter,legion_packed,,,,30896500.0,ns,2728
simple_iter,legion_packed,,,,31983700.0,ns,2816
simple_iter,legion_packed,,,,32908200.0,ns,2904
simple_iter,legion_packed,,,,33927200.0,ns,2992
simple_iter,legion_packed,,,,35000300.0,ns,3080
simple_iter,legion_packed,,,,35927800.0,ns,3168
simple_iter,legion_packed,,,,36924000.0,ns,3256
simple_iter,legion_packed,,,,37923600.0,ns,3344
simple_iter,legion_packed,,,,38958900.0,ns,3432
simple_iter,legion_packed,,,,39957500.0,ns,3520
simple_iter,legion_packed,,,,40971500.0,ns,3608
simple_iter,legion_packed,,,,41909800.0,ns,3696
simple_iter,legion_packed,,,,42971300.0,ns,3784
simple_iter,legion_packed,,,,43940600.0,ns,3872
simple_iter,legion_packed,,,,45455200.0,ns,3960
simple_iter,legion_packed,,,,46573900.0,ns,4048
simple_iter,legion_packed,,,,46923900.0,ns,4136
simple_iter,legion_packed,,,,47931800.0,ns,4224
simple_iter,legion_packed,,,,48885300.0,ns,4312
simple_iter,legion_packed,,,,49917100.0,ns,4400
simple_iter,legion_packed,,,,50924900.0,ns,4488
simple_iter,legion_packed,,,,51952500.0,ns,4576
simple_iter,legion_packed,,,,52917700.0,ns,4664
simple_iter,legion_packed,,,,53947900.0,ns,4752
simple_iter,legion_packed,,,,54854000.0,ns,4840
simple_iter,legion_packed,,,,55909700.0,ns,4928
simple_iter,legion_packed,,,,56871200.0,ns,5016
simple_iter,legion_packed,,,,57914800.0,ns,5104
simple_iter,legion_packed,,,,58944100.0,ns,5192
simple_iter,legion_packed,,,,60035300.0,ns,5280
simple_iter,legion_packed,,,,65590600.0,ns,5368
simple_iter,legion_packed,,,,61921300.0,ns,5456
simple_iter,legion_packed,,,,62935700.0,ns,5544
simple_iter,legion_packed,,,,64022500.0,ns,5632
simple_iter,legion_packed,,,,64896000.0,ns,5720
simple_iter,legion_packed,,,,65889200.0,ns,5808
simple_iter,legion_packed,,,,66877300.0,ns,5896
simple_iter,legion_packed,,,,67894100.0,ns,5984
simple_iter,legion_packed,,,,68916700.0,ns,6072
simple_iter,legion_packed,,,,69887000.0,ns,6160
simple_iter,legion_packed,,,,70899500.0,ns,6248
simple_iter,legion_packed,,,,71956000.0,ns,6336
simple_iter,legion_packed,,,,78514100.0,ns,6424
simple_iter,legion_packed,,,,74193700.0,ns,6512
simple_iter,legion_packed,,,,74891900.0,ns,6600
simple_iter,legion_packed,,,,75942800.0,ns,6688
simple_iter,legion_packed,,,,76939300.0,ns,6776
simple_iter,legion_packed,,,,77891900.0,ns,6864
simple_iter,legion_packed,,,,79034200.0,ns,6952
simple_iter,legion_packed,,,,79983000.0,ns,7040
simple_iter,legion_packed,,,,80904400.0,ns,7128
simple_iter,legion_packed,,,,81852800.0,ns,7216
simple_iter,legion_packed,,,,82858500.0,ns,7304
simple_iter,legion_packed,,,,86138700.0,ns,7392
simple_iter,legion_packed,,,,84886300.0,ns,7480
simple_iter,legion_packed,,,,86197900.0,ns,7568
simple_iter,legion_packed,,,,86776300.0,ns,7656
simple_iter,legion_packed,,,,87775400.0,ns,7744
simple_iter,legion_packed,,,,88930900.0,ns,7832
simple_iter,legion_packed,,,,89833400.0,ns,7920
simple_iter,legion_packed,,,,90844500.0,ns,8008
simple_iter,legion_packed,,,,91730800.0,ns,8096
simple_iter,legion_packed,,,,92796900.0,ns,8184
simple_iter,legion_packed,,,,95272800.0,ns,8272
simple_iter,legion_packed,,,,94890700.0,ns,8360
simple_iter,legion_packed,,,,95879600.0,ns,8448
simple_iter,legion_packed,,,,96714000.0,ns,8536
simple_iter,legion_packed,,,,97304400.0,ns,8624
simple_iter,legion_packed,,,,98413500.0,ns,8712
simple_iter,legion_packed,,,,99251100.0,ns,8800
