group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,legion_packed,,,,997600.0,ns,88
simple_iter,legion_packed,,,,1986500.0,ns,176
simple_iter,legion_packed,,,,2980100.0,ns,264
simple_iter,legion_packed,,,,3966500.0,ns,352
simple_iter,legion_packed,,,,4973700.0,ns,440
simple_iter,legion_packed,,,,5980600.0,ns,528
simple_iter,legion_packed,,,,6959300.0,ns,616
simple_iter,legion_packed,,,,7950600.0,ns,704
simple_iter,legion_packed,,,,8987000.0,ns,792
simple_iter,legion_packed,,,,9924000.0,ns,880
simple_iter,legion_packed,,,,10915900.0,ns,968
simple_iter,legion_packed,,,,11919300.0,ns,1056
simple_iter,legion_packed,,,,12923000.0,ns,1144
simple_iter,legion_packed,,,,13909000.0,ns,1232
simple_iter,legion_packed,,,,14898200.0,ns,1320
simple_iter,legion_packed,,,,15913200.0,ns,1408
simple_iter,legion_packed,,,,17196100.0,ns,1496
simple_iter,legion_packed,,,,17911900.0,ns,1584
simple_iter,legion_packed,,,,18875900.0,ns,1672
simple_iter,legion_packed,,,,19881300.0,ns,1760
simple_iter,legion_packed,,,,20867100.0,ns,1848
simple_iter,legion_packed,,,,21863500.0,ns,1936
simple_iter,legion_packed,,,,22860000.0,ns,2024
simple_iter,legion_packed,,,,24032900.0,ns,2112
simple_iter,legion_packed,,,,24842500.0,ns,2200
simple_iter,legion_packed,,,,25829100.0,ns,2288
simple_iter,legion_packed,,,,26828800.0,ns,2376
simple_iter,legion_packed,,,,27815200.0,ns,2464
simple_iter,legion_packed,,,,28810800.0,ns,2552
simple_iter,legion_packed,,,,29786900.0,ns,2640
simple_iter,legion_packed,,,,30841000.0,ns,2728
simple_iter,legion_packed,,,,31993900.0,ns,2816
simple_iter,legion_packed,,,,32749800.0,ns,2904
simple_iter,legion_packed,,,,33764400.0,ns,2992
simple_iter,legion_packed,,,,34763100.0,ns,3080
simple_iter,legion_packed,,,,35795300.0,ns,3168
simple_iter,legion_packed,,,,37071800.0,ns,3256
simple_iter,legion_packed,,,,37743900.0,ns,3344
simple_iter,legion_packed,,,,39271100.0,ns,3432
simple_iter,legion_packed,,,,39748600.0,ns,3520
simple_iter,legion_packed,,,,40770400.0,ns,3608
simple_iter,legion_packed,,,,41778400.0,ns,3696
simple_iter,legion_packed,,,,42715900.0,ns,3784
simple_iter,legion_packed,,,,43718500.0,ns,3872
simple_iter,legion_packed,,,,44689800.0,ns,3960
simple_iter,legion_packed,,,,45683800.0,ns,4048
simple_iter,legion_packed,,,,46724700.0,ns,4136
simple_iter,legion_packed,,,,47703300.0,ns,4224
simple_iter,legion_packed,,,,48664100.0,ns,4312
simple_iter,legion_packed,,,,50082700.0,ns,4400
simple_iter,legion_packed,,,,50677800.0,ns,4488
simple_iter,legion_packed,,,,51683100.0,ns,4576
simple_iter,legion_packed,,,,52807600.0,ns,4664
simple_iter,legion_packed,,,,53628700.0,ns,4752
simple_iter,legion_packed,,,,54674200.0,ns,4840
simple_iter,legion_packed,,,,55840800.0,ns,4928
simple_iter,legion_packed,,,,56664200.0,ns,5016
simple_iter,legion_packed,,,,57636200.0,ns,5104
simple_iter,legion_packed,,,,58603500.0,ns,5192
simple_iter,legion_packed,,,,59668500.0,ns,5280
simple_iter,legion_packed,,,,60676400.0,ns,5368
simple_iter,legion_packed,,,,61636300.0,ns,5456
simple_iter,legion_packed,,,,62593900.0,ns,5544
simple_iter,legion_packed,,,,63698400.0,ns,5632
simple_iter,legion_packed,,,,64610600.0,ns,5720
simple_iter,legion_packed,,,,65598500.0,ns,5808
simple_iter,legion_packed,,,,66569400.0,ns,5896
simple_iter,legion_packed,,,,67567900.0,ns,5984
simple_iter,legion_packed,,,,68586700.0,ns,6072
simple_iter,legion_packed,,,,69590700.0,ns,6160
simple_iter,legion_packed,,,,70927600.0,ns,6248
simple_iter,legion_packed,,,,71903600.0,ns,6336
simple_iter,legion_packed,,,,72646400.0,ns,6424
simple_iter,legion_packed,,,,73689400.0,ns,6512
simple_iter,legion_packed,,,,74624300.0,ns,6600
simple_iter,legion_packed,,,,75938900.0,ns,6688
simple_iter,legion_packed,,,,76470800.0,ns,6776
simple_iter,legion_packed,,,,77593400.0,ns,6864
simple_iter,legion_packed,,,,78468800.0,ns,6952
simple_iter,legion_packed,,,,79586800.0,ns,7040
simple_iter,legion_packed,,,,80422800.0,ns,7128
simple_iter,legion_packed,,,,81552700.0,ns,7216
simple_iter,legion_packed,,,,82455600.0,ns,7304
simple_iter,legion_packed,,,,84202600.0,ns,7392
simple_iter,legion_packed,,,,84506000.0,ns,7480
simple_iter,legion_packed,,,,85545400.0,ns,7568
simple_iter,legion_packed,,,,88108600.0,ns,7656
simple_iter,legion_packed,,,,87399800.0,ns,7744
simple_iter,legion_packed,,,,88413400.0,ns,7832
simple_iter,legion_packed,,,,89771300.0,ns,7920
simple_iter,legion_packed,,,,90436200.0,ns,8008
simple_iter,legion_packed,,,,91496100.0,ns,8096
simple_iter,legion_packed,,,,92449800.0,ns,8184
simple_iter,legion_packed,,,,93516800.0,ns,8272
simple_iter,legion_packed,,,,94298200.0,ns,8360
simple_iter,legion_packed,,,,95390200.0,ns,8448
simple_iter,legion_packed,,,,96333300.0,ns,8536
simple_iter,legion_packed,,,,97348400.0,ns,8624
simple_iter,legion_packed,,,,98343300.0,ns,8712
simple_iter,legion_packed,,,,99300700.0,ns,8800
