group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,1310000.0,ns,2
simple_iter,planck_ecs,,,,2589300.0,ns,4
simple_iter,planck_ecs,,,,3877700.0,ns,6
simple_iter,planck_ecs,,,,5250900.0,ns,8
simple_iter,planck_ecs,,,,6476900.0,ns,10
simple_iter,planck_ecs,,,,7795100.0,ns,12
simple_iter,planck_ecs,,,,9150800.0,ns,14
simple_iter,planck_ecs,,,,10420700.0,ns,16
simple_iter,planck_ecs,,,,11683700.0,ns,18
simple_iter,planck_ecs,,,,12951400.0,ns,20
simple_iter,planck_ecs,,,,14297100.0,ns,22
simple_iter,planck_ecs,,,,15650200.0,ns,24
simple_iter,planck_ecs,,,,16856600.0,ns,26
simple_iter,planck_ecs,,,,18196400.0,ns,28
simple_iter,planck_ecs,,,,19518600.0,ns,30
simple_iter,planck_ecs,,,,20741300.0,ns,32
simple_iter,planck_ecs,,,,22062800.0,ns,34
simple_iter,planck_ecs,,,,23421300.0,ns,36
simple_iter,planck_ecs,,,,24654800.0,ns,38
simple_iter,planck_ecs,,,,26018900.0,ns,40
simple_iter,planck_ecs,,,,27783400.0,ns,42
simple_iter,planck_ecs,,,,28529100.0,ns,44
simple_iter,planck_ecs,,,,29857600.0,ns,46
simple_iter,planck_ecs,,,,31266700.0,ns,48
simple_iter,planck_ecs,,,,32489200.0,ns,50
simple_iter,planck_ecs,,,,33766100.0,ns,52
simple_iter,planck_ecs,,,,35062700.0,ns,54
simple_iter,planck_ecs,,,,36327200.0,ns,56
simple_iter,planck_ecs,,,,37759600.0,ns,58
simple_iter,planck_ecs,,,,39035800.0,ns,60
simple_iter,planck_ecs,,,,40461000.0,ns,62
simple_iter,planck_ecs,,,,41524900.0,ns,64
simple_iter,planck_ecs,,,,42832900.0,ns,66
simple_iter,planck_ecs,,,,44163800.0,ns,68
simple_iter,planck_ecs,,,,45620300.0,ns,70
simple_iter,planck_ecs,,,,46732900.0,ns,72
simple_iter,planck_ecs,,,,48261200.0,ns,74
simple_iter,planck_ecs,,,,49348400.0,ns,76
simple_iter,planck_ecs,,,,50681900.0,ns,78
simple_iter,planck_ecs,,,,52074700.0,ns,80
simple_iter,planck_ecs,,,,53394600.0,ns,82
simple_iter,planck_ecs,,,,55031400.0,ns,84
simple_iter,planck_ecs,,,,55836300.0,ns,86
simple_iter,planck_ecs,,,,57107800.0,ns,88
simple_iter,planck_ecs,,,,58481900.0,ns,90
simple_iter,planck_ecs,,,,59758600.0,ns,92
simple_iter,planck_ecs,,,,61062600.0,ns,94
simple_iter,planck_ecs,,,,62321800.0,ns,96
simple_iter,planck_ecs,,,,63628700.0,ns,98
simple_iter,planck_ecs,,,,65181500.0,ns,100
simple_iter,planck_ecs,,,,66264800.0,ns,102
simple_iter,planck_ecs,,,,67562700.0,ns,104
simple_iter,planck_ecs,,,,68882600.0,ns,106
simple_iter,planck_ecs,,,,70133000.0,ns,108
simple_iter,planck_ecs,,,,71558300.0,ns,110
simple_iter,planck_ecs,,,,73103800.0,ns,112
simple_iter,planck_ecs,,,,74098400.0,ns,114
simple_iter,planck_ecs,,,,75468400.0,ns,116
simple_iter,planck_ecs,,,,76928100.0,ns,118
simple_iter,planck_ecs,,,,78050600.0,ns,120
simple_iter,planck_ecs,,,,79126800.0,ns,122
simple_iter,planck_ecs,,,,80344100.0,ns,124
simple_iter,planck_ecs,,,,81729200.0,ns,126
simple_iter,planck_ecs,,,,83187000.0,ns,128
simple_iter,planck_ecs,,,,84561300.0,ns,130
simple_iter,planck_ecs,,,,85820900.0,ns,132
simple_iter,planck_ecs,,,,87407800.0,ns,134
simple_iter,planck_ecs,,,,88173200.0,ns,136
simple_iter,planck_ecs,,,,89508400.0,ns,138
simple_iter,planck_ecs,,,,90893400.0,ns,140
simple_iter,planck_ecs,,,,92213600.0,ns,142
simple_iter,planck_ecs,,,,93479800.0,ns,144
simple_iter,planck_ecs,,,,94721300.0,ns,146
simple_iter,planck_ecs,,,,96060200.0,ns,148
simple_iter,planck_ecs,,,,97887100.0,ns,150
simple_iter,planck_ecs,,,,98771300.0,ns,152
simple_iter,planck_ecs,,,,100476500.0,ns,154
simple_iter,planck_ecs,,,,101244100.0,ns,156
simple_iter,planck_ecs,,,,102607800.0,ns,158
simple_iter,planck_ecs,,,,103933700.0,ns,160
simple_iter,planck_ecs,,,,105207600.0,ns,162
simple_iter,planck_ecs,,,,106378700.0,ns,164
simple_iter,planck_ecs,,,,107644700.0,ns,166
simple_iter,planck_ecs,,,,108886600.0,ns,168
simple_iter,planck_ecs,,,,110752300.0,ns,170
simple_iter,planck_ecs,,,,111949800.0,ns,172
simple_iter,planck_ecs,,,,112865500.0,ns,174
simple_iter,planck_ecs,,,,114303000.0,ns,176
simple_iter,planck_ecs,,,,115616900.0,ns,178
simple_iter,planck_ecs,,,,116986200.0,ns,180
simple_iter,planck_ecs,,,,118073200.0,ns,182
simple_iter,planck_ecs,,,,119397800.0,ns,184
simple_iter,planck_ecs,,,,120932600.0,ns,186
simple_iter,planck_ecs,,,,122393600.0,ns,188
simple_iter,planck_ecs,,,,123676900.0,ns,190
simple_iter,planck_ecs,,,,124674000.0,ns,192
simple_iter,planck_ecs,,,,126015200.0,ns,194
simple_iter,planck_ecs,,,,127356200.0,ns,196
simple_iter,planck_ecs,,,,128563300.0,ns,198
simple_iter,planck_ecs,,,,130331400.0,ns,200
