group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,planck_ecs,,,,1347300.0,ns,2
simple_iter,planck_ecs,,,,2649100.0,ns,4
simple_iter,planck_ecs,,,,3952400.0,ns,6
simple_iter,planck_ecs,,,,5290300.0,ns,8
simple_iter,planck_ecs,,,,6600600.0,ns,10
simple_iter,planck_ecs,,,,7897900.0,ns,12
simple_iter,planck_ecs,,,,9240300.0,ns,14
simple_iter,planck_ecs,,,,10542500.0,ns,16
simple_iter,planck_ecs,,,,11909100.0,ns,18
simple_iter,planck_ecs,,,,13198400.0,ns,20
simple_iter,planck_ecs,,,,14488200.0,ns,22
simple_iter,planck_ecs,,,,15809300.0,ns,24
simple_iter,planck_ecs,,,,17192900.0,ns,26
simple_iter,planck_ecs,,,,18446000.0,ns,28
simple_iter,planck_ecs,,,,19833200.0,ns,30
simple_iter,planck_ecs,,,,21100800.0,ns,32
simple_iter,planck_ecs,,,,22454000.0,ns,34
simple_iter,planck_ecs,,,,23724600.0,ns,36
simple_iter,planck_ecs,,,,25056500.0,ns,38
simple_iter,planck_ecs,,,,26326200.0,ns,40
simple_iter,planck_ecs,,,,27700200.0,ns,42
simple_iter,planck_ecs,,,,28995500.0,ns,44
simple_iter,planck_ecs,,,,31319500.0,ns,46
simple_iter,planck_ecs,,,,32327200.0,ns,48
simple_iter,planck_ecs,,,,32920900.0,ns,50
simple_iter,planck_ecs,,,,34232100.0,ns,52
simple_iter,planck_ecs,,,,35547700.0,ns,54
simple_iter,planck_ecs,,,,36898500.0,ns,56
simple_iter,planck_ecs,,,,38228000.0,ns,58
simple_iter,planck_ecs,,,,39533500.0,ns,60
simple_iter,planck_ecs,,,,40850100.0,ns,62
simple_iter,planck_ecs,,,,42167300.0,ns,64
simple_iter,planck_ecs,,,,43585400.0,ns,66
simple_iter,planck_ecs,,,,44792400.0,ns,68
simple_iter,planck_ecs,,,,46177700.0,ns,70
simple_iter,planck_ecs,,,,47555900.0,ns,72
simple_iter,planck_ecs,,,,48742800.0,ns,74
simple_iter,planck_ecs,,,,50097600.0,ns,76
simple_iter,planck_ecs,,,,51402400.0,ns,78
simple_iter,planck_ecs,,,,52769400.0,ns,80
simple_iter,planck_ecs,,,,54019100.0,ns,82
simple_iter,planck_ecs,,,,55474600.0,ns,84
simple_iter,planck_ecs,,,,57907800.0,ns,86
simple_iter,planck_ecs,,,,57981700.0,ns,88
simple_iter,planck_ecs,,,,59251400.0,ns,90
simple_iter,planck_ecs,,,,60569500.0,ns,92
simple_iter,planck_ecs,,,,61927400.0,ns,94
simple_iter,planck_ecs,,,,63373600.0,ns,96
simple_iter,planck_ecs,,,,64639700.0,ns,98
simple_iter,planck_ecs,,,,65894700.0,ns,100
simple_iter,planck_ecs,,,,67215000.0,ns,102
simple_iter,planck_ecs,,,,68631500.0,ns,104
simple_iter,planck_ecs,,,,69942900.0,ns,106
simple_iter,planck_ecs,,,,71142300.0,ns,108
simple_iter,planck_ecs,,,,72513200.0,ns,110
simple_iter,planck_ecs,,,,74032300.0,ns,112
simple_iter,planck_ecs,,,,79792900.0,ns,114
simple_iter,planck_ecs,,,,76587300.0,ns,116
simple_iter,planck_ecs,,,,79903200.0,ns,118
simple_iter,planck_ecs,,,,80765300.0,ns,120
simple_iter,planck_ecs,,,,82041900.0,ns,122
simple_iter,planck_ecs,,,,82451600.0,ns,124
simple_iter,planck_ecs,,,,83061700.0,ns,126
simple_iter,planck_ecs,,,,84357000.0,ns,128
simple_iter,planck_ecs,,,,85613500.0,ns,130
simple_iter,planck_ecs,,,,86907300.0,ns,132
simple_iter,planck_ecs,,,,88568800.0,ns,134
simple_iter,planck_ecs,,,,93695400.0,ns,136
simple_iter,planck_ecs,,,,90916900.0,ns,138
simple_iter,planck_ecs,,,,92282000.0,ns,140
simple_iter,planck_ecs,,,,93483600.0,ns,142
simple_iter,planck_ecs,,,,95024000.0,ns,144
simple_iter,planck_ecs,,,,96211200.0,ns,146
simple_iter,planck_ecs,,,,97581800.0,ns,148
simple_iter,planck_ecs,,,,98778000.0,ns,150
simple_iter,planck_ecs,,,,100220400.0,ns,152
simple_iter,planck_ecs,,,,102396300.0,ns,154
simple_iter,planck_ecs,,,,102712400.0,ns,156
simple_iter,planck_ecs,,,,104118400.0,ns,158
simple_iter,planck_ecs,,,,108768700.0,ns,160
simple_iter,planck_ecs,,,,106778400.0,ns,162
simple_iter,planck_ecs,,,,108192900.0,ns,164
simple_iter,planck_ecs,,,,109567800.0,ns,166
simple_iter,planck_ecs,,,,111104400.0,ns,168
simple_iter,planck_ecs,,,,112273000.0,ns,170
simple_iter,planck_ecs,,,,113502500.0,ns,172
simple_iter,planck_ecs,,,,114829300.0,ns,174
simple_iter,planck_ecs,,,,116112500.0,ns,176
simple_iter,planck_ecs,,,,117522200.0,ns,178
simple_iter,planck_ecs,,,,118665300.0,ns,180
simple_iter,planck_ecs,,,,120067400.0,ns,182
simple_iter,planck_ecs,,,,121440400.0,ns,184
simple_iter,planck_ecs,,,,123129500.0,ns,186
simple_iter,planck_ecs,,,,124450000.0,ns,188
simple_iter,planck_ecs,,,,125443500.0,ns,190
simple_iter,planck_ecs,,,,126659800.0,ns,192
simple_iter,planck_ecs,,,,127970700.0,ns,194
simple_iter,planck_ecs,,,,129225200.0,ns,196
simple_iter,planck_ecs,,,,130733400.0,ns,198
simple_iter,planck_ecs,,,,132036900.0,ns,200
