group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,shipyard,,,,1028500.0,ns,26
simple_iter,shipyard,,,,2044500.0,ns,52
simple_iter,shipyard,,,,3086900.0,ns,78
simple_iter,shipyard,,,,4053300.0,ns,104
simple_iter,shipyard,,,,5045500.0,ns,130
simple_iter,shipyard,,,,6177600.0,ns,156
simple_iter,shipyard,,,,6973800.0,ns,182
simple_iter,shipyard,,,,8167300.0,ns,208
simple_iter,shipyard,,,,9172900.0,ns,234
simple_iter,shipyard,,,,10152000.0,ns,260
simple_iter,shipyard,,,,11128400.0,ns,286
simple_iter,shipyard,,,,12124900.0,ns,312
simple_iter,shipyard,,,,13157600.0,ns,338
simple_iter,shipyard,,,,14214900.0,ns,364
simple_iter,shipyard,,,,15226500.0,ns,390
simple_iter,shipyard,,,,16259400.0,ns,416
simple_iter,shipyard,,,,17203400.0,ns,442
simple_iter,shipyard,,,,18427900.0,ns,468
simple_iter,shipyard,,,,19268700.0,ns,494
simple_iter,shipyard,,,,20400300.0,ns,520
simple_iter,shipyard,,,,21098400.0,ns,546
simple_iter,shipyard,,,,22343200.0,ns,572
simple_iter,shipyard,,,,23253900.0,ns,598
simple_iter,shipyard,,,,24236700.0,ns,624
simple_iter,shipyard,,,,25282000.0,ns,650
simple_iter,shipyard,,,,26430300.0,ns,676
simple_iter,shipyard,,,,27405300.0,ns,702
simple_iter,shipyard,,,,28234100.0,ns,728
simple_iter,shipyard,,,,29261700.0,ns,754
simple_iter,shipyard,,,,30384500.0,ns,780
simple_iter,shipyard,,,,31385700.0,ns,806
simple_iter,shipyard,,,,32651100.0,ns,832
simple_iter,shipyard,,,,33526600.0,ns,858
simple_iter,shipyard,,,,34355300.0,ns,884
simple_iter,shipyard,,,,35590700.0,ns,910
simple_iter,shipyard,,,,37455800.0,ns,936
simple_iter,shipyard,,,,37277200.0,ns,962
simple_iter,shipyard,,,,38686100.0,ns,988
simple_iter,shipyard,,,,39718000.0,ns,1014
simple_iter,shipyard,,,,40508200.0,ns,1040
simple_iter,shipyard,,,,41398500.0,ns,1066
simple_iter,shipyard,,,,42740900.0,ns,1092
simple_iter,shipyard,,,,43332600.0,ns,1118
simple_iter,shipyard,,,,44591100.0,ns,1144
simple_iter,shipyard,,,,45554800.0,ns,1170
simple_iter,shipyard,,,,47047300.0,ns,1196
simple_iter,shipyard,,,,47539700.0,ns,1222
simple_iter,shipyard,,,,48635400.0,ns,1248
simple_iter,shipyard,,,,49461200.0,ns,1274
simple_iter,shipyard,,,,50391900.0,ns,1300
simple_iter,shipyard,,,,51600600.0,ns,1326
simple_iter,shipyard,,,,55971200.0,ns,1352
simple_iter,shipyard,,,,56723100.0,ns,1378
simple_iter,shipyard,,,,55508800.0,ns,1404
simple_iter,shipyard,,,,55061400.0,ns,1430
simple_iter,shipyard,,,,56348500.0,ns,1456
simple_iter,shipyard,,,,57785100.0,ns,1482
simple_iter,shipyard,,,,58290300.0,ns,1508
simple_iter,shipyard,,,,59331100.0,ns,1534
simple_iter,shipyard,,,,60657000.0,ns,1560
simple_iter,shipyard,,,,61034900.0,ns,1586
simple_iter,shipyard,,,,62397300.0,ns,1612
simple_iter,shipyard,,,,63527100.0,ns,1638
simple_iter,shipyard,,,,63882500.0,ns,1664
simple_iter,shipyard,,,,68228300.0,ns,1690
simple_iter,shipyard,,,,66754000.0,ns,1716
simple_iter,shipyard,,,,66799700.0,ns,1742
simple_iter,shipyard,,,,67699000.0,ns,1768
simple_iter,shipyard,,,,69087100.0,ns,1794
simple_iter,shipyard,,,,70685500.0,ns,1820
simple_iter,shipyard,,,,71387100.0,ns,1846
simple_iter,shipyard,,,,72181800.0,ns,1872
simple_iter,shipyard,,,,73517400.0,ns,1898
simple_iter,shipyard,,,,73930100.0,ns,1924
simple_iter,shipyard,,,,75079500.0,ns,1950
simple_iter,shipyard,,,,78542900.0,ns,1976
simple_iter,shipyard,,,,77287800.0,ns,2002
simple_iter,shipyard,,,,78365800.0,ns,2028
simple_iter,shipyard,,,,79687200.0,ns,2054
simple_iter,shipyard,,,,80136900.0,ns,2080
simple_iter,shipyard,,,,81543800.0,ns,2106
simple_iter,shipyard,,,,82587500.0,ns,2132
simple_iter,shipyard,,,,84122500.0,ns,2158
simple_iter,shipyard,,,,84353100.0,ns,2184
simple_iter,shipyard,,,,85091000.0,ns,2210
simple_iter,shipyard,,,,87403600.0,ns,2236
simple_iter,shipyard,,,,86952700.0,ns,2262
simple_iter,shipyard,,,,88201500.0,ns,2288
simple_iter,shipyard,,,,89472000.0,ns,2314
simple_iter,shipyard,,,,90256600.0,ns,2340
simple_iter,shipyard,,,,91768200.0,ns,2366
simple_iter,shipyard,,,,91926400.0,ns,2392
simple_iter,shipyard,,,,93321300.0,ns,2418
simple_iter,shipyard,,,,94167900.0,ns,2444
simple_iter,shipyard,,,,95215400.0,ns,2470
simple_iter,shipyard,,,,96812600.0,ns,2496
simple_iter,shipyard,,,,97330600.0,ns,2522
simple_iter,shipyard,,,,97300100.0,ns,2548
simple_iter,shipyard,,,,98967600.0,ns,2574
simple_iter,shipyard,,,,99569600.0,ns,2600
