group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,sparsey,,,,1035400.0,ns,21
simple_iter,sparsey,,,,2020700.0,ns,42
simple_iter,sparsey,,,,3039100.0,ns,63
simple_iter,sparsey,,,,4061200.0,ns,84
simple_iter,sparsey,,,,5076200.0,ns,105
simple_iter,sparsey,,,,5989100.0,ns,126
simple_iter,sparsey,,,,7062000.0,ns,147
simple_iter,sparsey,,,,8144000.0,ns,168
simple_iter,sparsey,,,,9080600.0,ns,189
simple_iter,sparsey,,,,10012000.0,ns,210
simple_iter,sparsey,,,,11181100.0,ns,231
simple_iter,sparsey,,,,12159900.0,ns,252
simple_iter,sparsey,,,,13523300.0,ns,273
simple_iter,sparsey,,,,13946400.0,ns,294
simple_iter,sparsey,,,,15065600.0,ns,315
simple_iter,sparsey,,,,16123000.0,ns,336
simple_iter,sparsey,,,,17425500.0,ns,357
simple_iter,sparsey,,,,18253100.0,ns,378
simple_iter,sparsey,,,,19067700.0,ns,399
simple_iter,sparsey,,,,20372400.0,ns,420
simple_iter,sparsey,,,,21260700.0,ns,441
simple_iter,sparsey,,,,22405500.0,ns,462
simple_iter,sparsey,,,,23584400.0,ns,483
simple_iter,sparsey,,,,24030100.0,ns,504
simple_iter,sparsey,,,,25063500.0,ns,525
simple_iter,sparsey,,,,27131300.0,ns,546
simple_iter,sparsey,,,,27106900.0,ns,567
simple_iter,sparsey,,,,28243500.0,ns,588
simple_iter,sparsey,,,,29271900.0,ns,609
simple_iter,sparsey,,,,29887800.0,ns,630
simple_iter,sparsey,,,,31174900.0,ns,651
simple_iter,sparsey,,,,32017300.0,ns,672
simple_iter,sparsey,,,,33525700.0,ns,693
simple_iter,sparsey,,,,35862500.0,ns,714
simple_iter,sparsey,,,,34963900.0,ns,735
simple_iter,sparsey,,,,36306800.0,ns,756
simple_iter,sparsey,,,,38021900.0,ns,777
simple_iter,sparsey,,,,38550900.0,ns,798
simple_iter,sparsey,,,,39427200.0,ns,819
simple_iter,sparsey,,,,39895400.0,ns,840
simple_iter,sparsey,,,,41422200.0,ns,861
simple_iter,sparsey,,,,42297300.0,ns,882
simple_iter,sparsey,,,,43033300.0,ns,903
simple_iter,sparsey,,,,44404600.0,ns,924
simple_iter,sparsey,,,,46545300.0,ns,945
simple_iter,sparsey,,,,46040600.0,ns,966
simple_iter,sparsey,,,,48324800.0,ns,987
simple_iter,sparsey,,,,48909400.0,ns,1008
simple_iter,sparsey,,,,52294000.0,ns,1029
simple_iter,sparsey,,,,50742400.0,ns,1050
simple_iter,sparsey,,,,52389700.0,ns,1071
simple_iter,sparsey,,,,52399200.0,ns,1092
simple_iter,sparsey,,,,53110000.0,ns,1113
simple_iter,sparsey,,,,54746300.0,ns,1134
simple_iter,sparsey,,,,56065900.0,ns,1155
simple_iter,sparsey,,,,55826300.0,ns,1176
simple_iter,sparsey,,,,57354100.0,ns,1197
simple_iter,sparsey,,,,58029100.0,ns,1218
simple_iter,sparsey,,,,59857000.0,ns,1239
simple_iter,sparsey,,,,60123100.0,ns,1260
simple_iter,sparsey,,,,61999900.0,ns,1281
simple_iter,sparsey,,,,62490900.0,ns,1302
simple_iter,sparsey,,,,63761500.0,ns,1323
simple_iter,sparsey,,,,64291900.0,ns,1344
simple_iter,sparsey,,,,65864000.0,ns,1365
simple_iter,sparsey,,,,66812200.0,ns,1386
simple_iter,sparsey,,,,66972200.0,ns,1407
simple_iter,sparsey,,,,67802200.0,ns,1428
simple_iter,sparsey,,,,69655600.0,ns,1449
simple_iter,sparsey,,,,69891700.0,ns,1470
simple_iter,sparsey,,,,71759100.0,ns,1491
simple_iter,sparsey,,,,73322400.0,ns,1512
simple_iter,sparsey,,,,74754600.0,ns,1533
simple_iter,sparsey,,,,75163200.0,ns,1554
simple_iter,sparsey,,,,75266300.0,ns,1575
simple_iter,sparsey,,,,78641300.0,ns,1596
simple_iter,sparsey,,,,79429200.0,ns,1617
simple_iter,sparsey,,,,80154700.0,ns,1638
simple_iter,sparsey,,,,79481200.0,ns,1659
simple_iter,sparsey,,,,80117000.0,ns,1680
simple_iter,sparsey,,,,81598200.0,ns,1701
simple_iter,sparsey,,,,84827800.0,ns,1722
simple_iter,sparsey,,,,83490800.0,ns,1743
simple_iter,sparsey,,,,84427800.0,ns,1764
simple_iter,sparsey,,,,84828000.0,ns,1785
simple_iter,sparsey,,,,85755400.0,ns,1806
simple_iter,sparsey,,,,88446400.0,ns,1827
simple_iter,sparsey,,,,87878000.0,ns,1848
simple_iter,sparsey,,,,90731700.0,ns,1869
simple_iter,sparsey,,,,92242400.0,ns,1890
simple_iter,sparsey,,,,93009200.0,ns,1911
simple_iter,sparsey,,,,92325100.0,ns,1932
simple_iter,sparsey,,,,92826000.0,ns,1953
simple_iter,sparsey,,,,96323100.0,ns,1974
simple_iter,sparsey,,,,96428600.0,ns,1995
simple_iter,sparsey,,,,96769400.0,ns,2016
simple_iter,sparsey,,,,98866500.0,ns,2037
simple_iter,sparsey,,,,98330300.0,ns,2058
simple_iter,sparsey,,,,105476300.0,ns,2079
simple_iter,sparsey,,,,100800600.0,ns,2100
