group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,sparsey,,,,1141800.0,ns,4
simple_iter,sparsey,,,,2208100.0,ns,8
simple_iter,sparsey,,,,3153900.0,ns,12
simple_iter,sparsey,,,,4233100.0,ns,16
simple_iter,sparsey,,,,5219400.0,ns,20
simple_iter,sparsey,,,,6453100.0,ns,24
simple_iter,sparsey,,,,7350700.0,ns,28
simple_iter,sparsey,,,,8097900.0,ns,32
simple_iter,sparsey,,,,9408300.0,ns,36
simple_iter,sparsey,,,,10314800.0,ns,40
simple_iter,sparsey,,,,11198800.0,ns,44
simple_iter,sparsey,,,,12362000.0,ns,48
simple_iter,sparsey,,,,13323800.0,ns,52
simple_iter,sparsey,,,,14198300.0,ns,56
simple_iter,sparsey,,,,15164600.0,ns,60
simple_iter,sparsey,,,,15858200.0,ns,64
simple_iter,sparsey,,,,17233300.0,ns,68
simple_iter,sparsey,,,,17910700.0,ns,72
simple_iter,sparsey,,,,19089400.0,ns,76
simple_iter,sparsey,,,,19794200.0,ns,80
simple_iter,sparsey,,,,20857900.0,ns,84
simple_iter,sparsey,,,,21854000.0,ns,88
simple_iter,sparsey,,,,23169000.0,ns,92
simple_iter,sparsey,,,,23886700.0,ns,96
simple_iter,sparsey,,,,24761800.0,ns,100
simple_iter,sparsey,,,,25859900.0,ns,104
simple_iter,sparsey,,,,26990800.0,ns,108
simple_iter,sparsey,,,,27694500.0,ns,112
simple_iter,sparsey,,,,29201800.0,ns,116
simple_iter,sparsey,,,,30074900.0,ns,120
simple_iter,sparsey,,,,31443900.0,ns,124
simple_iter,sparsey,,,,31899000.0,ns,128
simple_iter,sparsey,,,,32627500.0,ns,132
simple_iter,sparsey,,,,33795200.0,ns,136
simple_iter,sparsey,,,,34456100.0,ns,140
simple_iter,sparsey,,,,35644500.0,ns,144
simple_iter,sparsey,,,,36732900.0,ns,148
simple_iter,sparsey,,,,37674000.0,ns,152
simple_iter,sparsey,,,,38757600.0,ns,156
simple_iter,sparsey,,,,40072200.0,ns,160
simple_iter,sparsey,,,,41494400.0,ns,164
simple_iter,sparsey,,,,41668900.0,ns,168
simple_iter,sparsey,,,,43112300.0,ns,172
simple_iter,sparsey,,,,43401800.0,ns,176
simple_iter,sparsey,,,,44848700.0,ns,180
simple_iter,sparsey,,,,45326900.0,ns,184
simple_iter,sparsey,,,,46799200.0,ns,188
simple_iter,sparsey,,,,47788600.0,ns,192
simple_iter,sparsey,,,,48737200.0,ns,196
simple_iter,sparsey,,,,49491800.0,ns,200
simple_iter,sparsey,,,,50571300.0,ns,204
simple_iter,sparsey,,,,51415600.0,ns,208
simple_iter,sparsey,,,,52366600.0,ns,212
simple_iter,sparsey,,,,53659800.0,ns,216
simple_iter,sparsey,,,,54491500.0,ns,220
simple_iter,sparsey,,,,55519900.0,ns,224
simple_iter,sparsey,,,,56124100.0,ns,228
simple_iter,sparsey,,,,57216700.0,ns,232
simple_iter,sparsey,,,,58228300.0,ns,236
simple_iter,sparsey,,,,59705000.0,ns,240
simple_iter,sparsey,,,,59960800.0,ns,244
simple_iter,sparsey,,,,61593200.0,ns,248
simple_iter,sparsey,,,,62286000.0,ns,252
simple_iter,sparsey,,,,64315000.0,ns,256
simple_iter,sparsey,,,,65553200.0,ns,260
simple_iter,sparsey,,,,67492600.0,ns,264
simple_iter,sparsey,,,,67233100.0,ns,268
simple_iter,sparsey,,,,68150600.0,ns,272
simple_iter,sparsey,,,,68930900.0,ns,276
simple_iter,sparsey,,,,69531400.0,ns,280
simple_iter,sparsey,,,,70453700.0,ns,284
simple_iter,sparsey,,,,72218600.0,ns,288
simple_iter,sparsey,,,,73099400.0,ns,292
simple_iter,sparsey,,,,75326500.0,ns,296
simple_iter,sparsey,,,,74182100.0,ns,300
simple_iter,sparsey,,,,75294400.0,ns,304
simple_iter,sparsey,,,,76021000.0,ns,308
simple_iter,sparsey,,,,77249800.0,ns,312
simple_iter,sparsey,,,,78197100.0,ns,316
simple_iter,sparsey,,,,79945200.0,ns,320
simple_iter,sparsey,,,,80738300.0,ns,324
simple_iter,sparsey,,,,82143100.0,ns,328
simple_iter,sparsey,,,,82133700.0,ns,332
simple_iter,sparsey,,,,82844500.0,ns,336
simple_iter,sparsey,,,,84297900.0,ns,340
simple_iter,sparsey,,,,85796700.0,ns,344
simple_iter,sparsey,,,,86491900.0,ns,348
simple_iter,sparsey,,,,88745300.0,ns,352
simple_iter,sparsey,,,,90981800.0,ns,356
simple_iter,sparsey,,,,89350400.0,ns,360
simple_iter,sparsey,,,,90737100.0,ns,364
simple_iter,sparsey,,,,91389300.0,ns,368
simple_iter,sparsey,,,,92263700.0,ns,372
simple_iter,sparsey,,,,92702800.0,ns,376
simple_iter,sparsey,,,,93582000.0,ns,380
simple_iter,sparsey,,,,96071500.0,ns,384
simple_iter,sparsey,,,,95342100.0,ns,388
simple_iter,sparsey,,,,96795600.0,ns,392
simple_iter,sparsey,,,,97475600.0,ns,396
simple_iter,sparsey,,,,98805600.0,ns,400
