group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,sparsey_packed,,,,1018700.0,ns,16
simple_iter,sparsey_packed,,,,2064000.0,ns,32
simple_iter,sparsey_packed,,,,3054400.0,ns,48
simple_iter,sparsey_packed,,,,4064700.0,ns,64
simple_iter,sparsey_packed,,,,5215600.0,ns,80
simple_iter,sparsey_packed,,,,6104900.0,ns,96
simple_iter,sparsey_packed,,,,7124600.0,ns,112
simple_iter,sparsey_packed,,,,8150900.0,ns,128
simple_iter,sparsey_packed,,,,9192800.0,ns,144
simple_iter,sparsey_packed,,,,10218600.0,ns,160
simple_iter,sparsey_packed,,,,11231800.0,ns,176
simple_iter,sparsey_packed,,,,12233500.0,ns,192
simple_iter,sparsey_packed,,,,13259500.0,ns,208
simple_iter,sparsey_packed,,,,14292500.0,ns,224
simple_iter,sparsey_packed,,,,15780200.0,ns,240
simple_iter,sparsey_packed,,,,16347300.0,ns,256
simple_iter,sparsey_packed,,,,17326900.0,ns,272
simple_iter,sparsey_packed,,,,18436200.0,ns,288
simple_iter,sparsey_packed,,,,19384600.0,ns,304
simple_iter,sparsey_packed,,,,20426300.0,ns,320
simple_iter,sparsey_packed,,,,21406600.0,ns,336
simple_iter,sparsey_packed,,,,22420400.0,ns,352
simple_iter,sparsey_packed,,,,23405700.0,ns,368
simple_iter,sparsey_packed,,,,24636800.0,ns,384
simple_iter,sparsey_packed,,,,26276800.0,ns,400
simple_iter,sparsey_packed,,,,26707300.0,ns,416
simple_iter,sparsey_packed,,,,27975800.0,ns,432
simple_iter,sparsey_packed,,,,29090800.0,ns,448
simple_iter,sparsey_packed,,,,29558400.0,ns,464
simple_iter,sparsey_packed,,,,31144300.0,ns,480
simple_iter,sparsey_packed,,,,31873400.0,ns,496
simple_iter,sparsey_packed,,,,32608000.0,ns,512
simple_iter,sparsey_packed,,,,33633800.0,ns,528
simple_iter,sparsey_packed,,,,34670900.0,ns,544
simple_iter,sparsey_packed,,,,36638900.0,ns,560
simple_iter,sparsey_packed,,,,36765800.0,ns,576
simple_iter,sparsey_packed,,,,37720800.0,ns,592
simple_iter,sparsey_packed,,,,38878600.0,ns,608
simple_iter,sparsey_packed,,,,41348400.0,ns,624
simple_iter,sparsey_packed,,,,40859300.0,ns,640
simple_iter,sparsey_packed,,,,41772700.0,ns,656
simple_iter,sparsey_packed,,,,42846900.0,ns,672
simple_iter,sparsey_packed,,,,43811600.0,ns,688
simple_iter,sparsey_packed,,,,44858400.0,ns,704
simple_iter,sparsey_packed,,,,46998000.0,ns,720
simple_iter,sparsey_packed,,,,46891200.0,ns,736
simple_iter,sparsey_packed,,,,48826200.0,ns,752
simple_iter,sparsey_packed,,,,49046700.0,ns,768
simple_iter,sparsey_packed,,,,50168900.0,ns,784
simple_iter,sparsey_packed,,,,50971800.0,ns,800
simple_iter,sparsey_packed,,,,52226000.0,ns,816
simple_iter,sparsey_packed,,,,53022600.0,ns,832
simple_iter,sparsey_packed,,,,53981300.0,ns,848
simple_iter,sparsey_packed,,,,55006500.0,ns,864
simple_iter,sparsey_packed,,,,57702200.0,ns,880
simple_iter,sparsey_packed,,,,57480700.0,ns,896
simple_iter,sparsey_packed,,,,58466600.0,ns,912
simple_iter,sparsey_packed,,,,59203600.0,ns,928
simple_iter,sparsey_packed,,,,60309500.0,ns,944
simple_iter,sparsey_packed,,,,61287300.0,ns,960
simple_iter,sparsey_packed,,,,62123300.0,ns,976
simple_iter,sparsey_packed,,,,63119100.0,ns,992
simple_iter,sparsey_packed,,,,64649900.0,ns,1008
simple_iter,sparsey_packed,,,,65334700.0,ns,1024
simple_iter,sparsey_packed,,,,67785300.0,ns,1040
simple_iter,sparsey_packed,,,,67256500.0,ns,1056
simple_iter,sparsey_packed,,,,69986300.0,ns,1072
simple_iter,sparsey_packed,,,,69819000.0,ns,1088
simple_iter,sparsey_packed,,,,70446800.0,ns,1104
simple_iter,sparsey_packed,,,,72189000.0,ns,1120
simple_iter,sparsey_packed,,,,72349300.0,ns,1136
simple_iter,sparsey_packed,,,,73323800.0,ns,1152
simple_iter,sparsey_packed,,,,74322600.0,ns,1168
simple_iter,sparsey_packed,,,,75369000.0,ns,1184
simple_iter,sparsey_packed,,,,79780800.0,ns,1200
simple_iter,sparsey_packed,,,,78639000.0,ns,1216
simple_iter,sparsey_packed,,,,78755600.0,ns,1232
simple_iter,sparsey_packed,,,,79879300.0,ns,1248
simple_iter,sparsey_packed,,,,80957000.0,ns,1264
simple_iter,sparsey_packed,,,,81812800.0,ns,1280
simple_iter,sparsey_packed,,,,83260000.0,ns,1296
simple_iter,sparsey_packed,,,,83833800.0,ns,1312
simple_iter,sparsey_packed,,,,84703900.0,ns,1328
simple_iter,sparsey_packed,,,,85812400.0,ns,1344
simple_iter,sparsey_packed,,,,89232600.0,ns,1360
simple_iter,sparsey_packed,,,,87953900.0,ns,1376
simple_iter,sparsey_packed,,,,89108000.0,ns,1392
simple_iter,sparsey_packed,,,,90256400.0,ns,1408
simple_iter,sparsey_packed,,,,91172000.0,ns,1424
simple_iter,sparsey_packed,,,,93995500.0,ns,1440
simple_iter,sparsey_packed,,,,93178900.0,ns,1456
simple_iter,sparsey_packed,,,,94518300.0,ns,1472
simple_iter,sparsey_packed,,,,95602900.0,ns,1488
simple_iter,sparsey_packed,,,,96309400.0,ns,1504
simple_iter,sparsey_packed,,,,99350200.0,ns,1520
simple_iter,sparsey_packed,,,,98336000.0,ns,1536
simple_iter,sparsey_packed,,,,99281800.0,ns,1552
simple_iter,sparsey_packed,,,,100451800.0,ns,1568
simple_iter,sparsey_packed,,,,101369800.0,ns,1584
simple_iter,sparsey_packed,,,,102234800.0,ns,1600
