group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,sparsey_packed,,,,995600.0,ns,78
simple_iter,sparsey_packed,,,,1988500.0,ns,156
simple_iter,sparsey_packed,,,,2983700.0,ns,234
simple_iter,sparsey_packed,,,,3996800.0,ns,312
simple_iter,sparsey_packed,,,,4975800.0,ns,390
simple_iter,sparsey_packed,,,,5964500.0,ns,468
simple_iter,sparsey_packed,,,,6959500.0,ns,546
simple_iter,sparsey_packed,,,,7951400.0,ns,624
simple_iter,sparsey_packed,,,,8999300.0,ns,702
simple_iter,sparsey_packed,,,,9994300.0,ns,780
simple_iter,sparsey_packed,,,,11881100.0,ns,858
simple_iter,sparsey_packed,,,,12001100.0,ns,936
simple_iter,sparsey_packed,,,,12934600.0,ns,1014
simple_iter,sparsey_packed,,,,13953600.0,ns,1092
simple_iter,sparsey_packed,,,,15210300.0,ns,1170
simple_iter,sparsey_packed,,,,15952200.0,ns,1248
simple_iter,sparsey_packed,,,,16936500.0,ns,1326
simple_iter,sparsey_packed,,,,17929700.0,ns,1404
simple_iter,sparsey_packed,,,,18934900.0,ns,1482
simple_iter,sparsey_packed,,,,19917800.0,ns,1560
simple_iter,sparsey_packed,,,,20904700.0,ns,1638
simple_iter,sparsey_packed,,,,21925700.0,ns,1716
simple_iter,sparsey_packed,,,,23503600.0,ns,1794
simple_iter,sparsey_packed,,,,23936600.0,ns,1872
simple_iter,sparsey_packed,,,,24945100.0,ns,1950
simple_iter,sparsey_packed,,,,25986400.0,ns,2028
simple_iter,sparsey_packed,,,,26886800.0,ns,2106
simple_iter,sparsey_packed,,,,27909000.0,ns,2184
simple_iter,sparsey_packed,,,,28899000.0,ns,2262
simple_iter,sparsey_packed,,,,29900800.0,ns,2340
simple_iter,sparsey_packed,,,,30884800.0,ns,2418
simple_iter,sparsey_packed,,,,31895200.0,ns,2496
simple_iter,sparsey_packed,,,,32946300.0,ns,2574
simple_iter,sparsey_packed,,,,34112400.0,ns,2652
simple_iter,sparsey_packed,,,,34892700.0,ns,2730
simple_iter,sparsey_packed,,,,35934300.0,ns,2808
simple_iter,sparsey_packed,,,,36893400.0,ns,2886
simple_iter,sparsey_packed,,,,37906100.0,ns,2964
simple_iter,sparsey_packed,,,,38904200.0,ns,3042
simple_iter,sparsey_packed,,,,39879600.0,ns,3120
simple_iter,sparsey_packed,,,,40891700.0,ns,3198
simple_iter,sparsey_packed,,,,41885800.0,ns,3276
simple_iter,sparsey_packed,,,,42920400.0,ns,3354
simple_iter,sparsey_packed,,,,43871900.0,ns,3432
simple_iter,sparsey_packed,,,,44860200.0,ns,3510
simple_iter,sparsey_packed,,,,45813300.0,ns,3588
simple_iter,sparsey_packed,,,,46827100.0,ns,3666
simple_iter,sparsey_packed,,,,47846700.0,ns,3744
simple_iter,sparsey_packed,,,,49030300.0,ns,3822
simple_iter,sparsey_packed,,,,49829000.0,ns,3900
simple_iter,sparsey_packed,,,,50821400.0,ns,3978
simple_iter,sparsey_packed,,,,51909500.0,ns,4056
simple_iter,sparsey_packed,,,,52801700.0,ns,4134
simple_iter,sparsey_packed,,,,53775400.0,ns,4212
simple_iter,sparsey_packed,,,,54907300.0,ns,4290
simple_iter,sparsey_packed,,,,55762400.0,ns,4368
simple_iter,sparsey_packed,,,,56810800.0,ns,4446
simple_iter,sparsey_packed,,,,57820000.0,ns,4524
simple_iter,sparsey_packed,,,,58776200.0,ns,4602
simple_iter,sparsey_packed,,,,59779600.0,ns,4680
simple_iter,sparsey_packed,,,,60831800.0,ns,4758
simple_iter,sparsey_packed,,,,61755400.0,ns,4836
simple_iter,sparsey_packed,,,,62808900.0,ns,4914
simple_iter,sparsey_packed,,,,63769700.0,ns,4992
simple_iter,sparsey_packed,,,,64726700.0,ns,5070
simple_iter,sparsey_packed,,,,65736800.0,ns,5148
simple_iter,sparsey_packed,,,,66727800.0,ns,5226
simple_iter,sparsey_packed,,,,67740500.0,ns,5304
simple_iter,sparsey_packed,,,,68773100.0,ns,5382
simple_iter,sparsey_packed,,,,69765800.0,ns,5460
simple_iter,sparsey_packed,,,,70739900.0,ns,5538
simple_iter,sparsey_packed,,,,71784800.0,ns,5616
simple_iter,sparsey_packed,,,,72708300.0,ns,5694
simple_iter,sparsey_packed,,,,73682000.0,ns,5772
simple_iter,sparsey_packed,,,,74727900.0,ns,5850
simple_iter,sparsey_packed,,,,75708200.0,ns,5928
simple_iter,sparsey_packed,,,,76686300.0,ns,6006
simple_iter,sparsey_packed,,,,77755500.0,ns,6084
