group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,1057300.0,ns,5
simple_iter,specs,,,,2112900.0,ns,10
simple_iter,specs,,,,3173800.0,ns,15
simple_iter,specs,,,,4235300.0,ns,20
simple_iter,specs,,,,5288300.0,ns,25
simple_iter,specs,,,,6396800.0,ns,30
simple_iter,specs,,,,7417000.0,ns,35
simple_iter,specs,,,,8505300.0,ns,40
simple_iter,specs,,,,9537300.0,ns,45
simple_iter,specs,,,,10591900.0,ns,50
simple_iter,specs,,,,11656100.0,ns,55
simple_iter,specs,,,,12723200.0,ns,60
simple_iter,specs,,,,13748600.0,ns,65
simple_iter,specs,,,,14810900.0,ns,70
simple_iter,specs,,,,15882700.0,ns,75
simple_iter,specs,,,,16956400.0,ns,80
simple_iter,specs,,,,17994700.0,ns,85
simple_iter,specs,,,,19084900.0,ns,90
simple_iter,specs,,,,20108200.0,ns,95
simple_iter,specs,,,,21180000.0,ns,100
simple_iter,specs,,,,22293400.0,ns,105
simple_iter,specs,,,,23227300.0,ns,110
simple_iter,specs,,,,24372000.0,ns,115
simple_iter,specs,,,,25435900.0,ns,120
simple_iter,specs,,,,26485700.0,ns,125
simple_iter,specs,,,,27596100.0,ns,130
simple_iter,specs,,,,28625600.0,ns,135
simple_iter,specs,,,,29626700.0,ns,140
simple_iter,specs,,,,30706100.0,ns,145
simple_iter,specs,,,,31790700.0,ns,150
simple_iter,specs,,,,32832000.0,ns,155
simple_iter,specs,,,,33891300.0,ns,160
simple_iter,specs,,,,34921900.0,ns,165
simple_iter,specs,,,,35988100.0,ns,170
simple_iter,specs,,,,37052300.0,ns,175
simple_iter,specs,,,,38064100.0,ns,180
simple_iter,specs,,,,39173100.0,ns,185
simple_iter,specs,,,,40257100.0,ns,190
simple_iter,specs,,,,41888700.0,ns,195
simple_iter,specs,,,,42401700.0,ns,200
simple_iter,specs,,,,43421800.0,ns,205
simple_iter,specs,,,,44467400.0,ns,210
simple_iter,specs,,,,45490500.0,ns,215
simple_iter,specs,,,,46679400.0,ns,220
simple_iter,specs,,,,47680200.0,ns,225
simple_iter,specs,,,,48652900.0,ns,230
simple_iter,specs,,,,49876900.0,ns,235
simple_iter,specs,,,,50816900.0,ns,240
simple_iter,specs,,,,51870400.0,ns,245
simple_iter,specs,,,,52953200.0,ns,250
simple_iter,specs,,,,53983000.0,ns,255
simple_iter,specs,,,,55062600.0,ns,260
simple_iter,specs,,,,56130100.0,ns,265
simple_iter,specs,,,,57175700.0,ns,270
simple_iter,specs,,,,58285700.0,ns,275
simple_iter,specs,,,,59382700.0,ns,280
simple_iter,specs,,,,60364300.0,ns,285
simple_iter,specs,,,,61429600.0,ns,290
simple_iter,specs,,,,62434400.0,ns,295
simple_iter,specs,,,,63581500.0,ns,300
simple_iter,specs,,,,64636100.0,ns,305
simple_iter,specs,,,,65656500.0,ns,310
simple_iter,specs,,,,66703800.0,ns,315
simple_iter,specs,,,,67706200.0,ns,320
simple_iter,specs,,,,68795600.0,ns,325
simple_iter,specs,,,,69859600.0,ns,330
simple_iter,specs,,,,70900500.0,ns,335
simple_iter,specs,,,,71943300.0,ns,340
simple_iter,specs,,,,73002800.0,ns,345
simple_iter,specs,,,,74169300.0,ns,350
simple_iter,specs,,,,75189900.0,ns,355
simple_iter,specs,,,,76188000.0,ns,360
simple_iter,specs,,,,77215500.0,ns,365
simple_iter,specs,,,,78312900.0,ns,370
simple_iter,specs,,,,79386600.0,ns,375
simple_iter,specs,,,,80433400.0,ns,380
simple_iter,specs,,,,81630000.0,ns,385
simple_iter,specs,,,,82617700.0,ns,390
simple_iter,specs,,,,83659300.0,ns,395
simple_iter,specs,,,,84674600.0,ns,400
simple_iter,specs,,,,85803400.0,ns,405
simple_iter,specs,,,,86829600.0,ns,410
simple_iter,specs,,,,87881000.0,ns,415
simple_iter,specs,,,,89009900.0,ns,420
simple_iter,specs,,,,89960700.0,ns,425
simple_iter,specs,,,,91183600.0,ns,430
simple_iter,specs,,,,92042200.0,ns,435
simple_iter,specs,,,,93056500.0,ns,440
simple_iter,specs,,,,94175300.0,ns,445
simple_iter,specs,,,,95272900.0,ns,450
simple_iter,specs,,,,96430100.0,ns,455
simple_iter,specs,,,,97423700.0,ns,460
simple_iter,specs,,,,98264100.0,ns,465
simple_iter,specs,,,,99404200.0,ns,470
simple_iter,specs,,,,100636700.0,ns,475
simple_iter,specs,,,,101676700.0,ns,480
simple_iter,specs,,,,102642000.0,ns,485
simple_iter,specs,,,,103802300.0,ns,490
simple_iter,specs,,,,104817300.0,ns,495
simple_iter,specs,,,,105923500.0,ns,500
