group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
simple_iter,specs,,,,993100.0,ns,27
simple_iter,specs,,,,1985900.0,ns,54
simple_iter,specs,,,,2978500.0,ns,81
simple_iter,specs,,,,3984300.0,ns,108
simple_iter,specs,,,,4966300.0,ns,135
simple_iter,specs,,,,5955300.0,ns,162
simple_iter,specs,,,,6961000.0,ns,189
simple_iter,specs,,,,7943600.0,ns,216
simple_iter,specs,,,,8954000.0,ns,243
simple_iter,specs,,,,9925100.0,ns,270
simple_iter,specs,,,,10937100.0,ns,297
simple_iter,specs,,,,11920600.0,ns,324
simple_iter,specs,,,,12924200.0,ns,351
simple_iter,specs,,,,13895200.0,ns,378
simple_iter,specs,,,,14920800.0,ns,405
simple_iter,specs,,,,15893800.0,ns,432
simple_iter,specs,,,,16888400.0,ns,459
simple_iter,specs,,,,17881700.0,ns,486
simple_iter,specs,,,,18858100.0,ns,513
simple_iter,specs,,,,19869300.0,ns,540
simple_iter,specs,,,,20873900.0,ns,567
simple_iter,specs,,,,21853900.0,ns,594
simple_iter,specs,,,,22864900.0,ns,621
simple_iter,specs,,,,23834500.0,ns,648
simple_iter,specs,,,,24867800.0,ns,675
simple_iter,specs,,,,25891600.0,ns,702
simple_iter,specs,,,,26817800.0,ns,729
simple_iter,specs,,,,27831900.0,ns,756
simple_iter,specs,,,,28827100.0,ns,783
simple_iter,specs,,,,29818000.0,ns,810
simple_iter,specs,,,,30813600.0,ns,837
simple_iter,specs,,,,31794300.0,ns,864
simple_iter,specs,,,,32785000.0,ns,891
simple_iter,specs,,,,33789200.0,ns,918
simple_iter,specs,,,,34782100.0,ns,945
simple_iter,specs,,,,35807700.0,ns,972
simple_iter,specs,,,,36763300.0,ns,999
simple_iter,specs,,,,37810700.0,ns,1026
simple_iter,specs,,,,38738600.0,ns,1053
simple_iter,specs,,,,39766600.0,ns,1080
simple_iter,specs,,,,40736400.0,ns,1107
simple_iter,specs,,,,41715200.0,ns,1134
simple_iter,specs,,,,42733500.0,ns,1161
simple_iter,specs,,,,43693800.0,ns,1188
simple_iter,specs,,,,44781100.0,ns,1215
simple_iter,specs,,,,45699900.0,ns,1242
simple_iter,specs,,,,46713600.0,ns,1269
simple_iter,specs,,,,47674100.0,ns,1296
simple_iter,specs,,,,48660500.0,ns,1323
simple_iter,specs,,,,49653800.0,ns,1350
simple_iter,specs,,,,50650100.0,ns,1377
simple_iter,specs,,,,51703900.0,ns,1404
simple_iter,specs,,,,52658500.0,ns,1431
simple_iter,specs,,,,53680500.0,ns,1458
simple_iter,specs,,,,54603500.0,ns,1485
simple_iter,specs,,,,55625900.0,ns,1512
simple_iter,specs,,,,56563500.0,ns,1539
simple_iter,specs,,,,57626200.0,ns,1566
simple_iter,specs,,,,58658600.0,ns,1593
simple_iter,specs,,,,59659700.0,ns,1620
simple_iter,specs,,,,60637100.0,ns,1647
simple_iter,specs,,,,61527100.0,ns,1674
simple_iter,specs,,,,62594500.0,ns,1701
simple_iter,specs,,,,63584800.0,ns,1728
simple_iter,specs,,,,64564500.0,ns,1755
simple_iter,specs,,,,65621900.0,ns,1782
simple_iter,specs,,,,66553600.0,ns,1809
simple_iter,specs,,,,67577600.0,ns,1836
simple_iter,specs,,,,68549300.0,ns,1863
simple_iter,specs,,,,69502000.0,ns,1890
simple_iter,specs,,,,70356200.0,ns,1917
simple_iter,specs,,,,71593800.0,ns,1944
simple_iter,specs,,,,72546600.0,ns,1971
simple_iter,specs,,,,73536700.0,ns,1998
simple_iter,specs,,,,74496800.0,ns,2025
simple_iter,specs,,,,75455600.0,ns,2052
simple_iter,specs,,,,76499700.0,ns,2079
simple_iter,specs,,,,77567800.0,ns,2106
simple_iter,specs,,,,78405700.0,ns,2133
simple_iter,specs,,,,79456900.0,ns,2160
simple_iter,specs,,,,80414600.0,ns,2187
simple_iter,specs,,,,81433300.0,ns,2214
simple_iter,specs,,,,82619800.0,ns,2241
simple_iter,specs,,,,83425000.0,ns,2268
simple_iter,specs,,,,84413900.0,ns,2295
simple_iter,specs,,,,85471400.0,ns,2322
simple_iter,specs,,,,86396300.0,ns,2349
simple_iter,specs,,,,87436200.0,ns,2376
simple_iter,specs,,,,88514200.0,ns,2403
simple_iter,specs,,,,89420200.0,ns,2430
simple_iter,specs,,,,90309400.0,ns,2457
simple_iter,specs,,,,91634600.0,ns,2484
simple_iter,specs,,,,92384900.0,ns,2511
simple_iter,specs,,,,93448000.0,ns,2538
simple_iter,specs,,,,94195400.0,ns,2565
simple_iter,specs,,,,95373600.0,ns,2592
simple_iter,specs,,,,96404100.0,ns,2619
simple_iter,specs,,,,97537100.0,ns,2646
simple_iter,specs,,,,98337700.0,ns,2673
simple_iter,specs,,,,99241600.0,ns,2700
